,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,20720.00000,20720.00000,12071.00000,-4369.00000,4280.00000,-198.00000,4082.00000,995.00000,3087.00000,3087.00000,,3050.00000,4999.00000,4280.00000,499.00000,505.00000,6.11000,6.04000
2021-12-31,19820.00000,19820.00000,11425.00000,-4083.00000,4312.00000,-104.00000,4208.00000,1034.00000,3174.00000,3174.00000,,3143.00000,5059.00000,4312.00000,507.00000,513.00000,6.20000,6.13000
2020-12-31,17224.00000,17224.00000,10129.00000,-4029.00000,3066.00000,-273.00000,2793.00000,747.00000,2046.00000,2046.00000,,2016.00000,3807.00000,3066.00000,506.00000,512.00000,3.98000,3.94000
2019-12-31,16652.00000,16652.00000,9734.00000,-4241.00000,2677.00000,-238.00000,2439.00000,666.00000,1773.00000,1773.00000,,1742.00000,3324.00000,2677.00000,506.00000,511.00000,3.44000,3.41000
2018-12-31,14950.00000,14950.00000,8605.00000,-3584.00000,2761.00000,-517.00000,2244.00000,574.00000,1670.00000,1670.00000,,1650.00000,3255.00000,2761.00000,506.00000,511.00000,3.26000,3.23000
2017-12-31,14024.00000,14024.00000,8085.00000,-3284.00000,2655.00000,-12.00000,2643.00000,1133.00000,1510.00000,1510.00000,2.00000,1492.00000,3136.00000,2655.00000,513.00000,519.00000,2.91000,2.87000
2016-12-31,13211.00000,13211.00000,7694.00000,-3086.00000,2431.00000,49.00000,2480.00000,685.00000,1795.00000,1795.00000,,1768.00000,2869.00000,2431.00000,519.00000,524.00000,3.41000,3.38000
2015-12-31,12893.00000,12893.00000,7334.00000,-3140.00000,2419.00000,-112.00000,2307.00000,671.00000,1636.00000,1636.00000,,1599.00000,2842.00000,2419.00000,531.00000,536.00000,3.01000,2.98000
2014-12-31,12951.00000,12951.00000,7515.00000,-3135.00000,2301.00000,-244.00000,2057.00000,586.00000,1471.00000,1471.00000,26.00000,1465.00000,2689.00000,2301.00000,545.00000,553.00000,2.69000,2.65000
2013-12-31,12261.00000,12261.00000,7226.00000,-2958.00000,2077.00000,-104.00000,1973.00000,594.00000,1379.00000,1379.00000,6.00000,1357.00000,2435.00000,2077.00000,549.00000,558.00000,2.47000,2.43000
2012-12-31,11924.00000,11924.00000,7134.00000,-2961.00000,1829.00000,-133.00000,1696.00000,492.00000,1204.00000,1204.00000,-3.00000,1176.00000,2178.00000,1829.00000,544.00000,552.00000,2.16000,2.13000
2011-12-31,11526.00000,11526.00000,6969.00000,-2919.00000,1638.00000,-234.00000,1404.00000,422.00000,982.00000,982.00000,33.00000,993.00000,1970.00000,1638.00000,542.00000,551.00000,1.82000,1.79000
2010-12-31,10550.00000,10550.00000,6465.00000,-3146.00000,939.00000,-170.00000,769.00000,204.00000,565.00000,565.00000,306.00000,844.00000,1296.00000,939.00000,540.00000,544.00000,1.56000,1.55000
2009-12-31,9831.00000,9831.00000,6182.00000,-2871.00000,778.00000,-226.00000,552.00000,21.00000,531.00000,531.00000,-290.00000,223.00000,1458.00000,778.00000,522.00000,524.00000,0.43000,0.42000
