,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,38373.00000,4123.00000,34250.00000,24940.00000,25010.00000,9240.00000,,9240.00000,1880.00000,7360.00000,7360.00000,,7044.00000,391.80000,393.20000,17.98000,17.91000
2021-12-31,32033.00000,1598.00000,30435.00000,14597.00000,14626.00000,15809.00000,,15809.00000,3415.00000,12394.00000,12394.00000,-4.00000,11965.00000,442.50000,444.20000,27.04000,26.94000
2020-12-31,31643.00000,3120.00000,28523.00000,25260.00000,25320.00000,3203.00000,,3203.00000,486.00000,2717.00000,2717.00000,-3.00000,2375.00000,457.80000,458.90000,5.19000,5.18000
2019-12-31,33766.00000,5173.00000,28593.00000,21607.00000,21719.00000,6874.00000,,6874.00000,1341.00000,5533.00000,5533.00000,13.00000,5192.00000,467.60000,469.90000,11.10000,11.05000
2018-12-31,32377.00000,4301.00000,28076.00000,20584.00000,20758.00000,7318.00000,,7318.00000,1293.00000,6025.00000,6025.00000,-10.00000,5710.00000,479.90000,483.10000,11.90000,11.82000
2017-12-31,29999.00000,2762.00000,27237.00000,21500.00000,21745.00000,5492.00000,,5492.00000,3375.00000,2117.00000,2117.00000,-135.00000,1704.00000,484.20000,488.60000,3.52000,3.49000
2016-12-31,27519.00000,2018.00000,25501.00000,19631.00000,20017.00000,5484.00000,,5484.00000,1714.00000,3770.00000,3770.00000,-19.00000,3513.00000,504.90000,509.80000,6.96000,6.89000
2015-12-31,25038.00000,1625.00000,23413.00000,17102.00000,17532.00000,5881.00000,,5881.00000,1869.00000,4012.00000,4012.00000,38.00000,3872.00000,541.80000,548.00000,7.15000,7.07000
2014-12-31,23869.00000,1579.00000,22290.00000,15189.00000,15721.00000,6569.00000,,6569.00000,2146.00000,4423.00000,4423.00000,5.00000,4343.00000,563.10000,571.90000,7.71000,7.59000
2013-12-31,24176.00000,1792.00000,22384.00000,15135.00000,15806.00000,6578.00000,,6578.00000,2224.00000,4354.00000,4354.00000,-233.00000,4051.00000,579.70000,587.60000,6.99000,6.89000
2012-12-31,23771.00000,2375.00000,21396.00000,15603.00000,16212.00000,5184.00000,,5184.00000,1475.00000,3709.00000,3709.00000,-217.00000,3462.00000,561.10000,566.50000,6.17000,6.11000
2011-12-31,18525.00000,2246.00000,16279.00000,11425.00000,11647.00000,4632.00000,-45.00000,4587.00000,1334.00000,3253.00000,3253.00000,-106.00000,3121.00000,455.50000,459.10000,6.85000,6.80000
2010-12-31,19067.00000,2896.00000,16171.00000,11540.00000,11760.00000,4411.00000,-81.00000,4330.00000,1280.00000,3050.00000,3050.00000,-307.00000,2743.00000,452.00000,456.00000,6.07000,6.01000
2009-12-31,15950.00000,2967.00000,12983.00000,11528.00000,11528.00000,1455.00000,-119.00000,1336.00000,349.00000,987.00000,987.00000,-103.00000,320.00000,428.00000,431.00000,0.75000,0.74000
