,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,15113.00000,9716.00000,5397.00000,605.00000,3887.00000,-36.00000,7340.00000,-1943.00000,-410.00000,-2353.00000,68.00000,-2421.00000,-2421.00000,,-2433.00000,2616.00000,-1943.00000,504.00000,504.00000,-4.83000,-4.83000
2021-12-31,12784.00000,7679.00000,5105.00000,534.00000,2867.00000,6.00000,3395.00000,1710.00000,-233.00000,1477.00000,182.00000,1295.00000,1295.00000,,1284.00000,2600.00000,1710.00000,502.00000,508.00000,2.56000,2.53000
2020-12-31,11673.00000,7086.00000,4587.00000,521.00000,2469.00000,19.00000,2971.00000,1616.00000,-324.00000,1292.00000,182.00000,1110.00000,1110.00000,,1102.00000,2456.00000,1616.00000,509.00000,517.00000,2.17000,2.13000
2019-12-31,11362.00000,6601.00000,4761.00000,595.00000,2535.00000,141.00000,2989.00000,1772.00000,-802.00000,970.00000,-41.00000,1011.00000,1011.00000,,1001.00000,2592.00000,1772.00000,509.00000,519.00000,1.97000,1.93000
2018-12-31,11099.00000,6340.00000,4759.00000,654.00000,2620.00000,99.00000,3175.00000,1584.00000,33.00000,1617.00000,65.00000,1552.00000,1552.00000,-6.00000,1546.00000,2355.00000,1584.00000,534.00000,546.00000,2.90000,2.83000
2017-12-31,10584.00000,6110.00000,4474.00000,615.00000,2627.00000,56.00000,3186.00000,1288.00000,-188.00000,1100.00000,491.00000,609.00000,609.00000,-7.00000,602.00000,2038.00000,1288.00000,543.00000,555.00000,1.11000,1.08000
2016-12-31,10163.00000,6047.00000,4116.00000,646.00000,2725.00000,0.00000,3371.00000,745.00000,4209.00000,4954.00000,-12.00000,4966.00000,4966.00000,-1.00000,4965.00000,1545.00000,745.00000,546.00000,551.00000,9.09000,9.01000
2015-12-31,9968.00000,5822.00000,4146.00000,603.00000,3094.00000,,3697.00000,449.00000,-21.00000,428.00000,35.00000,393.00000,393.00000,575.00000,968.00000,1208.00000,449.00000,545.00000,549.00000,1.78000,1.76000
2014-12-31,10719.00000,6138.00000,4581.00000,610.00000,3315.00000,,3925.00000,656.00000,-166.00000,490.00000,33.00000,457.00000,457.00000,2040.00000,2497.00000,1448.00000,656.00000,542.00000,547.00000,4.61000,4.56000
2013-12-31,9413.00000,5251.00000,4162.00000,582.00000,3084.00000,,3666.00000,496.00000,-121.00000,375.00000,60.00000,315.00000,315.00000,1697.00000,2012.00000,1131.00000,496.00000,543.00000,549.00000,3.70000,3.66000
2012-12-31,13936.00000,6802.00000,7134.00000,1081.00000,3283.00000,,4364.00000,2770.00000,68.00000,2838.00000,555.00000,2283.00000,2283.00000,43.00000,2326.00000,3482.00000,2770.00000,551.00000,556.00000,4.22000,4.18000
2011-12-31,13893.00000,6847.00000,7046.00000,946.00000,3154.00000,,4100.00000,2946.00000,-137.00000,2809.00000,553.00000,2256.00000,2256.00000,,2224.00000,3616.00000,2946.00000,569.00000,573.00000,3.91000,3.88000
2010-12-31,12843.00000,6885.00000,5958.00000,915.00000,2907.00000,,3822.00000,2136.00000,-246.00000,1890.00000,463.00000,1427.00000,1427.00000,,1420.00000,2821.00000,2136.00000,590.00000,594.00000,2.41000,2.39000
2009-12-31,12562.00000,6037.00000,6525.00000,917.00000,2731.00000,,3648.00000,2877.00000,-143.00000,2734.00000,519.00000,2215.00000,2215.00000,,2205.00000,3515.00000,2877.00000,607.00000,614.00000,3.63000,3.59000
