,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,94943.00000,31089.00000,63854.00000,14603.00000,24765.00000,-1871.00000,42129.00000,21725.00000,21725.00000,3784.00000,17941.00000,17941.00000,17941.00000,29461.00000,22491.00000,2625.20000,2663.90000,6.83000,6.73000
2021-12-31,93775.00000,29855.00000,63920.00000,14714.00000,24659.00000,-489.00000,41144.00000,22776.00000,22776.00000,1898.00000,20878.00000,20878.00000,20878.00000,30402.00000,23012.00000,2632.10000,2674.00000,7.93000,7.81000
2020-12-31,82584.00000,28427.00000,54157.00000,12159.00000,22084.00000,-2899.00000,37660.00000,16497.00000,16497.00000,1783.00000,14714.00000,14714.00000,14714.00000,24040.00000,16809.00000,2632.80000,2670.70000,5.59000,5.51000
2019-12-31,82059.00000,27556.00000,54503.00000,11355.00000,22178.00000,-2525.00000,37175.00000,17328.00000,17328.00000,2209.00000,15119.00000,15119.00000,15119.00000,25012.00000,18003.00000,2645.10000,2684.30000,5.72000,5.63000
2018-12-31,81581.00000,27091.00000,54490.00000,10775.00000,22540.00000,-1405.00000,36491.00000,17999.00000,17999.00000,2702.00000,15297.00000,15297.00000,15297.00000,26544.00000,19615.00000,2681.50000,2728.70000,5.70000,5.61000
2017-12-31,76450.00000,25439.00000,51011.00000,10594.00000,21520.00000,42.00000,33338.00000,17673.00000,17673.00000,16373.00000,1300.00000,1300.00000,1300.00000,24634.00000,18992.00000,2692.00000,2745.30000,0.48000,0.47000
2016-12-31,71890.00000,21789.00000,50101.00000,9143.00000,20067.00000,-210.00000,30298.00000,19803.00000,19803.00000,3263.00000,16540.00000,16540.00000,16540.00000,24651.00000,20897.00000,2737.30000,2788.90000,6.04000,5.93000
2015-12-31,70074.00000,21536.00000,48538.00000,9046.00000,21203.00000,2064.00000,29342.00000,19196.00000,19196.00000,3787.00000,15409.00000,15409.00000,15409.00000,23622.00000,19876.00000,2771.80000,2812.90000,5.56000,5.48000
2014-12-31,74331.00000,22746.00000,51585.00000,8494.00000,21954.00000,70.00000,31022.00000,20563.00000,20563.00000,4240.00000,16323.00000,16323.00000,16323.00000,25058.00000,21163.00000,2815.20000,2863.90000,5.80000,5.70000
2013-12-31,71312.00000,22342.00000,48970.00000,8183.00000,21830.00000,-2498.00000,33499.00000,15471.00000,15471.00000,1640.00000,13831.00000,13831.00000,13831.00000,20131.00000,16027.00000,2809.20000,2877.00000,4.92000,4.81000
2012-12-31,67224.00000,21658.00000,45566.00000,7665.00000,20869.00000,-1626.00000,31791.00000,13775.00000,13775.00000,3261.00000,10514.00000,10514.00000,10853.00000,18037.00000,14371.00000,2753.30000,2812.60000,3.94000,3.86000
2011-12-31,65030.00000,20360.00000,44670.00000,7548.00000,20969.00000,-2743.00000,32309.00000,12361.00000,12361.00000,2689.00000,9672.00000,9672.00000,9672.00000,16181.00000,13023.00000,2736.00000,2775.30000,3.54000,3.49000
2010-12-31,61587.00000,18792.00000,42795.00000,6844.00000,19424.00000,768.00000,25848.00000,16947.00000,16947.00000,3613.00000,13334.00000,13334.00000,13334.00000,20448.00000,17509.00000,2751.40000,2788.80000,4.85000,4.78000
2009-12-31,61897.00000,18447.00000,43450.00000,6986.00000,19801.00000,526.00000,27695.00000,15755.00000,15755.00000,3489.00000,12266.00000,12266.00000,12266.00000,19070.00000,16296.00000,2759.50000,2789.10000,4.45000,4.40000
