,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9069.00000,1048.00000,8021.00000,5366.00000,5366.00000,2655.00000,2655.00000,582.00000,2073.00000,2073.00000,1960.00000,475.95980,477.80310,4.12000,4.10000
2021-12-31,6986.00000,339.00000,6647.00000,3670.00000,3670.00000,2977.00000,2977.00000,658.00000,2319.00000,2319.00000,2206.00000,425.66950,427.43580,5.18000,5.16000
2020-12-31,7676.00000,771.00000,6905.00000,5607.00000,5607.00000,1298.00000,1298.00000,241.00000,1057.00000,1057.00000,950.00000,427.06250,428.15780,2.22000,2.22000
2019-12-31,8066.00000,1575.00000,6491.00000,4240.00000,4240.00000,2251.00000,2251.00000,460.00000,1791.00000,1791.00000,1718.00000,449.73100,451.21400,3.82000,3.81000
2018-12-31,7354.00000,1226.00000,6128.00000,3945.00000,3945.00000,2183.00000,2183.00000,462.00000,1721.00000,1721.00000,1692.00000,478.82200,480.43100,3.54000,3.52000
2017-12-31,6454.00000,747.00000,5707.00000,3795.00000,3795.00000,1912.00000,1912.00000,260.00000,1652.00000,1652.00000,1638.00000,502.15700,503.68500,3.26000,3.25000
2016-12-31,5763.00000,508.00000,5255.00000,3551.00000,3721.00000,1534.00000,1534.00000,489.00000,1045.00000,1045.00000,1031.00000,522.09300,523.93100,1.97000,1.97000
2015-12-31,5276.00000,452.00000,4824.00000,3415.00000,3561.00000,1263.00000,1263.00000,423.00000,840.00000,840.00000,833.00000,535.60000,538.22100,1.55000,1.55000
2014-12-31,5342.00000,363.00000,4979.00000,3566.00000,3711.00000,1268.00000,1268.00000,403.00000,865.00000,865.00000,865.00000,556.67400,557.72500,1.55000,1.55000
2013-12-31,5133.00000,443.00000,4690.00000,3621.00000,8158.00000,-3468.00000,-3468.00000,-42.00000,-3426.00000,-3426.00000,-3426.00000,559.99800,559.99800,-6.12000,-6.12000
2012-12-31,5513.00000,619.00000,4894.00000,3793.00000,3870.00000,1024.00000,1024.00000,381.00000,643.00000,643.00000,643.00000,559.99800,559.99800,1.15000,1.15000
2011-12-31,5915.00000,884.00000,5031.00000,4200.00000,4253.00000,778.00000,778.00000,272.00000,506.00000,506.00000,506.00000,559.99800,559.99800,0.90000,0.90000
