,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5019.40000,5019.40000,1399.10000,-241.80000,3015.90000,474.39980,3490.30000,799.30000,2691.00000,2691.00000,2657.20000,3378.50000,3015.90000,358.71300,359.18100,7.41000,7.40000
2021-12-31,4689.70000,4689.70000,1418.20000,-240.90000,2645.20000,728.40000,3373.60000,736.70000,2636.90000,2636.90000,2617.10000,3030.60000,2645.20000,358.34000,358.92900,7.30000,7.29000
2020-12-31,4883.60000,4883.60000,1491.20000,-290.60000,2637.40000,84.70000,2722.10000,615.70000,2106.40000,2106.40000,2105.20000,3101.80000,2637.40000,357.76400,358.52400,5.88000,5.87000
2019-12-31,4868.00000,4868.00000,1446.50000,-360.40000,2587.80000,101.80000,2689.60000,573.80000,2115.80000,2115.80000,2116.50000,3061.10000,2587.80000,357.15500,358.23900,5.93000,5.91000
2018-12-31,4309.40000,4309.40000,1126.10000,-327.00000,2607.60000,170.20000,2777.80000,814.10000,1963.70000,1963.70000,1962.20000,2856.30000,2607.60000,342.34400,343.73700,5.73000,5.71000
2017-12-31,3644.70000,3644.70000,929.40000,-196.20000,2310.60000,215.70000,2526.30000,-1537.10000,4063.40000,4063.40000,4063.40000,2519.10000,2310.60000,338.70700,340.22600,12.00000,11.94000
2016-12-31,3595.20000,3595.20000,921.00000,-248.40000,2200.50000,87.10000,2287.60000,753.50000,1534.10000,1534.10000,1534.10000,2425.80000,2200.50000,337.49600,338.96600,4.55000,4.53000
2015-12-31,3326.80000,3326.80000,892.60000,-216.90000,1988.70000,-31.90000,1956.80000,709.80000,1247.00000,1247.00000,1247.00000,2217.30000,1988.70000,336.22400,337.89400,3.71000,3.69000
2014-12-31,3112.50000,3112.50000,885.50000,-225.40000,1768.40000,3.00000,1771.40000,644.50000,1126.90000,1126.90000,1127.10000,2001.60000,1768.40000,334.40900,336.06300,3.37000,3.35000
2013-12-31,2936.30000,2936.30000,836.00000,-225.20000,1637.00000,-36.00000,1601.00000,622.90000,978.10000,978.10000,976.80000,1875.10000,1637.00000,332.67800,334.39800,2.94000,2.92000
2012-12-31,2914.60000,2914.60000,796.90000,-172.60000,1692.00000,1.40000,1693.40000,786.70000,906.70000,906.70000,896.30000,1945.10000,1692.00000,331.25200,332.31900,2.71000,2.70000
2011-12-31,3280.60000,3280.60000,781.10000,-217.90000,2021.10000,-84.60000,1936.50000,122.10000,1814.40000,1814.40000,1812.30000,2281.60000,2021.10000,332.73700,333.81100,5.45000,5.43000
2010-12-31,3003.70000,3003.70000,723.30000,-191.30000,1831.10000,-109.20000,1721.90000,769.80000,952.10000,952.10000,951.40000,2114.50000,1831.10000,331.49300,332.47500,2.87000,2.86000
2009-12-31,2612.80000,2612.80000,618.50000,-153.80000,1589.10000,-151.60000,1437.50000,611.70000,825.80000,825.80000,825.80000,1853.20000,1589.10000,331.83000,332.74000,2.48800,2.48200
