,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-06-30,68636.15000,56315.62000,12320.53000,-9981.48900,9981.49000,2339.03900,-592.26200,1746.77300,388.00500,1358.76800,1358.76800,1358.76800,3242.27700,2339.03900,510.63060,514.00580,2.66000,2.64000
2021-06-30,51297.84000,41941.09000,9356.75000,-7919.50700,7919.51000,1437.24200,-852.51400,584.72800,60.51900,524.20900,524.20900,524.20900,2315.17900,1437.24200,510.69640,513.55510,1.03000,1.02000
2020-06-30,52893.31000,42991.64000,9901.66400,-9152.15900,9152.16000,749.50390,-456.12100,293.38400,77.90900,215.47500,215.47500,215.47500,1889.51400,749.50390,510.12110,514.02600,0.42000,0.42000
2019-06-30,60113.92000,48704.93000,11408.99000,-9078.83700,9078.84000,2330.15200,-324.31400,2005.83600,331.56500,1674.27100,1674.27100,1674.27100,3115.46900,2330.15200,516.89100,523.38100,3.24000,3.20000
2018-06-30,58727.32000,47641.93000,11085.39000,-8771.33500,8771.34000,2314.05500,-357.83200,1956.22400,525.45800,1430.76600,1430.76600,1430.76600,3108.02700,2314.05500,522.92700,529.09000,2.74000,2.70000
2017-06-30,55371.14000,44813.63000,10557.51000,-8502.89100,8502.89000,2054.61700,-288.38600,1766.23000,623.72700,1142.50300,1142.50300,1142.50300,2988.46100,2054.61700,543.49700,548.54500,2.10000,2.08000
2016-06-30,50366.92000,41326.45000,9040.47300,-7189.97200,7189.97000,1850.50000,-417.49300,1433.00700,483.38500,949.62190,949.62190,949.62200,2558.34700,1850.50000,573.05700,577.39100,1.66000,1.64000
2015-06-30,48680.75000,40129.23000,8551.52000,-7322.15400,7322.16000,1229.36700,-221.21500,1008.14700,321.37400,686.77290,686.77290,686.77300,1810.33100,1229.36700,592.07200,596.84900,1.16000,1.15000
2014-06-30,46516.71000,38335.68000,8181.03500,-6593.91300,6593.91000,1587.12100,-111.49800,1475.62400,544.09100,931.53300,931.53300,931.53300,2143.18300,1587.12100,585.98800,590.21600,1.59000,1.58000
2013-06-30,44411.23000,36414.63000,7996.60900,-6338.12900,6338.12000,1658.48000,-111.02300,1547.45500,555.02800,992.42690,992.42690,992.42700,2171.02900,1658.48000,589.39800,592.67500,1.68000,1.67000
2012-06-30,42380.94000,34601.66000,7779.27300,-5888.64200,5888.64000,1890.63300,-106.63000,1784.00200,662.41700,1121.58500,1121.58500,1121.58500,2307.57600,1890.63300,587.72600,588.99100,1.91000,1.90000
2011-06-30,39323.49000,31928.78000,7394.71100,-5463.21000,5463.21000,1931.50000,-104.04800,1827.45400,675.42400,1152.03000,1152.03000,1152.03000,2334.08800,1931.50000,586.52600,588.69200,1.96000,1.96000
2010-06-30,37243.50000,30055.19000,7188.30900,-5212.43900,5212.44000,1975.87100,-126.27900,1849.58900,669.60600,1179.98300,1179.98300,1179.98300,2365.84700,1975.87100,592.15700,593.59000,1.99000,1.99000
2009-06-30,36853.33000,29817.00000,7036.33000,-5164.12000,5164.12000,1872.21100,-101.37700,1770.83400,714.88600,1055.94800,1055.94800,1055.94800,2254.55000,1872.21100,595.12800,596.06900,1.77000,1.77000
