,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,59283.00000,17411.00000,41872.00000,13548.00000,10042.00000,23590.00000,18282.00000,-1838.00000,16444.00000,1918.00000,14526.00000,14526.00000,,14519.00000,22191.00000,18282.00000,2532.00000,2542.00000,5.73000,5.71000
2021-12-31,48704.00000,13626.00000,35078.00000,12245.00000,9634.00000,21879.00000,13199.00000,680.00000,13879.00000,1521.00000,12358.00000,12358.00000,704.00000,13049.00000,16413.00000,13199.00000,2530.00000,2538.00000,5.16000,5.14000
2020-12-31,41518.00000,13618.00000,27900.00000,13397.00000,8955.00000,22352.00000,5548.00000,315.00000,5863.00000,1340.00000,4523.00000,4523.00000,2548.00000,7067.00000,9034.00000,5548.00000,2530.00000,2541.00000,2.79000,2.78000
2019-12-31,39121.00000,12016.00000,27105.00000,9724.00000,9455.00000,19179.00000,7926.00000,-755.00000,7171.00000,1565.00000,5606.00000,5606.00000,4153.00000,9843.00000,11236.00000,7926.00000,2565.00000,2580.00000,3.84000,3.81000
2018-12-31,42294.00000,13509.00000,28785.00000,9752.00000,10102.00000,19854.00000,8931.00000,-230.00000,8701.00000,2508.00000,6193.00000,6193.00000,,6220.00000,13450.00000,8931.00000,2664.00000,2679.00000,2.34000,2.32000
2017-12-31,40122.00000,12912.00000,27210.00000,10339.00000,10074.00000,20413.00000,6797.00000,-276.00000,6521.00000,4103.00000,2418.00000,2418.00000,,2394.00000,11473.00000,6797.00000,2730.00000,2748.00000,0.88000,0.87000
2016-12-31,39807.00000,14030.00000,25777.00000,10261.00000,10017.00000,20278.00000,5499.00000,-840.00000,4659.00000,718.00000,3941.00000,3941.00000,,3920.00000,10970.00000,5499.00000,2766.00000,2787.00000,1.42000,1.41000
2015-12-31,39498.00000,14934.00000,24564.00000,6704.00000,10313.00000,17017.00000,7547.00000,-2146.00000,5401.00000,942.00000,4459.00000,4459.00000,,4442.00000,13922.00000,7547.00000,2816.00000,2841.00000,1.58000,1.56000
2014-12-31,42237.00000,16768.00000,25469.00000,7180.00000,11606.00000,18786.00000,6683.00000,10600.00000,17283.00000,5349.00000,11934.00000,11934.00000,,11920.00000,13374.00000,6683.00000,2894.00000,2928.00000,4.12000,4.07000
2013-12-31,44033.00000,16954.00000,27079.00000,7503.00000,11911.00000,19414.00000,7665.00000,-2120.00000,5545.00000,1028.00000,4517.00000,4517.00000,,4404.00000,14653.00000,7665.00000,2963.00000,2996.00000,1.49000,1.47000
2012-12-31,47267.00000,16446.00000,30821.00000,8168.00000,12776.00000,20944.00000,9877.00000,-1138.00000,8739.00000,2440.00000,6299.00000,6299.00000,,6165.00000,16855.00000,9877.00000,3041.00000,3076.00000,2.03000,2.00000
2011-12-31,48047.00000,16871.00000,31176.00000,8467.00000,13733.00000,22200.00000,8976.00000,-1642.00000,7334.00000,942.00000,6392.00000,6392.00000,,6257.00000,16403.00000,8976.00000,3071.00000,3094.00000,2.04000,2.02000
2010-12-31,45987.00000,18396.00000,27591.00000,11111.00000,13125.00000,24236.00000,3355.00000,-1702.00000,1653.00000,671.00000,982.00000,982.00000,,859.00000,10736.00000,3355.00000,3095.00000,3120.00000,0.28000,0.28000
2009-12-31,27428.00000,9019.00000,18409.00000,5845.00000,8543.00000,14388.00000,4021.00000,11269.00000,15290.00000,2268.00000,13022.00000,13022.00000,,12853.00000,6597.00000,4021.00000,2268.00000,2273.00000,5.67000,5.65000
