,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8840.54000,6614.33600,2226.20400,1582.92900,-0.56200,2990.18000,-763.97560,-1391.98600,-2155.96100,-2155.96100,-2155.96100,-2155.96200,805.48130,-763.97560,255.01100,255.01100,-8.45000,-8.45000
2021-12-31,1532.13300,2657.51200,-1125.37900,1370.07600,-82.00100,2744.95500,-3870.33400,-1390.16500,-5260.49900,-5260.49900,-5260.49900,-5260.49900,-2328.90100,-3870.33400,251.81200,251.81200,-20.89000,-20.89000
2020-12-31,2208.80500,2765.10800,-556.30320,1199.62000,-1566.38000,4045.25400,-4601.55800,-1173.57300,-5775.13000,-5775.13000,-5775.13000,-5797.46200,-3166.08500,-4601.55800,214.33500,214.33500,-27.05000,-27.05000
2019-12-31,10950.66000,6062.76500,4887.89600,1559.25300,,2805.19500,2082.70100,-175.10100,1907.60000,1907.60000,1907.60000,1878.88700,3392.25000,2082.70100,209.40500,209.93000,8.97000,8.95000
2018-12-31,9493.84900,5262.20700,4231.64200,1303.14400,,2336.84100,1894.80000,-79.00900,1815.79100,1815.79100,1815.79100,1811.04200,2981.47900,1894.80000,210.57000,211.55400,8.60000,8.56000
2017-12-31,8777.84500,4896.57900,3881.26600,1186.01600,,2137.21000,1744.05600,-118.92300,1625.13300,1625.13300,1625.13300,1625.13300,2741.19300,1744.05600,214.61700,215.69400,7.57000,7.53000
2016-12-31,8496.40100,5015.53900,3480.86200,1108.74200,,2003.65700,1477.20500,-193.81700,1283.38800,1283.38800,1283.38800,1283.38800,2424.91500,1477.20500,215.39300,216.31600,5.96000,5.93000
2015-12-31,8299.07400,5099.39300,3199.68100,1086.50400,-411.26700,2324.77900,874.90230,-209.11900,665.78330,665.78330,665.78330,665.78300,1754.06300,874.90230,219.53700,220.68900,3.03000,3.02000
2014-12-31,8073.85500,5306.28100,2767.57400,1048.95200,,1825.71500,941.85890,-177.71300,764.14590,764.14590,764.14590,764.14600,1769.29700,941.85890,221.65800,223.04400,3.45000,3.43000
2013-12-31,7959.89400,5305.27000,2654.62500,1044.81900,,1856.47500,798.14890,-324.45600,473.69290,473.69290,473.69290,473.69200,1552.86000,798.14890,219.63800,220.94100,2.16000,2.14000
2012-12-31,7688.02400,5157.43400,2530.59000,1011.54300,-385.44400,2127.48000,403.10990,-384.82300,18.28690,18.28690,18.28690,18.28700,1133.60300,403.10990,217.93000,219.45700,0.08000,0.08000
2011-12-31,7537.26300,4942.60600,2594.65700,960.60200,,1663.02800,931.62890,-324.20700,607.42190,607.42190,607.42190,607.42100,1634.05500,931.62890,216.98300,219.22900,2.80000,2.77000
2010-12-31,6752.50400,4458.07600,2294.42800,848.07900,,1491.79500,802.63280,-286.98000,515.65280,515.65280,515.65280,515.65300,1446.34900,802.63280,215.02600,217.71100,2.40000,2.37000
2009-12-31,5889.82600,4071.10200,1818.72400,761.99900,,1330.21300,488.51120,-336.02600,152.48520,152.48520,152.48520,152.48500,1056.72500,488.51120,213.80900,215.29500,0.71000,0.71000
