,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,18870.00000,10393.00000,8477.00000,1256.00000,4709.00000,-37.00000,6194.00000,2283.00000,-499.00000,1783.00000,148.00000,1635.00000,1635.00000,144.00000,1689.00000,4512.00000,2283.00000,285.00500,287.36400,5.93000,5.88000
2021-09-30,19131.00000,10500.00000,8631.00000,1279.00000,4719.00000,-203.00000,6380.00000,2251.00000,-559.00000,1692.00000,88.00000,1604.00000,1604.00000,488.00000,2002.00000,4481.00000,2251.00000,289.28800,292.08900,6.92000,6.85000
2020-09-30,16074.00000,9276.00000,6798.00000,1039.00000,4185.00000,-363.00000,5886.00000,912.00000,-498.00000,414.00000,62.00000,352.00000,352.00000,522.00000,767.00000,3027.00000,912.00000,278.97100,282.40200,2.75000,2.71000
2019-09-30,17290.00000,9002.00000,8288.00000,1062.00000,4332.00000,-654.00000,6528.00000,1760.00000,-584.00000,1176.00000,-57.00000,1233.00000,1233.00000,,1082.00000,4013.00000,1760.00000,269.94300,274.77500,4.01000,3.94000
2018-09-30,15983.00000,8714.00000,7269.00000,1004.00000,4016.00000,,5760.00000,1509.00000,-336.00000,1173.00000,862.00000,311.00000,311.00000,,159.00000,3487.00000,1509.00000,258.35400,264.62100,0.62000,0.60000
2017-09-30,12093.00000,6128.00000,5965.00000,770.00000,2909.00000,-410.00000,4443.00000,1522.00000,-546.00000,976.00000,-124.00000,1100.00000,1100.00000,,1030.00000,2610.00000,1522.00000,218.94300,223.58800,4.70000,4.60000
2016-09-30,12483.00000,6492.00000,5991.00000,828.00000,3005.00000,,4561.00000,1430.00000,-356.00000,1074.00000,97.00000,977.00000,977.00000,,976.00000,2544.00000,1430.00000,212.70200,217.53600,4.59000,4.49000
2015-09-30,10282.00000,5587.00000,4695.00000,632.00000,2563.00000,,3621.00000,1074.00000,-335.00000,739.00000,44.00000,695.00000,695.00000,,695.00000,1965.00000,1074.00000,202.53700,207.50900,3.43000,3.35000
2014-09-30,8446.00000,4145.00000,4301.00000,550.00000,2145.00000,,2695.00000,1606.00000,-84.00000,1522.00000,337.00000,1185.00000,1185.00000,,1185.00000,2168.00000,1606.00000,193.29900,197.70900,6.13000,5.99000
2013-09-30,8054.00000,3883.00000,4171.00000,494.00000,2422.00000,,2916.00000,1255.00000,-89.00000,1165.00000,236.00000,929.00000,929.00000,364.00000,1293.00000,1801.00000,1255.00000,195.15700,199.19300,6.63000,6.49000
2012-09-30,7708.00000,3755.00000,3953.00000,472.00000,1923.00000,,2395.00000,1558.00000,-86.00000,1472.00000,363.00000,1109.00000,1110.00000,60.00000,1170.00000,2069.00000,1558.00000,205.46000,209.18100,5.69000,5.59000
2011-09-30,7584.00000,3625.00000,3959.00000,470.00000,1824.00000,,2294.00000,1665.00000,-48.00000,1618.00000,417.00000,1201.00000,1201.00000,70.00000,1271.00000,2159.00000,1665.00000,221.17500,226.28000,5.75000,5.62000
2010-09-30,7124.38500,3428.30800,3696.07700,422.76700,1690.93200,,2113.69900,1582.37700,-15.63700,1566.74100,451.89700,1114.84400,1114.84400,202.76600,1317.61000,2073.79300,1582.37700,234.32800,240.13600,5.62000,5.49000
2009-09-30,6986.72200,3311.67600,3675.04600,404.56700,1680.79700,,2085.36400,1589.68200,-11.09100,1578.59100,411.24600,1167.34500,1167.34500,64.25800,1231.60300,2054.28600,1589.68200,240.47900,246.79800,5.12000,4.99000
