,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,101078.00000,25740.00000,75338.00000,56531.00000,56531.00000,18807.00000,,18807.00000,3642.00000,15165.00000,15165.00000,-231.00000,14845.00000,1946.70000,1964.30000,7.04000,7.00000
2021-12-31,79865.00000,7981.00000,71884.00000,44415.00000,44415.00000,27469.00000,,27469.00000,5451.00000,22018.00000,22018.00000,7.00000,21952.00000,2033.00000,2049.40000,10.21000,10.14000
2020-12-31,88839.00000,13338.00000,75501.00000,61869.00000,61869.00000,13632.00000,,13632.00000,2525.00000,11107.00000,11107.00000,-20.00000,11047.00000,2085.80000,2099.00000,4.74000,4.72000
2019-12-31,103449.00000,28382.00000,75067.00000,51166.00000,51166.00000,23901.00000,,23901.00000,4430.00000,19471.00000,19471.00000,-4.00000,18171.00000,2249.20000,2249.20000,8.08000,8.04000
2018-12-31,97120.00000,24266.00000,72854.00000,49409.00000,49409.00000,23445.00000,,23445.00000,5357.00000,18088.00000,18088.00000,-8.00000,16671.00000,2493.30000,2493.30000,6.69000,6.68000
2017-12-31,88962.00000,16518.00000,72444.00000,49683.00000,49683.00000,22761.00000,,22761.00000,29388.00000,-6627.00000,-6627.00000,-111.00000,-8048.00000,2698.50000,2698.50000,-2.98000,-2.98000
2016-12-31,83309.00000,12512.00000,70797.00000,49320.00000,49320.00000,21477.00000,,21477.00000,6444.00000,15033.00000,15033.00000,-58.00000,13640.00000,2888.10000,2888.10000,4.72000,4.72000
2015-12-31,88275.00000,11921.00000,76354.00000,51528.00000,51528.00000,24826.00000,,24826.00000,7440.00000,17386.00000,17386.00000,-54.00000,16249.00000,3004.00000,3007.70000,5.41000,5.40000
2014-12-31,90909.00000,13690.00000,77219.00000,62518.00000,62518.00000,14701.00000,,14701.00000,7197.00000,7504.00000,7504.00000,-2.00000,6688.00000,3031.60000,3037.00000,2.21000,2.20000
2013-12-31,92901.00000,16177.00000,76724.00000,56922.00000,56922.00000,19802.00000,,19802.00000,6186.00000,13616.00000,13616.00000,270.00000,13465.00000,3035.80000,3041.60000,4.35000,4.34000
2012-12-31,89802.00000,20612.00000,69190.00000,61365.00000,61365.00000,7825.00000,,7825.00000,7.00000,7818.00000,7818.00000,-58.00000,7515.00000,2930.60000,3015.50000,2.51000,2.44000
2011-12-31,101540.00000,24209.00000,77331.00000,62609.00000,62609.00000,14722.00000,,14722.00000,3575.00000,11147.00000,11147.00000,68.00000,11041.00000,2909.80000,2998.80000,3.73000,3.63000
2010-12-31,111697.00000,25096.00000,86601.00000,73417.00000,73417.00000,13184.00000,,13184.00000,2233.00000,10951.00000,10951.00000,-68.00000,10593.00000,2877.60000,2967.80000,3.65000,3.54000
2009-12-31,108187.00000,27902.00000,80285.00000,88197.00000,88197.00000,-7912.00000,113.00000,-7799.00000,-6733.00000,-1066.00000,-1066.00000,-445.00000,-1606.00000,1156.80000,1209.90000,-7.99000,-7.99000
