,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,19991.00000,3614.00000,16377.00000,12302.00000,13049.00000,3328.00000,,3328.00000,768.00000,2560.00000,2560.00000,,2362.00000,811.06800,814.79500,2.91000,2.90000
2021-12-31,16158.00000,227.00000,15931.00000,11201.00000,11283.00000,4648.00000,,4648.00000,877.00000,3771.00000,3771.00000,,3552.00000,851.90500,856.35900,4.17000,4.14000
2020-12-31,16940.00000,1132.00000,15808.00000,11236.00000,11340.00000,4468.00000,,4468.00000,842.00000,3626.00000,3626.00000,,3423.00000,890.83900,892.51400,3.84000,3.83000
2019-12-31,20822.00000,4360.00000,16462.00000,10758.00000,10875.00000,5587.00000,,5587.00000,1120.00000,4467.00000,4467.00000,,4272.00000,939.62300,943.10900,4.53000,4.51000
2018-12-31,19213.00000,2821.00000,16392.00000,11020.00000,11200.00000,5192.00000,,5192.00000,938.00000,4254.00000,4254.00000,,4070.00000,1002.92200,1007.14100,4.06000,4.04000
2017-12-31,16617.00000,1074.00000,15543.00000,10724.00000,10933.00000,4610.00000,,4610.00000,496.00000,4114.00000,4114.00000,,3872.00000,1034.28100,1040.29000,3.74000,3.72000
2016-12-31,15674.00000,437.00000,15237.00000,10275.00000,10512.00000,4725.00000,,4725.00000,1177.00000,3548.00000,3548.00000,,3425.00000,1066.28600,1072.01300,3.16000,3.15000
2015-12-31,15494.00000,300.00000,15194.00000,10613.00000,10874.00000,4320.00000,-85.00000,4235.00000,1013.00000,3222.00000,3222.00000,,3010.00000,1104.71900,1112.51100,2.73000,2.71000
2014-12-31,16046.00000,354.00000,15692.00000,10701.00000,10999.00000,4693.00000,-1130.00000,3563.00000,912.00000,2651.00000,2651.00000,,2451.00000,1129.89700,1137.48000,2.17000,2.15000
2013-12-31,15391.00000,343.00000,15048.00000,10859.00000,11201.00000,3847.00000,-70.00000,3777.00000,1592.00000,2185.00000,2185.00000,,2002.00000,1150.68900,1154.44100,1.74000,1.73000
2012-12-31,15144.00000,534.00000,14610.00000,10310.00000,10694.00000,3916.00000,-559.00000,3357.00000,842.00000,2515.00000,2515.00000,,2389.00000,1176.48500,1178.43000,2.03000,2.03000
2011-12-31,15334.00000,604.00000,14730.00000,10295.00000,10723.00000,4007.00000,-390.00000,3617.00000,1048.00000,2569.00000,2569.00000,,2480.00000,1220.80400,1223.02600,2.03000,2.03000
2010-12-31,14420.00000,545.00000,13875.00000,9376.00000,9797.00000,4078.00000,-384.00000,3694.00000,1047.00000,2647.00000,2647.00000,-66.00000,2495.00000,1212.63000,1216.21400,2.06000,2.05000
2009-12-31,8247.00000,593.00000,7654.00000,9053.00000,9479.00000,-1825.00000,-383.00000,-2208.00000,-1395.00000,-813.00000,-813.00000,-270.00000,-1367.00000,1178.90700,1178.90700,-1.16000,-1.16000
