,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,322467.00000,196892.00000,125575.00000,-117829.00000,117829.00000,7746.00000,-2118.00000,5628.00000,1463.00000,4165.00000,4165.00000,,4149.00000,11993.00000,7746.00000,1312.00000,1323.00000,3.16000,3.14000
2021-12-31,292111.00000,175803.00000,116308.00000,-102684.00000,103115.00000,13193.00000,-2773.00000,10420.00000,2522.00000,7898.00000,7898.00000,,7910.00000,18136.00000,13193.00000,1319.00000,1329.00000,6.00000,5.95000
2020-12-31,268706.00000,163981.00000,104725.00000,-90814.00000,90814.00000,13911.00000,-4141.00000,9770.00000,2569.00000,7201.00000,7201.00000,-9.00000,7179.00000,18352.00000,13911.00000,1309.00000,1314.00000,5.48000,5.46000
2019-12-31,256776.00000,158719.00000,98057.00000,-86070.00000,86070.00000,11987.00000,-2990.00000,8997.00000,2366.00000,6631.00000,6631.00000,0.00000,6634.00000,16358.00000,11987.00000,1301.00000,1305.00000,5.10000,5.08000
2018-12-31,194579.00000,156447.00000,38132.00000,-27962.00000,34111.00000,4021.00000,-2615.00000,1406.00000,2002.00000,-596.00000,-596.00000,0.00000,-594.00000,12888.00000,4021.00000,1044.00000,1044.00000,-0.57000,-0.57000
2017-12-31,184786.00000,153448.00000,31338.00000,-21619.00000,21800.00000,9538.00000,-1270.00000,8268.00000,1637.00000,6631.00000,6631.00000,-8.00000,6622.00000,12198.00000,9538.00000,1020.00000,1024.00000,6.47000,6.44000
2016-12-31,177546.00000,146533.00000,31013.00000,-20627.00000,20627.00000,10386.00000,-1749.00000,8637.00000,3317.00000,5320.00000,5320.00000,-1.00000,5317.00000,12861.00000,10386.00000,1073.00000,1079.00000,4.93000,4.90000
2015-12-31,153290.00000,126762.00000,26528.00000,-17053.00000,17053.00000,9475.00000,-859.00000,8616.00000,3386.00000,5230.00000,5230.00000,9.00000,5237.00000,11567.00000,9475.00000,1118.00000,1126.00000,4.66000,4.63000
2014-12-31,139367.00000,114000.00000,25367.00000,-16568.00000,16568.00000,8799.00000,-1121.00000,7678.00000,3033.00000,4645.00000,4645.00000,-1.00000,4644.00000,10730.00000,8799.00000,1161.00000,1169.00000,3.98000,3.96000
2013-12-31,126761.00000,102978.00000,23783.00000,-15746.00000,15746.00000,8037.00000,-509.00000,7528.00000,2928.00000,4600.00000,4600.00000,-8.00000,4592.00000,9907.00000,8037.00000,1217.00000,1226.00000,3.77000,3.74000
2012-12-31,123120.00000,100632.00000,22488.00000,-15278.00000,15278.00000,7210.00000,-905.00000,6305.00000,2436.00000,3869.00000,3869.00000,-7.00000,3864.00000,8963.00000,7210.00000,1271.00000,1280.00000,3.04000,3.02000
2011-12-31,107080.00000,86518.00000,20562.00000,-14231.00000,14231.00000,6331.00000,-584.00000,5747.00000,2258.00000,3489.00000,3489.00000,-31.00000,3462.00000,7899.00000,6331.00000,1338.00000,1347.00000,2.59000,2.57000
2010-12-31,95778.00000,75559.00000,20219.00000,-14082.00000,14082.00000,6137.00000,-536.00000,5601.00000,2179.00000,3422.00000,3422.00000,2.00000,3427.00000,7606.00000,6137.00000,1367.00000,1377.00000,2.51000,2.49000
2009-12-31,98215.00000,77857.00000,20358.00000,-13933.00000,13933.00000,6425.00000,-525.00000,5900.00000,2200.00000,3700.00000,3700.00000,-4.00000,3696.00000,7814.00000,6425.00000,1434.00000,1450.00000,2.58000,2.55000
