,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4860.28600,2053.51100,2806.77500,834.92700,944.00300,1778.93000,1027.84500,37.12900,1064.97400,91.38900,973.58500,973.58500,973.58500,1191.69800,1027.84500,192.54400,193.04200,5.06000,5.04000
2021-12-31,4982.79500,2092.33600,2890.45900,778.75000,893.08900,1671.83900,1218.62000,-11.82400,1206.79600,124.59600,1082.20000,1082.20000,1082.20000,1373.43800,1218.62000,192.18000,193.04300,5.63000,5.61000
2020-12-31,4186.57300,1705.23700,2481.33600,652.34200,774.75400,1427.09600,1054.24000,49.17000,1103.41000,111.08600,992.32400,992.32400,992.32400,1180.95500,1054.24000,191.08500,191.89500,5.19000,5.17000
2019-12-31,3757.50500,1523.52900,2233.97600,605.36600,683.02400,1288.39000,945.58590,41.63600,987.22200,34.73600,952.48600,952.48600,952.48600,1051.76100,945.58590,189.93100,190.89900,5.01000,4.99000
2018-12-31,3347.44400,1367.72500,1979.71900,567.80500,633.57100,1201.37600,778.34300,44.90400,823.24700,129.16700,694.08000,694.08000,694.08000,874.53700,778.34300,188.63500,189.73400,3.68000,3.66000
2017-12-31,3121.56000,1323.61900,1797.94100,511.63400,602.67000,1114.30400,683.63700,13.43400,697.07100,-11.93600,709.00700,709.00700,709.00700,769.88900,683.63700,187.82800,188.73200,3.77000,3.76000
2016-12-31,3045.79700,1357.27200,1688.52500,467.96000,587.70100,1055.66100,632.86400,5.76100,638.62500,120.90100,517.72400,517.72400,517.72400,719.20400,632.86400,188.81800,189.34300,2.74000,2.73000
2015-12-31,2820.27000,1281.56600,1538.70400,427.04300,562.08000,989.12300,549.58110,17.60600,567.18700,110.96000,456.22700,456.22700,456.22700,627.94100,549.58110,190.63100,191.10700,2.39000,2.39000
2014-12-31,2870.65800,1266.24600,1604.41200,395.12100,518.66500,913.78600,690.62600,33.11900,723.74500,359.53400,364.21100,364.21100,364.21100,767.64100,690.62600,193.10600,194.16500,1.89000,1.88000
2013-12-31,2631.85100,1224.55100,1407.30000,364.92300,468.34500,833.26800,574.03200,79.52600,653.55800,41.14600,612.41200,612.41200,612.41200,652.83600,574.03200,195.41100,196.33900,3.13000,3.12000
2012-12-31,2715.67500,1277.19500,1438.48000,325.77300,508.54700,834.32000,604.15990,20.36800,624.52800,82.12500,542.40300,542.40300,542.40300,694.62690,604.15990,194.90900,196.21300,2.78000,2.76000
2011-12-31,2758.56900,1419.97700,1338.59200,298.58400,486.24100,784.82500,553.76710,30.39400,584.16100,63.26500,520.89600,520.89600,520.89600,648.30210,553.76710,194.10500,194.89400,2.68000,2.67000
2010-12-31,2689.91100,1343.53700,1346.37400,277.26100,432.43700,709.69800,636.67600,-59.40400,577.27200,-7.33100,584.60300,584.60300,584.60300,731.32700,636.67600,196.97900,198.00900,2.97000,2.95000
2009-12-31,2946.44000,1502.32900,1444.11100,238.37800,419.72300,658.10100,786.01000,22.64100,808.65100,104.70100,703.95000,703.95000,703.95000,882.49600,786.01000,200.39500,201.16100,3.51000,3.50000
