,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1424.90000,200.70000,1224.20000,85.70000,195.40000,281.10000,943.10000,-62.90000,880.20000,206.40000,673.80000,673.80000,,673.80000,990.00010,943.10000,107.90000,108.00000,6.24000,6.24000
2021-12-31,1327.60000,191.90000,1135.70000,80.50000,188.40000,268.90000,866.80000,-84.60000,782.20000,-2.60000,784.80000,784.80000,,784.80000,914.70000,866.80000,112.00000,112.20000,7.01000,7.00000
2020-12-31,1265.10000,180.20000,1084.90000,74.70000,186.00000,260.70000,824.20000,-74.00000,750.20000,-64.70000,814.90000,814.90000,,814.90000,870.60000,824.20000,115.10000,115.30000,7.08000,7.07000
2019-12-31,1231.66100,180.46700,1051.19400,60.80500,184.26200,245.06700,806.12700,-47.35100,758.77600,146.47700,612.29900,612.29900,,612.29900,852.45700,806.12700,118.51300,118.96800,5.17000,5.15000
2018-12-31,1214.96900,192.13400,1022.83500,57.88400,197.55900,255.44300,767.39200,-37.87600,729.51600,147.02700,582.48900,582.48900,,582.48900,797.49990,767.39200,113.45200,122.66100,5.13000,4.75000
2017-12-31,1165.09500,193.32600,971.76900,52.34200,211.70500,264.04700,707.72200,-108.71000,599.01200,141.76400,457.24800,457.24800,,457.24800,742.74000,707.72200,100.32500,124.18000,4.56000,3.68000
2016-12-31,1142.16700,198.24200,943.92500,59.10000,198.25300,257.35300,686.57200,-105.39900,581.17300,140.52800,440.64500,440.64500,,440.64500,752.62300,686.57200,107.00100,128.83300,4.12000,3.42000
2015-12-31,1059.36600,192.78800,866.57800,63.71800,196.91400,260.63200,605.94600,-118.29600,487.65000,112.41400,375.23600,375.23600,,375.23600,677.88600,605.94600,114.15500,133.03100,3.29000,2.82000
2014-12-31,1010.11700,188.42500,821.69200,67.77700,189.48800,257.26500,564.42700,-81.11600,483.31100,128.05100,355.26000,355.26000,,355.26000,638.99500,564.42700,126.71000,140.89500,2.80000,2.52000
2013-12-31,965.08700,187.01300,778.07400,70.29700,179.54500,249.84200,528.23200,-71.46100,456.77100,-87.67900,544.45000,544.45000,,544.45000,598.63500,528.23200,144.59100,155.78600,3.77000,3.49000
2012-12-31,873.59200,167.60000,705.99190,61.69400,186.97100,248.66500,457.32700,-44.63200,412.69500,100.21000,312.48500,312.48500,7.54700,320.03200,512.14600,457.32700,156.95300,163.90900,2.04000,1.95000
2011-12-31,771.97800,165.24600,606.73210,53.27700,208.55400,277.34300,329.38900,-135.80200,193.58700,55.03100,138.55600,138.55600,4.33500,142.89100,385.09500,329.38900,165.40800,166.88700,0.87000,0.86000
2010-12-31,680.57800,156.67600,523.90200,53.66400,221.09400,291.61900,232.28300,-136.92900,95.35400,25.32200,70.03200,70.03200,763.82200,830.96700,299.93800,232.28300,177.53400,178.96500,4.68000,4.64000
2009-12-31,615.94700,166.70500,449.24200,52.36400,221.87900,289.28400,159.95800,-35.40600,124.55200,32.93500,91.61700,91.61700,157.62200,245.55300,246.22400,159.95800,191.82100,192.57500,1.28000,1.28000
