,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5103.57400,2189.12000,2914.45400,1140.57700,93.26800,1864.58300,1049.87100,-418.23300,631.63800,69.48900,562.14900,,562.14900,,556.98100,1795.51000,1049.87100,290.81200,292.44400,1.92000,1.90000
2021-12-31,4491.53100,1887.22900,2604.30200,1022.55900,172.04100,1750.13000,854.17190,-225.15700,629.01500,176.29000,452.72500,,452.72500,,450.21900,1551.14200,854.17190,289.45700,290.97500,1.56000,1.55000
2020-12-31,4147.27000,1757.34200,2389.92800,949.21500,340.53700,1455.14300,934.78470,-562.08000,372.70500,29.60900,343.09600,,343.09600,,342.69300,1627.23000,934.78470,288.18300,288.64300,1.19000,1.19000
2019-12-31,4262.58400,1833.31500,2429.26900,991.66400,63.82400,1647.93100,781.33810,-453.19600,328.14200,59.93100,268.21100,,268.21100,0.10400,267.37700,1456.27900,781.33810,286.97100,287.68700,0.93000,0.93000
2018-12-31,4225.76100,1793.95400,2431.80700,1006.98300,73.62200,1623.54000,808.26730,-397.95600,410.31100,42.75300,367.55800,,367.55800,-12.42700,353.93300,1463.45600,808.26730,285.91300,286.65300,1.24000,1.23000
2017-12-31,3845.57800,1664.82500,2180.75300,937.18000,-2.24500,1546.70200,634.05100,-433.07400,200.97700,22.96200,178.01500,,178.01500,-6.29100,170.11300,1174.40000,634.05100,265.89800,266.84500,0.64000,0.64000
2016-12-31,3511.45300,1567.77700,1943.67600,988.33200,-1.41200,1442.07000,501.60570,-354.96200,146.64400,44.94400,101.70000,2.18000,103.88000,3.35300,104.82400,967.08270,501.60570,246.17800,247.26700,0.43000,0.42000
2015-12-31,3007.97600,1290.02500,1717.95100,844.96000,-3.00000,1193.42400,524.52710,-362.46100,162.06600,37.71300,124.35300,0.85000,125.20300,,123.24100,879.24010,524.52710,210.76400,212.11800,0.58000,0.58000
2014-12-31,3117.69300,1344.63600,1773.05700,869.57200,-1.06500,1223.78000,549.27710,-325.90400,223.37300,-97.27500,320.64800,8.30700,328.95500,-0.20900,326.11900,910.42910,549.27710,195.27800,196.74900,1.67000,1.66000
2013-12-31,3024.62300,1288.87800,1735.74500,924.03100,-0.43000,1246.49800,489.24710,-329.37600,159.87100,62.12700,97.74400,1.41700,99.16100,0.83100,96.46200,818.54210,489.24710,190.99400,192.41200,0.51000,0.50000
2012-12-31,3003.95500,1277.11300,1726.84200,850.37100,-4.66100,1171.37600,555.46610,-258.66100,296.80500,114.30400,182.50100,0.20600,182.70700,-8.65900,170.92200,878.75810,555.46610,173.60400,174.86700,0.98000,0.98000
2011-12-31,3014.70300,1245.20000,1769.50300,834.59100,-44.21400,1198.30400,571.19870,-218.29900,352.90000,106.48800,246.41200,,246.41200,153.18000,395.53800,943.51570,571.19870,194.77700,195.93800,2.03000,2.02000
2010-12-31,2892.34900,1192.86200,1699.48700,772.81100,-74.92200,1151.93800,547.54930,-213.32700,334.22200,167.48300,166.73900,,166.73900,-219.41700,-57.58600,943.02030,547.54930,201.99100,201.99100,-0.29000,-0.29000
2009-12-31,2774.38400,1201.87100,1572.51300,749.93400,-0.16800,1027.28800,545.22510,-199.94600,345.27900,113.76200,231.51700,,231.51700,-12.13800,217.95000,827.52810,545.22510,202.81200,204.27100,1.07000,1.07000
