,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12132.00000,2143.00000,9989.00000,305.00000,2195.00000,-496.00000,4255.00000,5734.00000,5734.00000,1652.00000,4082.00000,4082.00000,,3674.00000,6967.00000,5734.00000,332.00000,333.00000,11.05000,11.02000
2021-12-31,7928.00000,1844.00000,6084.00000,155.00000,1821.00000,-835.00000,4193.00000,1891.00000,1891.00000,578.00000,1313.00000,1313.00000,,973.00000,3251.00000,1891.00000,374.00000,375.00000,2.60000,2.59000
2020-12-31,4308.00000,631.00000,3677.00000,274.00000,1540.00000,-4877.00000,8517.00000,-4840.00000,-4840.00000,64.00000,-4904.00000,-4904.00000,,-4860.00000,-3068.00000,-4840.00000,378.00000,378.00000,-12.86000,-12.86000
2019-12-31,6553.00000,448.00000,6105.00000,805.00000,2060.00000,-3518.00000,9113.00000,-3008.00000,-3008.00000,674.00000,-3682.00000,-3682.00000,,-3553.00000,-328.00000,-3008.00000,377.00000,377.00000,-9.43000,-9.43000
2018-12-31,7764.00000,688.00000,7076.00000,503.00000,2085.00000,-1097.00000,6118.00000,958.00000,958.00000,672.00000,286.00000,286.00000,,40.00000,3363.00000,958.00000,382.00000,384.00000,0.11000,0.11000
2017-12-31,6423.00000,195.00000,6228.00000,549.00000,1930.00000,-535.00000,5310.00000,918.00000,918.00000,-585.00000,1503.00000,1503.00000,,1304.00000,3198.00000,918.00000,381.00000,383.00000,3.42000,3.41000
2016-12-31,5354.00000,200.00000,5154.00000,473.00000,2030.00000,-1676.00000,6836.00000,-1682.00000,-1682.00000,-442.00000,-1240.00000,-1240.00000,-33.00000,-1405.00000,936.00000,-1682.00000,379.00000,379.00000,-3.71000,-3.71000
2015-12-31,6889.00000,211.00000,6678.00000,2771.00000,2516.00000,-10128.00000,18847.00000,-12169.00000,-12169.00000,-1010.00000,-11159.00000,-11159.00000,492.00000,-10352.00000,-8869.00000,-12169.00000,378.00000,378.00000,-27.40000,-27.40000
2014-12-31,11472.00000,273.00000,11199.00000,2499.00000,3268.00000,-7669.00000,18029.00000,-6830.00000,-6830.00000,-518.00000,-6312.00000,-6312.00000,-1707.00000,-8360.00000,-2304.00000,-6830.00000,384.00000,384.00000,-21.76000,-21.76000
2013-12-31,14438.00000,288.00000,14150.00000,,3903.00000,-440.00000,10242.00000,3908.00000,3908.00000,1928.00000,1980.00000,1980.00000,308.00000,2188.00000,9774.00000,3908.00000,395.00000,406.00000,5.53000,5.50000
2012-12-31,16564.00000,295.00000,16269.00000,,4117.00000,-400.00000,11429.00000,4840.00000,4840.00000,2853.00000,1987.00000,1987.00000,14.00000,1925.00000,11721.00000,4840.00000,389.00000,391.00000,4.95000,4.92000
2011-12-31,16888.00000,296.00000,16592.00000,,3963.00000,-312.00000,8499.00000,8093.00000,8093.00000,3509.00000,4584.00000,4584.00000,,4508.00000,12297.00000,8093.00000,384.00000,400.00000,11.75000,11.47000
2010-12-31,12092.00000,178.00000,11914.00000,,3102.00000,-340.00000,6708.00000,5206.00000,5206.00000,2174.00000,3032.00000,3032.00000,,3000.00000,8289.00000,5206.00000,352.00000,359.00000,8.53000,8.46000
2009-12-31,8615.00000,143.00000,8472.00000,,2586.00000,-347.00000,8146.00000,326.00000,326.00000,611.00000,-285.00000,-285.00000,,-292.00000,5539.00000,326.00000,336.00000,336.00000,-0.87000,-0.87000
