,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8634.65200,6572.53300,2062.12000,564.19100,-50.69900,901.71600,1160.40300,21.12800,1181.53100,282.43000,899.10100,899.10100,899.10100,1447.22900,1160.40300,27.85100,28.06200,32.28000,32.04000
2021-12-31,7547.06100,5840.05200,1707.00900,606.85400,-40.55500,902.06700,804.94240,7.82000,812.76300,159.77900,652.98400,652.98400,652.98400,1059.59900,804.94240,28.13200,28.51100,23.21000,22.90000
2020-12-31,5984.63400,4943.55300,1041.08100,466.29100,-46.09200,750.91700,290.16360,3.61700,293.78100,-61.98500,355.76600,355.76600,355.76600,528.69760,290.16360,27.91700,28.41600,12.74000,12.52000
2019-12-31,5586.36900,4443.87900,1142.49000,451.55200,-34.20200,698.53200,443.95800,14.32700,458.28500,108.12700,350.15800,350.15800,350.15800,656.73600,443.95800,27.74000,28.29500,12.62000,12.38000
2018-12-31,4864.98500,3953.99300,910.99190,375.46000,-75.18500,652.62400,258.36820,10.06800,268.43600,91.88300,176.55300,176.55300,176.55300,460.34720,258.36820,27.82300,27.96200,6.35000,6.31000
2017-12-31,4476.41200,3720.19600,756.21610,296.38800,-25.68600,485.42200,270.79390,4.94900,275.74300,99.49000,176.25300,176.25300,176.25300,434.14200,270.79390,28.49100,28.56100,6.19000,6.17000
2016-12-31,3904.38400,3406.17000,498.21410,276.24000,-41.03900,463.64700,34.56710,4.17200,38.73900,15.80100,22.93800,22.93800,22.93800,180.93510,34.56710,29.26500,29.77000,0.78000,0.77000
2015-12-31,4501.22300,3326.93600,1174.28700,250.21400,-30.11600,410.69800,763.58910,6.27800,769.86700,294.26500,475.60200,475.60200,475.60200,893.95710,763.58910,31.09200,31.49400,15.30000,15.10000
2014-12-31,4108.26900,2990.51300,1117.75600,273.89700,-22.58500,406.95600,710.80030,3.50300,714.30300,268.92900,445.37400,445.37400,445.37400,821.27430,710.80030,31.03800,31.51200,14.35000,14.13000
2013-12-31,3214.59100,2359.82200,854.76930,203.73300,-22.26200,322.04900,532.72050,1.75100,534.47100,207.03300,327.43800,327.43800,327.43800,628.77450,532.72050,30.95700,31.28100,10.58000,10.47000
2012-12-31,2731.22400,1990.88400,740.34010,183.40900,-16.93600,284.47500,455.86520,1.82000,457.68500,179.68500,278.00000,278.00000,278.00000,539.99520,455.86520,31.51300,31.78300,8.82000,8.75000
2011-12-31,2269.54800,1680.32100,589.22710,149.42600,-14.30100,238.66500,350.56200,-0.85700,349.70500,134.76000,214.94500,214.94500,214.94500,425.50000,350.56200,31.21700,31.77500,6.89000,6.76000
2010-12-31,1835.92200,1346.51700,489.40500,118.59000,-14.06300,201.57400,287.83110,1.23000,289.06100,110.08000,178.98100,178.98100,178.98100,356.75200,287.83110,31.23400,31.73500,5.73000,5.64000
2009-12-31,1518.41700,1139.89800,378.51900,99.14900,-14.35700,174.81400,203.70500,0.52000,204.22500,77.38000,126.84500,126.84500,126.84500,265.01290,203.70500,31.76600,32.10200,3.99000,3.95000
