,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,65984.00000,57697.00000,8287.00000,61.00000,-61.00000,8348.00000,-1668.00000,6680.00000,948.00000,5732.00000,5732.00000,0.00000,5732.00000,9752.00000,8348.00000,263.70000,264.60000,21.74000,21.66000
2021-12-31,67044.00000,57983.00000,9061.00000,62.00000,-62.00000,9123.00000,-1573.00000,7550.00000,1235.00000,6315.00000,6315.00000,0.00000,6315.00000,10487.00000,9123.00000,276.40000,277.40000,22.85000,22.76000
2020-12-31,65398.00000,56744.00000,8654.00000,-10.00000,10.00000,8644.00000,-409.00000,8235.00000,1347.00000,6888.00000,6888.00000,-55.00000,6833.00000,9934.00000,8644.00000,280.00000,281.20000,24.40000,24.30000
2019-12-31,59812.00000,51445.00000,8367.00000,178.00000,-178.00000,8545.00000,-1304.00000,7241.00000,1011.00000,6230.00000,6230.00000,0.00000,6230.00000,9734.00000,8545.00000,282.00000,283.80000,22.09000,21.95000
2018-12-31,53762.00000,46488.00000,7274.00000,60.00000,-60.00000,7334.00000,-1496.00000,5838.00000,792.00000,5046.00000,5046.00000,0.00000,5046.00000,8495.00000,7334.00000,284.50000,286.80000,17.74000,17.59000
2017-12-31,49960.00000,43589.00000,6371.00000,373.00000,-373.00000,6744.00000,-1498.00000,5246.00000,3356.00000,1890.00000,1890.00000,73.00000,1963.00000,7939.00000,6744.00000,287.80000,290.60000,6.82000,6.75000
2016-12-31,47290.00000,41889.00000,5401.00000,487.00000,-487.00000,5888.00000,-1134.00000,4754.00000,1093.00000,3661.00000,3661.00000,1512.00000,5173.00000,7103.00000,5888.00000,299.30000,303.10000,17.28000,17.07000
2015-12-31,40536.00000,36044.00000,4492.00000,220.00000,-220.00000,4712.00000,-413.00000,4299.00000,1173.00000,3126.00000,3126.00000,479.00000,3605.00000,5738.00000,4712.00000,310.30000,314.70000,11.62000,11.46000
2014-12-31,39946.00000,35263.00000,4683.00000,329.00000,-329.00000,5012.00000,-335.00000,4677.00000,1424.00000,3253.00000,3253.00000,361.00000,3614.00000,6006.00000,5012.00000,316.80000,322.40000,11.41000,11.21000
2013-12-31,45358.00000,41171.00000,4187.00000,318.00000,-318.00000,4505.00000,-350.00000,4155.00000,1205.00000,2950.00000,2950.00000,31.00000,2981.00000,5495.00000,4505.00000,320.90000,326.50000,9.29000,9.13000
2012-12-31,47182.00000,42986.00000,4196.00000,238.00000,-238.00000,4434.00000,-362.00000,4072.00000,1327.00000,2745.00000,2745.00000,0.00000,2745.00000,5422.00000,4434.00000,323.70000,328.40000,8.48000,8.36000
2011-12-31,46499.00000,42755.00000,3744.00000,276.00000,-276.00000,4020.00000,-389.00000,3631.00000,964.00000,2667.00000,2667.00000,-12.00000,2655.00000,5028.00000,4020.00000,335.90000,339.90000,7.90000,7.81000
2010-12-31,45671.00000,41827.00000,3844.00000,261.00000,-261.00000,4105.00000,-327.00000,3778.00000,1164.00000,2614.00000,2614.00000,264.00000,2878.00000,5157.00000,4105.00000,364.20000,368.30000,7.90000,7.81000
2009-12-31,43867.00000,39720.00000,4147.00000,220.00000,-220.00000,4367.00000,-185.00000,4182.00000,1215.00000,2967.00000,2967.00000,6.00000,2973.00000,5381.00000,4367.00000,384.80000,388.90000,7.73000,7.64000
