,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7401.00000,1188.00000,6213.00000,3991.00000,3991.00000,2222.00000,-50.00000,2172.00000,563.00000,1609.00000,1609.00000,1509.00000,58.98700,59.51600,25.58000,25.35000
2021-12-31,6027.00000,110.00000,5917.00000,3064.00000,3064.00000,2853.00000,-129.00000,2724.00000,651.00000,2073.00000,2073.00000,1770.00000,55.76300,56.63800,31.74000,31.25000
2020-12-31,4082.00000,85.00000,3997.00000,2255.00000,2255.00000,1742.00000,,1742.00000,448.00000,1294.00000,1294.00000,1191.00000,51.68500,52.08400,23.05000,22.87000
2019-12-31,3531.00000,213.00000,3318.00000,1708.00000,1708.00000,1610.00000,,1610.00000,425.00000,1185.00000,1185.00000,1137.00000,51.91500,52.31100,21.90000,21.73000
2018-12-31,2714.89300,75.92100,2638.97200,1276.06300,1276.06300,1362.90900,,1362.90900,351.56100,1011.34800,1011.34800,973.84000,53.07800,53.77200,18.35000,18.11000
2017-12-31,2022.37100,44.77100,1977.60000,1102.95900,1102.95900,874.64110,,874.64100,355.46300,519.17800,519.17800,490.50600,52.58800,53.30600,9.33000,9.20000
2016-12-31,1649.94800,42.87300,1607.07500,966.47600,966.47600,640.59910,,640.59900,250.33300,390.26600,390.26600,382.68500,51.91500,52.34900,7.37000,7.31000
2015-12-31,1519.55900,40.34000,1479.21900,875.64500,875.64500,603.57400,,603.57400,228.75400,374.82000,374.82000,343.90400,51.31800,51.91600,6.70000,6.62000
2014-12-31,1464.15500,35.32100,1428.83400,766.66600,766.66600,662.16800,,662.16800,183.50800,478.66000,478.66000,263.87000,48.93100,49.66200,5.39000,5.31000
2013-12-31,1402.82700,32.27700,1370.55000,678.93700,678.93700,691.61290,,691.61300,146.83000,544.78300,544.78300,214.51700,45.30900,45.94400,4.73000,4.67000
2012-12-31,984.26400,30.85400,953.41000,590.32800,590.32800,363.08200,,363.08200,113.26900,249.81300,249.81300,175.10300,44.24200,44.76400,3.96000,3.91000
2011-12-31,947.72000,39.11100,908.60890,506.72900,506.72900,401.87990,,401.88000,119.08700,282.79300,282.79300,171.90200,43.00400,43.63700,4.00000,3.94000
2010-12-31,709.26100,43.59600,665.66500,467.44600,467.44600,198.21900,,198.21900,61.40200,136.81700,136.81700,94.95100,41.77400,42.47800,2.27000,2.24000
2009-12-31,528.96900,49.07600,479.89300,429.95400,434.04600,45.84700,,45.84700,35.20700,10.64000,10.64000,22.67400,33.90100,34.18300,0.67000,0.66000
