,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2061.17800,862.99100,1198.18700,131.03300,-7.00400,853.45900,344.72790,162.40200,507.13000,-4.42500,511.55500,,513.54000,2.88400,497.79200,963.43080,344.72790,538.80900,539.14700,0.92000,0.92000
2021-12-31,1896.18400,773.27900,1122.90500,98.30300,-23.16000,807.59000,315.31510,-186.94800,128.36700,-3.26100,131.62800,,137.72800,388.20200,502.27100,914.45510,315.31510,538.93000,539.24100,0.93000,0.93000
2020-12-31,1644.87500,782.54100,862.33400,93.23700,-42.90900,708.43700,153.89690,63.78600,217.68300,-9.42300,227.10600,,160.50700,267.74600,411.14700,779.28280,153.89690,530.55500,531.05600,0.77000,0.77000
2019-12-31,1240.33900,405.24400,835.09500,92.96600,-17.70800,547.82800,287.26700,-110.94700,176.32000,-5.47900,181.79900,,175.46900,-115.40800,43.98700,976.28100,287.26700,486.25500,489.33500,0.09000,0.09000
2018-12-31,1191.32000,378.65700,812.66300,96.70200,-10.91700,513.43710,299.22590,539.35100,838.57700,-4.39600,842.97300,,837.21800,236.25600,1058.42400,877.89990,299.22590,470.55100,475.38700,2.25000,2.24000
2017-12-31,1848.37800,666.25100,1182.12700,88.77200,-166.38400,797.84500,384.28200,26.11800,410.40000,-1.33300,411.73300,,422.63400,,413.01300,947.83500,384.28200,468.75900,468.93500,0.88000,0.88000
2016-12-31,2129.29400,738.39900,1390.89500,103.61100,0.00000,681.54000,709.35500,-342.07100,367.28400,4.47300,362.81100,,374.17100,265.75500,626.54900,1325.25100,709.35500,467.19500,467.40300,1.34000,1.34000
2015-12-31,1940.48900,610.67900,1329.81000,95.96500,-108.34900,736.52800,593.28210,-457.01100,136.27100,-9.80700,146.07800,,152.66800,-699.08610,-560.55200,1150.41600,593.28210,462.79500,462.79500,-1.21000,-1.21000
2014-12-31,1636.83300,381.29400,1255.53900,81.76500,0.00000,553.92300,701.61600,-427.20200,274.41400,-0.50600,274.92000,,271.31500,665.27600,919.79600,1201.80700,701.61600,458.42500,458.79600,2.01000,2.00000
2013-12-31,2099.87800,298.28200,1801.59600,103.04200,0.00000,532.54500,1269.05100,-417.03600,852.01500,5.81500,846.20000,0.00000,910.63300,74.37300,969.10300,1750.10000,1269.05100,455.00200,455.70200,2.13000,2.13000
2012-12-31,1879.97000,280.71600,1599.25400,68.41400,-7.87800,440.97710,1158.27700,-413.19600,745.08100,-1.65400,746.73500,0.00000,801.19000,45.65200,812.28900,1562.33500,1158.27700,427.04700,428.31600,1.90000,1.90000
2011-12-31,1694.41800,218.70100,1475.71700,96.05900,-140.40000,582.51400,893.20300,-402.52200,490.68100,1.30100,489.38000,,536.13000,18.36400,515.30200,1291.89100,893.20300,398.44600,400.21800,1.29000,1.29000
2010-12-31,1240.20600,210.15800,1030.04800,83.01900,11.90000,378.05290,651.99510,-269.31400,382.68100,0.41200,382.26900,-71.69300,315.34600,29.04900,307.49800,983.84410,651.99510,305.57400,306.90000,1.01000,1.00000
2009-12-31,1146.74900,183.29600,963.45300,77.99900,-177.36200,571.30800,392.14500,-291.10100,101.04400,1.91000,99.13400,0.00000,102.64500,43.50600,109.06900,720.20610,392.14500,274.21600,274.63100,0.40000,0.40000
