,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6160.70000,4737.40000,1423.30000,,396.70000,189.20000,216.60000,1206.70000,-115.60000,1091.10000,234.80000,856.30000,856.30000,10.50000,866.80000,1712.70000,1206.70000,62.30000,62.50000,13.91000,13.87000
2021-12-31,5414.00000,4065.60000,1348.40000,,351.00000,34.30000,374.60000,973.79980,-118.30000,855.50000,153.20000,702.30000,702.30000,0.50000,702.50000,1425.50000,973.79980,62.40000,62.60000,11.26000,11.22000
2020-12-31,4729.90000,3477.10000,1252.80000,,305.90000,59.80000,247.40000,1005.40000,-116.10000,889.30000,168.20000,721.10000,721.10000,,721.00000,1398.90000,1005.40000,62.30000,62.40000,11.56000,11.54000
2019-12-31,4739.10000,3560.10000,1179.00000,,302.70000,9.10000,294.10000,884.90010,-136.60000,748.30000,136.30000,612.00000,612.00000,,611.90000,1256.40000,884.90010,62.50000,62.70000,9.77000,9.74000
2018-12-31,4244.30000,3277.70000,966.59990,,280.60000,18.20000,275.90000,690.69970,-114.60000,576.10000,105.70000,470.40000,470.40000,,470.00000,1034.70000,690.69970,62.90000,63.10000,7.46000,7.43000
2017-12-31,3965.60000,2993.70000,971.90010,,262.10000,-0.80000,271.50000,700.39990,-81.50000,618.90000,-94.50000,713.40000,713.40000,,713.30000,997.59990,700.39990,62.90000,63.20000,11.30000,11.25000
2016-12-31,3818.74900,2907.01100,911.73800,,241.60600,8.04300,234.47200,677.26610,-70.23800,607.02800,181.58400,425.44400,425.44400,,425.38600,962.51910,677.26610,63.61000,63.86100,6.66000,6.63000
2015-12-31,3539.57000,2812.65000,726.91990,,210.75400,-15.65300,232.75300,494.16700,-80.36600,413.80100,124.86300,288.93800,288.93800,,288.79200,757.75400,494.16700,66.77000,67.02000,4.31000,4.29000
2014-12-31,2957.95100,2435.59100,522.35990,,169.24500,4.64900,207.48700,314.87280,-65.69500,249.17800,94.84700,154.33100,154.33100,-0.03700,155.60100,537.61880,314.87280,56.85400,57.08800,2.73000,2.71000
2013-12-31,2155.55100,1791.59400,363.95700,,150.09100,4.79300,145.96900,217.98790,-53.76200,164.22600,44.04500,120.18100,120.18100,-0.74900,121.33700,391.74890,217.98790,46.16400,46.28500,2.62000,2.61000
2012-12-31,2031.90100,1704.76700,327.13400,,138.39800,2.57400,170.96400,156.17000,-52.04000,104.13000,17.43100,86.69900,86.69900,-1.17200,84.47400,333.38100,156.17000,45.82800,45.97000,1.83000,1.83000
2011-12-31,1713.61600,1411.61400,302.00200,18.57500,124.13800,1.72000,140.99300,161.00900,-60.42000,100.58900,21.00300,79.58600,79.58600,3.98700,82.37900,334.41600,161.00900,45.65200,45.79300,1.79000,1.78000
2010-12-31,1652.80600,1331.15500,321.65100,1.22000,130.42200,8.29800,123.34400,198.30700,-68.63800,129.66900,30.91300,98.75600,98.75600,-0.09200,97.01200,379.84400,198.30700,45.48500,45.65900,2.11000,2.10000
2009-12-31,1573.31600,1241.74900,331.56710,2.19900,135.88100,-10.57500,148.65500,182.91220,-72.29000,110.62200,25.97400,84.64800,84.64800,3.51600,85.45900,362.30320,182.91220,44.00000,44.19000,1.92000,1.91000
