,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,17491.60000,6465.60000,11026.00000,-4965.90000,4965.90000,6060.10000,6060.10000,1207.90000,4852.20000,4852.20000,4811.60000,6776.00000,6060.10000,251.10000,255.30000,19.16000,18.85000
2021-12-31,14262.70000,7191.80000,7070.90000,-4987.30000,4987.30000,2083.60100,2083.60000,326.20000,1757.40000,1757.40000,1710.60000,2676.70100,2083.60100,269.00000,272.90000,6.36000,6.27000
2020-12-31,14741.70000,8401.70000,6340.00000,-4646.50000,4646.50000,1693.50000,1693.50000,265.00000,1428.50000,1428.50000,1395.80000,2358.30000,1693.50000,274.70000,276.60000,5.08000,5.05000
2019-12-31,16222.10000,10024.90000,6197.20000,-4503.90000,4503.90000,1693.30100,1693.30000,249.20000,1444.10000,1444.10000,1394.20000,2291.50100,1693.30100,278.60000,281.00000,5.00000,4.96000
2018-12-31,14237.20000,8316.10000,5921.10100,-4136.70000,4136.70000,1784.40000,1784.40000,230.70000,1553.70000,1553.70000,1546.50000,2266.80000,1784.40000,285.80000,288.80000,5.41000,5.36000
2017-12-31,14093.20000,7947.20000,6146.00000,-3893.80000,3893.80000,2252.20000,2252.20000,-72.30000,2324.50000,2324.50000,2310.40000,2682.50000,2252.20000,288.90000,293.10000,8.00000,7.88000
2016-12-31,12394.10000,7069.80000,5324.29900,-3732.60000,3732.60000,1591.69900,1591.70000,229.90000,1361.80000,1361.80000,1316.50000,2063.39900,1591.69900,289.40000,292.70000,4.55000,4.50000
2015-12-31,11964.40000,6861.20000,5103.20000,-3672.40000,3672.40000,1430.80100,1430.80000,177.60000,1253.20000,1253.20000,1209.30000,1894.60100,1430.80100,294.40000,298.00000,4.11000,4.06000
2014-12-31,10477.60000,5408.40000,5069.20000,-3574.30000,3574.30000,1494.89900,1494.90000,318.50000,1176.40000,1176.40000,1091.40000,2031.59900,1494.89900,294.70000,298.70000,3.70000,3.65000
2013-12-31,9289.50000,4872.60000,4416.90000,-3292.90000,3292.90000,1124.00000,1124.00000,187.90000,936.10000,936.10000,879.70000,1465.00000,1124.00000,294.60000,298.20000,2.99000,2.95000
2012-12-31,9215.10000,5321.60000,3893.50000,-2933.50000,2933.50000,960.00000,960.00000,134.60000,825.40000,825.40000,773.60000,1187.00000,960.00000,297.50000,300.40000,2.60000,2.58000
2011-12-31,8670.70000,4826.80000,3843.90000,-2971.10000,2971.10000,872.79980,872.80000,198.30000,674.50000,674.50000,605.30000,1264.10000,872.79980,314.50000,317.60000,1.92000,1.91000
2010-12-31,9198.20000,5424.20000,3774.00000,-2988.30000,2988.30000,785.70020,785.70000,104.90000,680.80000,680.80000,629.90000,1219.10000,785.70020,320.30000,323.00000,1.97000,1.95000
2009-12-31,8849.10000,5576.70000,3272.39900,-2526.60000,2526.60000,745.79930,745.80000,100.10000,645.70000,645.70000,589.70000,976.49930,745.79930,297.30000,298.90000,1.98000,1.97000
