,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8930.70000,1080.30000,7850.40000,2540.30000,944.70000,57.50000,3543.00000,4307.40000,-75.00000,4232.40000,910.40000,3322.00000,3322.00000,,3322.00000,4455.70000,4307.40000,256.10000,259.10000,12.97000,12.82000
2021-12-31,7574.40000,904.20000,6670.20000,1937.80000,840.10000,3.10000,3888.10000,2782.10000,-51.70000,2730.40000,388.30000,2342.10000,2342.10000,,2342.10000,2907.70000,2782.10000,257.70000,259.90000,9.09000,9.01000
2020-12-31,6205.70000,736.30000,5469.40000,1644.90000,770.50000,-13.10000,2613.10000,2856.30000,260.60000,3116.90000,405.20000,2711.70000,2711.70000,,2711.70000,2965.80000,2856.30000,259.80000,263.40000,10.44000,10.29000
2019-12-31,4162.80000,547.80000,3615.00000,1754.50000,658.50000,-4.50000,2417.50000,1197.50000,197.40000,1394.90000,218.10000,1176.80000,1176.80000,,1176.80000,1304.40000,1197.50000,256.70000,260.70000,4.58000,4.51000
2018-12-31,3047.59700,409.53900,2638.05800,1416.47600,557.61600,-29.00000,2002.90800,635.15010,-34.90900,600.24100,-1486.86200,2087.10300,2087.10300,,2096.89600,707.57010,635.15010,254.29200,259.18500,8.24000,8.09000
2017-12-31,2488.65200,275.11900,2213.53300,1324.62500,496.07900,-255.34000,2090.29000,123.24290,-138.93200,-15.68900,-107.32400,91.63500,91.63500,,263.48400,184.63990,123.24290,248.85800,253.22500,1.06000,1.04000
2016-12-31,1702.17700,210.46000,1491.71700,1047.69000,432.82900,,1481.78100,9.93620,-77.30200,-67.36600,16.66500,-84.03100,-84.03100,,-112.05200,71.33420,9.93620,244.68500,244.68500,-0.46000,-0.46000
2015-12-31,1032.33600,124.51200,907.82400,995.92200,376.57500,,1374.70300,-466.87900,-90.92100,-557.80000,30.38100,-588.18100,-588.18100,,-556.33400,-404.53600,-466.87900,241.31200,241.31200,-2.31000,-2.31000
2014-12-31,580.41500,60.98700,519.42800,855.50600,305.40900,,1211.84000,-692.41200,-42.46300,-734.87500,6.95800,-741.83300,-741.83300,-0.91200,-738.55500,-629.15500,-692.41200,235.30700,235.30700,-3.14000,-3.14000
2013-12-31,1211.97500,130.27700,1081.69800,882.09700,356.18800,-412.90000,1691.70600,-610.00810,-16.03600,-626.04400,-122.42200,-503.62200,-503.62200,-183.92800,-445.02800,-561.64310,-610.00810,224.90600,224.90600,-1.98000,-1.98000
2012-12-31,1527.04200,279.88500,1247.15700,765.90500,432.68100,0.00000,1200.43000,46.72690,-14.73100,31.99600,-0.27500,32.27100,32.27100,-83.40600,-107.03200,84.91790,46.72690,211.94600,215.26200,-0.50000,-0.50000
2011-12-31,1410.62600,80.50500,1330.12100,707.70600,400.72100,-105.80000,1216.30100,113.81990,-53.37500,60.44500,19.26600,41.17900,41.17900,,29.57400,148.86090,113.81990,204.89100,208.80700,0.14000,0.14000
2010-12-31,143.37000,12.73000,130.64000,637.41600,187.80000,,826.71700,-696.07700,-58.54900,-754.62600,,-754.62600,-754.62600,,-754.62600,-665.61800,-696.07700,200.40200,200.40200,-3.77000,-3.77000
2009-12-31,101.88900,14.20200,87.68700,550.27400,130.19200,-7.20000,701.69910,-614.01210,-28.16600,-642.17800,0.00000,-642.17800,-642.17800,,-642.17800,-583.90510,-614.01210,173.25900,173.25900,-3.71000,-3.71000
