,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,16262.70000,9765.70000,6497.00000,662.20000,4179.10000,-4.40000,4882.10000,1614.89900,1198.30000,2813.20000,734.60000,2078.60000,2078.60000,2078.60000,4642.50000,1614.89900,1212.10000,1217.40000,1.71000,1.71000
2021-12-31,17886.30000,12310.80000,5575.50100,681.00000,4529.20000,-329.20000,5609.50000,-33.99810,-630.40000,-664.40000,604.70000,-1269.10000,-1269.10000,-1269.10000,4472.50200,-33.99810,1208.80000,1208.80000,-1.05000,-1.05000
2020-12-31,11946.00000,8149.30000,3796.70000,512.60000,3344.60000,-107.80000,4007.50000,-210.79980,-510.40000,-721.20000,-51.30000,-669.90000,-669.90000,-669.90000,2005.30000,-210.79980,601.20000,601.20000,-1.11000,-1.11000
2019-12-31,11500.50000,7602.90000,3897.60000,639.90000,2563.60000,21.40000,3182.10000,715.50000,-561.10000,154.40000,137.60000,16.80000,16.80000,16.80000,2734.80000,715.50000,515.70000,516.50000,0.03000,0.03000
2018-12-31,11433.90000,7432.30000,4001.60100,704.50000,2441.00000,49.50000,3096.00000,905.60060,-607.20000,298.40000,-54.10000,352.50000,352.50000,352.50000,3015.50000,905.60060,514.50000,516.50000,0.69000,0.68000
2017-12-31,11907.70000,7124.60000,4783.10000,783.30000,2575.70000,13.10000,3345.90000,1437.20000,-534.20000,903.00000,207.00000,696.00000,696.00000,696.00000,3243.00000,1437.20000,534.50000,536.70000,1.30000,1.30000
2016-12-31,11076.90000,6379.90000,4697.00000,826.80000,2498.50000,-672.50000,3997.80000,699.20120,-577.50000,121.70000,-358.30000,480.00000,480.00000,480.00000,2222.20100,699.20120,513.00000,520.50000,0.94000,0.92000
2015-12-31,9429.30000,5213.20000,4216.10000,671.90000,2180.70000,97.40000,2755.20000,1460.90000,-545.50000,915.40000,67.70000,847.70000,847.70000,847.60000,2493.00000,1460.90000,472.20000,497.40000,1.80000,1.70000
2014-12-31,7719.60000,4191.60000,3528.00000,581.80000,1625.70000,32.10000,2175.40000,1352.60100,-378.10000,974.50000,41.40000,933.10000,933.10000,929.40000,1919.20100,1352.60100,373.70000,398.00000,2.49000,2.34000
2013-12-31,6909.10000,3868.80000,3040.30000,507.80000,1408.50000,11.50000,1904.80000,1135.50000,-388.20000,747.30000,120.80000,626.50000,626.50000,623.70000,1651.50000,1135.50000,383.30000,394.50000,1.63000,1.58000
2012-12-31,6796.10000,3887.80000,2908.30000,401.30000,1392.40000,-5.20000,1798.90000,1109.40000,-305.20000,804.20000,161.20000,643.00000,643.00000,640.90000,1656.00000,1109.40000,415.20000,420.20000,1.54000,1.52000
2011-12-31,6129.82500,3566.46100,2563.36400,294.72800,1214.63100,-48.55600,1557.91500,1005.44900,-350.81300,654.63600,115.83300,538.80300,538.80300,536.81000,1516.13700,1005.44900,430.83900,438.78500,1.25000,1.22000
2010-12-31,5450.52200,3233.12500,2217.39700,282.14600,1086.60900,-127.05800,1495.81300,721.58400,-365.64000,355.94400,10.40200,345.54200,345.54200,223.58000,1144.37200,721.58400,324.45300,328.97900,0.69000,0.68000
2009-12-31,5092.78500,3018.31300,2074.47200,275.25800,1050.14500,-225.71700,1551.12000,523.35250,-296.37700,226.97500,-20.77300,247.74800,247.74800,93.53600,924.50950,523.35250,305.16200,306.91300,0.31000,0.30000
