,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,17652.00000,11096.00000,6556.00000,448.00000,3842.00000,4877.00000,1679.00000,-298.00000,1381.00000,325.00000,1056.00000,1056.00000,-2.00000,1026.00000,2233.00000,1679.00000,236.10000,237.30000,4.34000,4.32000
2021-12-31,16802.00000,10286.00000,6516.00000,439.00000,3780.00000,4811.00000,1705.00000,110.00000,1815.00000,374.00000,1441.00000,1441.00000,19.00000,1439.00000,2266.00000,1705.00000,237.60000,239.40000,6.06000,6.01000
2020-12-31,13834.00000,7777.00000,6057.00000,379.00000,3389.00000,4451.00000,1606.00000,-244.00000,1362.00000,291.00000,1071.00000,1071.00000,3.00000,1059.00000,2115.00000,1606.00000,236.80000,237.90000,4.47000,4.45000
2019-12-31,15146.00000,8653.00000,6493.00000,432.00000,3604.00000,4723.00000,1770.00000,-109.00000,1661.00000,392.00000,1269.00000,1269.00000,,1243.00000,2281.00000,1770.00000,236.90000,238.20000,5.25000,5.22000
2018-12-31,15374.00000,9001.00000,6373.00000,441.00000,3573.00000,4577.00000,1796.00000,-103.00000,1693.00000,353.00000,1340.00000,1340.00000,18.00000,1341.00000,2293.00000,1796.00000,243.90000,245.40000,5.50000,5.47000
2017-12-31,14748.00000,8209.00000,6539.00000,451.00000,3554.00000,4465.00000,2074.00000,-69.00000,2005.00000,615.00000,1390.00000,1390.00000,225.00000,1594.00000,2534.00000,2074.00000,256.10000,257.80000,6.22000,6.18000
2016-12-31,14270.00000,7665.00000,6605.00000,453.00000,3555.00000,4639.00000,1966.00000,-1187.00000,779.00000,214.00000,565.00000,565.00000,330.00000,873.00000,2406.00000,1966.00000,265.60000,267.40000,3.29000,3.27000
2015-12-31,14241.00000,7786.00000,6455.00000,466.00000,3584.00000,4632.00000,1823.00000,-78.00000,1745.00000,413.00000,1332.00000,1332.00000,95.00000,1406.00000,2269.00000,1823.00000,271.40000,273.60000,5.18000,5.14000
2014-12-31,14791.00000,8348.00000,6443.00000,483.00000,3696.00000,4629.00000,1814.00000,-468.00000,1346.00000,237.00000,1109.00000,1109.00000,1050.00000,2102.00000,2264.00000,1814.00000,276.60000,279.60000,7.60000,7.52000
2013-12-31,14265.00000,8314.00000,5951.00000,463.00000,3486.00000,4499.00000,1452.00000,-226.00000,1226.00000,253.00000,973.00000,973.00000,2380.00000,3231.00000,1904.00000,1452.00000,286.80000,290.20000,11.27000,11.13000
2012-12-31,12686.00000,7599.00000,5087.00000,430.00000,2987.00000,3992.00000,1095.00000,-267.00000,828.00000,148.00000,680.00000,680.00000,384.00000,941.00000,1494.00000,1095.00000,306.80000,310.20000,3.06500,3.03000
2011-12-31,13153.00000,7865.00000,5288.00000,428.00000,3122.00000,3975.00000,1313.00000,-91.00000,1222.00000,260.00000,962.00000,962.00000,250.00000,1095.00000,1738.00000,1313.00000,314.60000,318.60000,3.48000,3.43500
2010-12-31,13423.00000,8214.00000,5209.00000,394.00000,2979.00000,3843.00000,1366.00000,-71.00000,1295.00000,415.00000,880.00000,880.00000,,769.00000,1836.00000,1366.00000,329.00000,331.80000,2.33500,2.31500
2009-12-31,12239.00000,7539.00000,4700.00000,388.00000,2936.00000,3990.00000,710.00000,-93.00000,617.00000,191.00000,426.00000,426.00000,,336.00000,1190.00000,710.00000,329.60000,331.00000,1.02000,1.01500
