,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,29310.00000,29310.00000,8025.00000,-1611.00000,18813.00000,-677.00000,18136.00000,3179.00000,14957.00000,14957.00000,14957.00000,19674.00000,18813.00000,1906.00000,2391.00000,7.85000,6.26000
2021-09-30,24105.00000,24105.00000,6764.00000,-733.00000,15804.00000,259.00000,16063.00000,3752.00000,12311.00000,12311.00000,12311.00000,16608.00000,15804.00000,1946.00000,2443.00000,6.33000,5.04000
2020-09-30,21846.00000,21846.00000,6260.00000,-738.00000,14081.00000,-291.00000,13790.00000,2924.00000,10866.00000,10866.00000,10866.00000,14848.00000,14081.00000,1953.00000,2479.00000,5.56000,4.38000
2019-09-30,22977.00000,22977.00000,6199.00000,-1121.00000,15001.00000,-117.00000,14884.00000,2804.00000,12080.00000,12080.00000,12080.00000,15657.00000,15001.00000,1999.00000,2529.00000,6.04000,4.78000
2018-09-30,20609.00000,20609.00000,5749.00000,-1293.00000,12954.00000,-148.00000,12806.00000,2505.00000,10301.00000,10301.00000,10301.00000,13556.00000,12954.00000,2049.00000,2586.00000,5.03000,3.98000
2017-09-30,18358.00000,18358.00000,5019.00000,-639.00000,12144.00000,-450.00000,11694.00000,4995.00000,6699.00000,6699.00000,6699.00000,12700.00000,12144.00000,2104.00000,2654.00000,3.18000,2.52000
2016-09-30,15082.00000,15082.00000,4280.00000,-2417.00000,7883.00000,129.00000,8012.00000,2021.00000,5991.00000,5991.00000,5991.00000,8385.00000,7883.00000,2170.00000,2678.00000,2.76000,2.24000
2015-09-30,13880.00000,13880.00000,3834.00000,-488.00000,9064.00000,-69.00000,8995.00000,2667.00000,6328.00000,6328.00000,6328.00000,9558.00000,9064.00000,2221.00000,2724.00000,2.85000,2.32000
2014-09-30,12702.00000,12702.00000,3610.00000,-960.00000,7697.00000,27.00000,7724.00000,2286.00000,5438.00000,5438.00000,5438.00000,10724.00000,7697.00000,2264.00000,2794.00000,2.40000,1.95000
2013-09-30,11778.00000,11778.00000,3671.00000,-471.00000,7239.00000,18.00000,7257.00000,2277.00000,4980.00000,4980.00000,4980.00000,9957.00000,7239.00000,2353.00000,2897.00000,2.12000,1.72000
2012-09-30,10421.00000,10421.00000,3435.00000,-4514.00000,2139.00000,68.00000,2207.00000,65.00000,2142.00000,2142.00000,2144.00000,4627.00000,2139.00000,3240.00000,3856.00000,0.66250,0.55500
2011-09-30,9188.00000,9188.00000,3080.00000,-364.00000,5456.00000,200.00000,5656.00000,2010.00000,3646.00000,3646.00000,3650.00000,7624.00000,5456.00000,3296.00000,4088.00000,1.10750,0.89280
2010-09-30,8065.00000,8065.00000,2831.00000,-380.00000,4589.00000,49.00000,4638.00000,1674.00000,2964.00000,2964.00000,2966.00000,6414.00000,4589.00000,3356.00000,4384.00000,0.88500,0.67750
2009-09-30,6911.00000,6911.00000,2752.00000,-395.00000,3538.00000,462.00000,4000.00000,1648.00000,2352.00000,2352.00000,2353.00000,4998.00000,3538.00000,3376.00000,4608.00000,0.69750,0.51000
