,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,82156.00000,34535.00000,47621.00000,10993.00000,59.00000,18438.00000,29183.00000,-955.00000,28228.00000,9548.00000,18680.00000,18680.00000,,18680.00000,36937.00000,29183.00000,1274.02800,1278.16300,14.62000,14.57000
2021-12-31,48349.00000,18502.00000,29847.00000,8047.00000,-776.00000,16031.00000,13816.00000,-1104.00000,12712.00000,4633.00000,8079.00000,8079.00000,,8079.00000,21266.00000,13816.00000,1324.19400,1328.15100,6.09000,6.07000
2020-12-31,19256.00000,9535.00000,9721.00000,5528.00000,-826.00000,11875.00000,-2154.00000,-986.00000,-3140.00000,-485.00000,-2655.00000,-2655.00000,,-2701.00000,3619.00000,-2154.00000,1078.03000,1078.03000,-2.51000,-2.51000
2019-12-31,36670.00000,12585.00000,24085.00000,6831.00000,-470.00000,13391.00000,10694.00000,-1170.00000,9524.00000,2267.00000,7257.00000,7257.00000,,7189.00000,17110.00000,10694.00000,1117.26000,1123.53600,6.43000,6.40000
2018-12-31,38727.00000,14663.00000,24064.00000,6662.00000,-402.00000,13020.00000,11044.00000,-1071.00000,9973.00000,3668.00000,6305.00000,6305.00000,,6257.00000,17353.00000,11044.00000,1166.49900,1175.53800,5.36000,5.32000
2017-12-31,32584.00000,13409.00000,19175.00000,6398.00000,-7052.00000,20295.00000,-1120.00000,-1495.00000,-2615.00000,-1822.00000,-793.00000,-793.00000,,-855.00000,6087.00000,-1120.00000,1221.03800,1221.03800,-0.70000,-0.70000
2016-12-31,24360.00000,11906.00000,12454.00000,6855.00000,-416.00000,16333.00000,-3879.00000,-1651.00000,-5530.00000,-1971.00000,-3559.00000,-3559.00000,,-3615.00000,5608.00000,-3879.00000,1245.44000,1245.44000,-2.91000,-2.91000
2015-12-31,30935.00000,16618.00000,14317.00000,8870.00000,-2245.00000,20228.00000,-5911.00000,-1328.00000,-7239.00000,-2868.00000,-4371.00000,-4371.00000,,-4428.00000,3685.00000,-5911.00000,1241.91900,1241.91900,-3.58000,-3.58000
2014-12-31,55517.00000,24144.00000,31373.00000,11732.00000,-856.00000,20917.00000,10456.00000,-1066.00000,9390.00000,3583.00000,5807.00000,5807.00000,1131.00000,6869.00000,19269.00000,10456.00000,1237.32500,1245.86300,5.54000,5.51000
2013-12-31,58248.00000,23875.00000,34373.00000,10976.00000,-529.00000,18939.00000,15434.00000,-988.00000,14446.00000,6409.00000,8037.00000,8037.00000,1178.00000,9156.00000,23302.00000,15434.00000,1230.96300,1239.80300,7.43000,7.38000
2012-12-31,62004.00000,26732.00000,35272.00000,11445.00000,-680.00000,18705.00000,16567.00000,-1144.00000,15423.00000,7942.00000,7481.00000,7481.00000,1017.00000,8428.00000,23541.00000,16567.00000,1243.79900,1253.09300,6.77000,6.72000
2011-12-31,66069.00000,30835.00000,35234.00000,11290.00000,-321.00000,18438.00000,16796.00000,-1400.00000,15396.00000,8208.00000,7188.00000,7188.00000,5314.00000,12436.00000,24045.00000,16796.00000,1375.03500,1387.10000,9.04000,8.97000
2010-12-31,63335.00000,25979.00000,37356.00000,9824.00000,-81.00000,17909.00000,19447.00000,-1572.00000,17875.00000,7570.00000,10305.00000,10305.00000,1112.00000,11358.00000,27860.00000,19447.00000,1479.33000,1491.06700,7.68000,7.62000
2009-12-31,152390.00000,103615.00000,48775.00000,27698.00000,-535.00000,37528.00000,11247.00000,-1665.00000,9582.00000,5090.00000,4492.00000,4492.00000,,4414.00000,20964.00000,11247.00000,1487.65000,1497.60800,2.96000,2.94000
