,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,52577.00000,35338.00000,17239.00000,1912.00000,3863.00000,-1275.00000,8112.00000,9127.00000,9127.00000,2007.00000,7120.00000,7130.00000,7131.00000,12084.00000,10189.00000,304.50000,306.30000,23.42000,23.28000
2021-10-31,44024.00000,29116.00000,14908.00000,1587.00000,3383.00000,-1343.00000,7306.00000,7602.00000,7602.00000,1658.00000,5944.00000,5965.00000,5963.00000,10645.00000,8595.00000,311.60000,314.00000,19.14000,18.99000
2020-10-31,35540.00000,23677.00000,11863.00000,1644.00000,3477.00000,-1612.00000,7980.00000,3883.00000,3883.00000,1082.00000,2801.00000,2753.00000,2751.00000,7248.00000,5130.00000,313.50000,316.60000,8.77000,8.69000
2019-10-31,39258.00000,26792.00000,12466.00000,1783.00000,3551.00000,-1578.00000,8378.00000,4088.00000,4088.00000,852.00000,3236.00000,3257.00000,3253.00000,7573.00000,5554.00000,316.50000,320.60000,10.28000,10.15000
2018-10-31,37358.00000,25571.00000,11787.00000,1658.00000,3455.00000,-1399.00000,7716.00000,4071.00000,4071.00000,1727.00000,2344.00000,2371.00000,2368.00000,7202.00000,5275.00000,322.60000,327.30000,7.34000,7.24000
2017-10-31,29738.00000,19866.00000,9872.00000,1373.00000,3098.00000,-1348.00000,6718.00000,3154.00000,3154.00000,971.00000,2183.00000,2159.00000,2159.00000,5769.00000,4053.00000,319.50000,323.30000,6.76000,6.68000
2016-10-31,26644.00000,18196.10000,8447.90000,1393.70000,2791.20000,-1275.30000,6223.90000,2224.00200,2224.00000,700.10000,1523.90000,1521.50000,1523.90000,4547.50200,2987.70200,315.20000,316.60000,4.83000,4.81000
2015-10-31,28862.80000,20143.20000,8719.60200,1425.10000,2873.30000,-961.10000,5939.50000,2780.10200,2780.10000,840.10000,1940.00000,1940.90000,1940.00000,4842.50100,3460.10200,333.60000,336.00000,5.81000,5.77000
2014-10-31,36066.90000,24775.80000,11291.10000,1452.00000,3284.40000,-1093.30000,6493.70000,4797.39600,4797.40000,1626.50000,3170.90000,3163.30000,3161.70000,6767.89600,5461.39600,363.00000,366.10000,8.71000,8.63000
2013-10-31,37795.40000,25667.30000,12128.10000,1477.30000,3605.50000,-820.60000,6644.70000,5483.39600,5483.40000,1945.90000,3537.50000,3537.60000,3537.30000,7364.99600,6224.69600,385.30000,389.20000,9.18000,9.09000
2012-10-31,36157.10000,25007.80000,11149.30000,1433.60000,3417.00000,-781.50000,6414.90000,4734.40000,4734.40000,1659.40000,3075.00000,3071.60000,3064.70000,6521.40000,5517.20000,397.10000,401.50000,7.72000,7.63000
2011-10-31,32012.50000,21919.40000,10093.10000,1226.20000,3168.70000,-716.00000,5870.30000,4222.80100,4222.80000,1423.60000,2799.20000,2807.80000,2799.90000,5897.10100,4982.20100,417.40000,422.40000,6.71000,6.63000
2010-10-31,26004.60000,17398.80000,8605.79900,1052.40000,2968.70000,-748.10000,5580.60000,3025.19900,3025.20000,1161.60000,1863.60000,1874.30000,1864.30000,4778.59900,3836.59900,424.00000,428.60000,4.40000,4.35000
2009-10-31,23112.40000,16255.20000,6857.20000,977.00000,2780.60000,-718.00000,5518.00000,1339.20100,1339.20000,460.00000,879.20000,872.90000,873.50000,3544.10100,2381.60100,422.80000,424.40000,2.07000,2.06000
