,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,115053.00000,20103.00000,94950.00000,63981.00000,63981.00000,30969.00000,,30969.00000,3441.00000,27528.00000,27528.00000,26015.00000,8113.70000,8167.50000,3.21000,3.19000
2021-12-31,93851.00000,4738.00000,89113.00000,55137.00000,55137.00000,33976.00000,,33976.00000,1998.00000,31978.00000,31978.00000,30557.00000,8493.30000,8558.40000,3.60000,3.57000
2020-12-31,93753.00000,8225.00000,85528.00000,66533.00000,66533.00000,18995.00000,,18995.00000,1101.00000,17894.00000,17894.00000,16473.00000,8753.20000,8796.90000,1.88000,1.87000
2019-12-31,113589.00000,22345.00000,91244.00000,58490.00000,58490.00000,32754.00000,,32754.00000,5324.00000,27430.00000,27430.00000,25998.00000,9390.50000,9442.90000,2.77000,2.75000
2018-12-31,109627.00000,18607.00000,91020.00000,56436.00000,56436.00000,34584.00000,,34584.00000,6437.00000,28147.00000,28147.00000,26696.00000,10096.50000,10236.90000,2.64000,2.61000
2017-12-31,99466.00000,12340.00000,87126.00000,57913.00000,57913.00000,29213.00000,,29213.00000,10981.00000,18232.00000,18232.00000,16618.00000,10195.60000,10778.40000,1.63000,1.56000
2016-12-31,93662.00000,9961.00000,83701.00000,58680.00000,58680.00000,25021.00000,,25021.00000,7199.00000,17822.00000,17822.00000,16140.00000,10284.10000,11046.80000,1.57000,1.49000
2015-12-31,93514.00000,10549.00000,82965.00000,60778.00000,60778.00000,22187.00000,,22187.00000,6277.00000,15910.00000,15910.00000,14427.00000,10462.28000,11236.23000,1.38000,1.31000
2014-12-31,96829.00000,10935.00000,85894.00000,76995.00000,77931.00000,7963.00000,,7963.00000,2443.00000,5520.00000,5520.00000,4476.00000,10527.82000,10584.54000,0.43000,0.42000
2013-12-31,101697.00000,12755.00000,88942.00000,71684.00000,72770.00000,16172.00000,,16172.00000,4741.00000,11431.00000,11431.00000,10082.00000,10731.17000,11491.42000,0.94000,0.90000
2012-12-31,100078.00000,16744.00000,83334.00000,78998.00000,80262.00000,3072.00000,,3072.00000,-1116.00000,4188.00000,4188.00000,2760.00000,10746.03000,10840.85000,0.26000,0.25000
2011-12-31,115074.00000,21620.00000,93454.00000,88353.00000,93046.00000,408.00000,-638.00000,-230.00000,-1676.00000,1446.00000,1446.00000,85.00000,10142.63000,10254.82000,0.01000,0.01000
2010-12-31,134194.00000,23974.00000,110220.00000,95592.00000,109723.00000,497.00000,-1820.00000,-1323.00000,915.00000,-2238.00000,-2238.00000,-3599.00000,9790.47200,9790.47200,-0.37000,-0.37000
2009-12-31,150450.00000,30807.00000,119643.00000,110584.00000,112562.00000,7081.00000,-2721.00000,4360.00000,-1916.00000,6276.00000,6276.00000,-2204.00000,7728.57000,7728.57000,-0.29000,-0.29000
