,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,25702.00000,25702.00000,204.00000,11608.00000,-382.00000,9966.00000,-65.00000,9901.00000,2142.00000,7759.00000,7759.00000,7759.00000,13508.00000,9966.00000,583.00000,587.00000,13.31000,13.22000
2021-12-31,18642.00000,18642.00000,225.00000,8288.00000,-376.00000,6102.00000,-169.00000,5933.00000,1269.00000,4664.00000,4664.00000,4664.00000,9753.00000,6102.00000,581.00000,584.00000,8.03000,7.99000
2020-12-31,11032.00000,11032.00000,159.00000,5917.00000,-2100.00000,-544.00000,-195.00000,-739.00000,-134.00000,-605.00000,-605.00000,-605.00000,2856.00000,-544.00000,579.00000,579.00000,-1.04000,-1.04000
2019-12-31,17380.00000,17380.00000,168.00000,9245.00000,-518.00000,3699.00000,-154.00000,3545.00000,810.00000,2735.00000,2735.00000,2735.00000,7449.00000,3699.00000,578.00000,581.00000,4.73000,4.71000
2018-12-31,17275.40000,17275.40000,154.40400,8869.22000,-347.02100,4469.34600,-228.34800,4240.99800,821.95800,3419.04000,3419.04000,3419.04000,7904.75400,4469.34600,576.57800,580.44100,5.93000,5.89000
2017-12-31,11208.32000,11208.32000,149.95100,6243.34000,-479.24000,926.40140,-265.22000,661.18200,-1921.39700,2582.57900,2582.57900,2582.57900,4335.78800,926.40140,574.62000,578.69300,4.49000,4.46000
2016-12-31,7650.63200,7650.63200,135.61000,4566.61900,-620.26700,-1225.28100,-332.22400,-1557.50500,-460.81900,-1096.68600,-1096.68600,-1096.68600,2328.13600,-1225.28100,553.38400,553.38400,-1.98000,-1.98000
2015-12-31,8757.42800,8757.42800,164.24000,5352.07700,-6613.54600,-6686.07900,-235.47700,-6921.55600,-2397.04100,-4524.51500,-4524.51500,-4524.51500,-3372.43500,-6686.07900,545.69700,545.69700,-8.29000,-8.29000
2014-12-31,18035.34000,18035.34000,232.87800,7820.02300,-743.57500,5241.82200,-246.50800,4995.31500,2079.82800,2915.48700,2915.48700,2915.48700,9238.86300,5241.82200,543.44300,548.53900,5.36000,5.32000
2013-12-31,14487.12000,14487.12000,236.00100,6687.98900,-286.94100,3675.21000,-238.32500,3436.88600,1239.77700,2197.10900,2197.10900,2197.10900,7276.18600,3675.21000,540.34100,546.22700,4.07000,4.02000
2012-12-31,11682.64000,11682.64000,200.53900,5561.86200,-1270.73500,1479.79700,-199.05700,1280.74000,710.46100,570.27900,570.27900,570.27900,4649.50000,1479.79700,535.15500,541.52400,1.07000,1.05000
2011-12-31,10126.12000,10126.12000,224.88800,4240.50000,-1031.03700,2113.30900,-203.51000,1909.79900,818.67600,1091.12300,1091.12300,1091.12300,4629.69000,2113.30900,525.47000,532.53600,2.07500,2.05000
2010-12-31,6099.89600,6099.89600,259.86700,2632.13700,-742.64700,523.31840,-115.34300,407.97600,247.32200,160.65400,160.65400,160.65400,2465.24400,523.31840,501.75200,509.00000,0.32000,0.31500
2009-12-31,4786.95900,4786.95900,220.83500,1740.26300,-305.83200,970.84110,-98.83000,872.01100,325.38400,546.62700,546.62700,546.62700,2520.02900,970.84110,497.99200,503.76800,1.10000,1.08500
