,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12440.00000,8289.00000,4151.00000,603.00000,1768.00000,-117.00000,5477.00000,-1326.00000,-299.00000,-1625.00000,239.00000,-1864.00000,-1864.00000,-1871.00000,-147.00000,-1326.00000,255.00000,255.00000,-7.32000,-7.32000
2021-12-31,11656.00000,7921.00000,3735.00000,629.00000,1749.00000,1.00000,3150.00000,585.00000,-231.00000,354.00000,75.00000,279.00000,279.00000,270.00000,1741.00000,585.00000,243.00000,243.00000,1.11000,1.10000
2020-12-31,5084.00000,2998.00000,2086.00000,357.00000,949.00000,-4.00000,1520.00000,566.00000,-125.00000,441.00000,74.00000,367.00000,367.00000,363.00000,891.00000,566.00000,112.00000,114.00000,3.25000,3.21000
2019-12-31,5140.00000,3027.00000,2113.00000,346.00000,876.00000,-3.00000,1448.00000,665.00000,-108.00000,557.00000,97.00000,460.00000,460.00000,456.00000,988.00000,665.00000,112.00000,113.00000,4.05000,4.00000
2018-12-31,3977.53900,2294.83200,1682.70700,311.58300,707.46100,1.17700,1098.82500,583.88210,-136.12500,447.75700,107.97600,339.78100,339.78100,337.30200,757.67410,583.88210,87.55100,88.12100,3.81000,3.79000
2017-12-31,3398.71900,1926.25600,1472.46300,295.46900,570.14400,0.18400,919.83300,552.63010,-15.58500,537.04500,241.38000,295.66500,295.66500,295.66500,670.59710,552.63010,79.07000,79.37000,3.73000,3.72000
2016-12-31,3116.35000,1720.78700,1395.56300,258.86300,572.51800,10.83600,842.60800,552.95480,-29.23800,523.71700,118.68600,405.03100,405.03100,405.03100,655.42380,552.95480,79.64800,79.98100,5.07000,5.05000
2015-12-31,3023.18900,1671.59000,1351.59900,246.10100,494.51700,0.00000,763.25200,588.34690,-49.24600,539.10100,119.85400,419.24700,419.24700,419.24700,677.94390,588.34690,80.44900,80.89100,5.19000,5.16000
2014-12-31,3088.53300,1726.38300,1362.15000,253.64000,507.56300,,769.82900,592.32080,-43.26000,549.06100,134.51800,414.54300,414.54300,414.54300,681.67480,592.32080,80.93600,81.49400,5.09000,5.06000
2013-12-31,2952.89600,1668.69100,1284.20500,259.83800,505.87700,,767.86600,516.33910,-31.12900,485.21000,131.66600,353.54400,353.54400,353.54400,599.56610,516.33910,81.32200,81.93000,4.32000,4.29000
2012-12-31,2821.44600,1645.91200,1175.53400,233.71300,453.53500,,688.91600,486.61820,-43.20300,443.41500,189.28100,254.13400,254.13400,254.13400,563.28520,486.61820,81.10800,81.83300,3.11000,3.09000
2011-12-31,2788.01800,1683.36200,1104.65600,219.78100,443.97400,,676.92700,427.72880,-54.18300,373.54600,106.68000,266.86600,266.86600,266.86600,503.05580,427.72880,80.45600,81.46700,3.30000,3.26000
2010-12-31,2622.86200,1530.26000,1092.60200,218.77200,447.39200,,676.24100,416.36110,-56.76800,359.59300,96.03600,263.55700,263.55700,263.55700,495.60310,416.36110,79.49500,80.44000,3.29000,3.26000
2009-12-31,2326.15800,1391.91300,934.24500,184.77100,390.88500,,593.95700,340.28800,-63.73900,276.54900,81.02300,195.52600,195.52600,195.52600,418.81300,340.28800,78.40300,79.09400,2.48000,2.46000
