,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6222.20000,2026.20000,4196.00000,879.00000,1739.90000,2618.90000,1577.10000,29.70000,1606.80000,262.40000,1344.40000,1344.40000,1322.30000,1969.50000,1577.10000,355.70000,362.00000,3.72000,3.65000
2021-12-31,5710.10000,1751.60000,3958.50000,671.00000,1466.50000,2137.50000,1821.00000,69.30000,1890.30000,162.20000,1728.10000,1728.10000,1704.60000,2153.20000,1821.00000,356.10000,365.80000,4.79000,4.66000
2020-12-31,4358.40000,1497.20000,2861.20000,595.10000,1216.30000,1811.40000,1049.80000,157.20000,1207.00000,140.20000,1066.80000,1066.80000,1060.60000,1343.10000,1049.80000,351.10000,361.00000,3.02000,2.94000
2019-12-31,4478.50000,1368.30000,3110.20000,557.30000,1178.40000,1735.70000,1374.50000,127.70000,1502.20000,120.40000,1381.80000,1381.80000,1379.30000,1590.60000,1374.50000,346.20000,358.40000,3.98000,3.85000
2018-12-31,3724.20000,1120.10000,2604.10000,418.10000,986.60000,1404.70000,1199.40000,80.10000,1279.50000,154.50000,1125.00000,1125.00000,1127.90000,1332.80000,1199.40000,341.10000,356.40000,3.30670,3.16330
2017-12-31,3138.20000,936.20000,2202.00000,328.60000,810.50000,1139.10000,1062.90000,41.90000,1104.80000,433.90000,670.90000,670.90000,670.90000,1172.90000,1062.90000,335.10000,348.90000,2.00330,1.92330
2016-12-31,2706.50000,813.60000,1892.90000,239.60000,703.60000,943.20000,949.70010,35.60000,985.30000,247.00000,738.30000,738.30000,738.30000,1051.90000,949.70010,344.70000,353.70000,2.14330,2.08670
2015-12-31,2384.40000,806.50000,1577.90000,197.40000,640.50000,837.90000,739.99990,18.50000,758.50000,169.70000,588.80000,588.80000,588.80000,855.89990,739.99990,333.90000,341.10000,1.76330,1.72670
2014-12-31,2131.70000,717.90000,1413.80000,178.00000,691.00000,869.00000,544.79990,4.20000,549.00000,130.20000,418.80000,418.80000,418.80000,653.09990,544.79990,332.10000,339.30000,1.26110,1.23440
2013-12-31,2265.10000,670.90000,1594.20000,167.70000,574.00000,741.70000,852.50000,18.40000,870.90000,199.90000,671.00000,671.00000,671.00000,956.60000,852.50000,352.80000,360.90000,1.90220,1.85890
2012-12-31,2178.80000,608.50000,1570.30000,170.00000,522.20000,692.20000,878.10010,15.80000,893.90000,237.30000,656.60000,656.60000,656.60000,935.90010,878.10010,358.20000,369.90000,1.83330,1.77560
2011-12-31,1757.30000,483.50000,1273.80000,140.20000,438.80000,579.00000,694.80000,14.90000,709.70000,214.60000,495.10000,495.10000,495.10000,763.90000,694.80000,352.80000,361.80000,1.40330,1.36890
2010-12-31,1413.00000,383.00000,1030.00000,116.00000,358.80000,474.80000,555.20000,17.10000,572.30000,190.50000,381.80000,381.80000,381.80000,613.40000,555.20000,352.80000,362.70000,1.08220,1.05220
2009-12-31,1052.20000,301.10000,751.10000,95.10000,278.60000,373.70000,377.39990,18.70000,396.10000,163.50000,232.60000,232.60000,232.60000,411.99990,377.39990,344.70000,352.80000,0.67440,0.65890
