,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,14271.00000,14271.00000,8646.00000,-1372.00000,3380.00000,-198.00000,3182.00000,623.00000,2559.00000,2559.00000,,2559.00000,4005.00000,4045.00000,111.30000,113.70000,22.99000,22.51000
2021-12-31,13431.00000,13431.00000,8450.00000,-716.00000,3541.00000,-191.00000,3350.00000,590.00000,2760.00000,2760.00000,,2760.00000,4239.00000,4141.00000,117.30000,120.00000,23.53000,23.00000
2020-12-31,11899.00000,11899.00000,7179.00000,-1806.00000,1993.00000,-162.00000,1831.00000,297.00000,1534.00000,1534.00000,,1534.00000,2844.00000,2637.00000,123.80000,125.70000,12.39000,12.20000
2019-12-31,12967.00000,12967.00000,7097.00000,-2576.00000,2446.00000,-214.00000,2232.00000,339.00000,1893.00000,1893.00000,,1893.00000,3298.00000,3115.00000,134.10000,136.00000,14.12000,13.92000
2018-12-31,12835.00000,12835.00000,6808.00000,-2302.00000,2729.00000,-245.00000,2484.00000,386.00000,2098.00000,2098.00000,,2098.00000,3601.00000,3403.00000,145.60000,147.70000,14.41000,14.20000
2017-12-31,12132.00000,12132.00000,6555.00000,-2233.00000,2421.00000,-207.00000,2214.00000,734.00000,1480.00000,1480.00000,,1480.00000,3311.00000,3077.00000,154.10000,156.70000,9.60000,9.44000
2016-12-31,11800.00000,11800.00000,6284.00000,-2646.00000,1832.00000,-241.00000,1591.00000,278.00000,1313.00000,1313.00000,,1313.00000,2703.00000,2455.00000,166.30000,168.20000,7.90000,7.81000
2015-12-31,12170.00000,12170.00000,6358.00000,-2261.00000,2529.00000,-387.00000,2142.00000,455.00000,1687.00000,1687.00000,,1562.00000,3445.00000,3197.00000,181.70000,184.20000,8.60000,8.48000
2014-12-31,12268.00000,12268.00000,6331.00000,-1982.00000,2875.00000,-328.00000,2547.00000,545.00000,2002.00000,2002.00000,-2.00000,1619.00000,3842.00000,3588.00000,191.60000,195.00000,8.45000,8.30000
2013-12-31,11199.00000,11199.00000,5981.00000,-1954.00000,2251.00000,-281.00000,1970.00000,492.00000,1478.00000,1478.00000,-3.00000,1334.00000,3296.00000,3057.00000,203.20000,207.10000,6.56000,6.44000
2012-12-31,10217.00000,10217.00000,5687.00000,-1899.00000,1514.00000,-276.00000,1238.00000,335.00000,903.00000,903.00000,-2.00000,1029.00000,2570.00000,2345.00000,218.70000,222.80000,4.70000,4.62000
2011-12-31,10192.00000,10192.00000,5569.00000,-1606.00000,1764.00000,-317.00000,1447.00000,377.00000,1070.00000,1070.00000,-60.00000,1116.00000,2730.00000,2620.00000,241.40000,246.30000,4.62000,4.53000
2010-12-31,9512.00000,9512.00000,4980.00000,-1750.00000,1759.00000,-290.00000,1469.00000,293.00000,1176.00000,1176.00000,-24.00000,989.00000,2778.00000,2668.00000,257.40000,262.30000,3.84000,3.77000
2009-12-31,7397.00000,7397.00000,3896.00000,-1334.00000,1047.00000,-127.00000,920.00000,184.00000,736.00000,736.00000,1.00000,722.00000,2070.00000,1950.00000,242.20000,244.40000,2.98000,2.95000
