,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,55625.00000,2763.00000,52862.00000,43277.00000,43277.00000,9585.00000,9585.00000,2071.00000,7514.00000,7514.00000,,7400.00000,751.00000,752.00000,9.86000,9.85000
2021-12-31,43663.00000,1283.00000,42380.00000,31691.00000,31691.00000,10689.00000,10689.00000,2629.00000,8060.00000,8060.00000,,7917.00000,789.00000,790.00000,10.04000,10.02000
2020-12-31,38185.00000,2098.00000,36087.00000,31791.00000,31791.00000,4296.00000,4296.00000,1161.00000,3135.00000,3135.00000,,3036.00000,805.00000,806.00000,3.77000,3.77000
2019-12-31,47020.00000,3464.00000,43556.00000,35127.00000,35127.00000,8429.00000,8429.00000,1670.00000,6759.00000,6759.00000,,6631.00000,828.00000,830.00000,8.00000,7.99000
2018-12-31,43281.00000,2943.00000,40338.00000,32216.00000,32216.00000,8122.00000,8122.00000,1201.00000,6921.00000,6921.00000,,6787.00000,856.00000,859.00000,7.93000,7.91000
2017-12-31,38990.00000,2112.00000,36878.00000,29453.00000,29453.00000,7425.00000,7425.00000,4677.00000,2748.00000,2748.00000,,2646.00000,883.00000,886.00000,3.00000,2.99000
2016-12-31,37143.00000,1705.00000,35438.00000,27396.00000,27396.00000,8042.00000,8042.00000,2667.00000,5375.00000,5375.00000,,5252.00000,933.00000,935.00000,5.63000,5.61000
2015-12-31,34441.00000,1623.00000,32818.00000,24880.00000,24880.00000,7938.00000,7938.00000,2775.00000,5163.00000,5163.00000,,5063.00000,999.00000,1003.00000,5.07000,5.05000
2014-12-31,35895.00000,1707.00000,34188.00000,25197.00000,25197.00000,8991.00000,8991.00000,3106.00000,5885.00000,5885.00000,,5839.00000,1045.00000,1051.00000,5.58000,5.56000
2013-12-31,34828.00000,1958.00000,32870.00000,24982.00000,24982.00000,7888.00000,7888.00000,2529.00000,5359.00000,5359.00000,,5312.00000,1082.00000,1089.00000,4.91000,4.88000
2012-12-31,33781.00000,2226.00000,31555.00000,25104.00000,25104.00000,6451.00000,6451.00000,1969.00000,4482.00000,4482.00000,,4433.00000,1135.00000,1141.00000,3.91000,3.89000
2011-12-31,32282.00000,2320.00000,29962.00000,23006.00000,23006.00000,6956.00000,6956.00000,2057.00000,4899.00000,4899.00000,36.00000,4877.00000,1178.00000,1184.00000,4.14000,4.12000
2010-12-31,30005.00000,2423.00000,27582.00000,21618.00000,21618.00000,5964.00000,5964.00000,1907.00000,4057.00000,4057.00000,,4006.00000,1188.00000,1195.00000,3.37000,3.35000
2009-12-31,26543.00000,2207.00000,24336.00000,21495.00000,21495.00000,2841.00000,2841.00000,704.00000,2137.00000,2137.00000,-7.00000,2130.00000,1168.00000,1171.00000,1.54000,1.54000
