,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,12458.81000,10294.12000,2164.68600,879.26500,852.08000,1312.60500,-34.50300,1278.10300,277.87700,1000.22600,1000.22600,999.98700,1602.54300,1339.79100,544.91800,549.56600,1.84000,1.82000
2021-10-31,11386.19000,9458.28300,1927.90600,853.07100,805.30700,1122.59800,3.57100,1126.17000,217.02900,909.14110,909.14110,908.83900,1398.76700,1170.36100,541.11400,547.58000,1.68000,1.66000
2020-10-31,9608.46200,7782.49800,1825.96400,761.31500,725.74300,1100.22100,14.52700,1114.74700,206.39300,908.35390,908.35390,908.08200,1341.57400,1135.79300,538.00700,546.59200,1.69000,1.66000
2019-10-31,9497.31700,7612.66900,1884.64800,727.58400,688.38300,1196.26600,13.45000,1209.71500,230.56700,979.14790,979.14790,978.80600,1400.67600,1235.46700,534.57800,545.23200,1.83000,1.80000
2018-10-31,9545.70000,7566.22700,1979.47300,841.20500,799.51100,1179.96200,1.32300,1181.28400,168.70200,1012.58200,1012.58200,1012.14000,1418.07100,1238.93400,530.74200,543.86900,1.91000,1.86000
2017-10-31,9167.51900,7170.88300,1996.63600,759.30400,719.89400,1276.74100,1.90300,1278.64500,431.54200,847.10300,847.10300,846.73500,1447.48800,1316.33100,528.36300,539.11600,1.60000,1.57000
2016-10-31,9523.22400,7365.04900,2158.17500,871.97400,834.28000,1323.89500,-6.68000,1317.21500,426.69800,890.51700,890.51700,890.05200,1495.53900,1362.58000,529.29000,542.47300,1.68000,1.64000
2015-10-31,9263.86300,7455.28200,1808.58100,743.61100,741.26100,1067.32000,-10.17700,1057.14300,369.87900,687.26390,687.26390,686.08800,1246.17800,1091.20700,528.14300,541.00200,1.30000,1.27000
2014-10-31,9316.25600,7751.27300,1564.98300,650.94800,633.36300,931.62010,-9.46800,922.15200,316.12600,606.02600,606.02600,602.67700,1079.24900,949.20510,527.62400,540.43100,1.14000,1.12000
2013-10-31,8751.65400,7338.83800,1412.81600,627.34000,606.82700,805.98970,-7.48200,798.50700,268.43100,530.07600,530.07600,526.21100,951.35280,826.50270,528.63400,540.44800,0.99500,0.97500
2012-10-31,8230.67000,6898.81900,1331.85100,605.86800,567.17700,764.67380,-6.33900,758.33500,253.37400,504.96100,504.96100,500.05000,922.85880,803.36480,526.93200,537.78200,0.95000,0.93000
2011-10-31,7895.08900,6560.97600,1334.11300,618.58600,591.82900,742.28370,-23.44800,718.83600,239.64000,479.19600,479.19600,474.19500,893.20570,769.04070,532.78800,543.83000,0.89000,0.87000
2010-10-31,7220.71900,5981.97700,1238.74200,605.29300,592.16700,646.57520,-22.02400,624.55100,224.77500,399.77600,399.77600,395.58700,785.29220,659.70120,533.46400,541.39600,0.74000,0.73000
2009-10-31,6533.67100,5434.80000,1098.87100,567.08500,562.29200,536.57910,-8.43200,528.14700,182.16900,345.97800,345.97800,342.81300,668.51010,541.37210,536.90800,541.95800,0.64000,0.63500
