,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1074.37800,356.78200,717.59610,52.63600,163.85700,191.18800,526.40810,-130.74700,395.66110,395.66110,395.66110,,377.45700,828.81710,526.40810,79.85400,80.50800,4.71000,4.71000
2021-12-31,951.22400,316.61700,634.60700,49.85600,89.95000,239.88200,394.72500,-125.64400,269.08100,269.08100,269.08100,,253.45600,674.70100,394.72500,77.33600,77.36800,3.26000,3.26000
2020-12-31,835.49400,290.16200,545.33200,41.68000,40.89900,255.80800,289.52400,-153.63600,135.88800,135.88800,135.88800,,123.66400,544.55100,289.52400,75.51500,75.51500,1.62000,1.62000
2019-12-31,935.78800,298.75800,637.03000,42.75400,116.39300,166.11900,470.91100,-110.36900,360.54200,360.54200,360.54200,,344.81700,710.66900,470.91100,74.76600,74.76600,4.61000,4.61000
2018-12-31,915.43600,287.87000,627.56600,33.60000,11.91500,265.93000,361.63600,-112.61000,249.02600,249.02600,249.02600,,232.93500,605.88100,361.63600,73.27400,73.30200,3.18000,3.18000
2017-12-31,857.34800,272.72900,584.61900,36.28100,77.92200,174.40900,410.21000,-112.34000,297.87000,297.87000,297.87000,,286.51400,626.26000,410.21000,72.11700,72.23300,3.97000,3.97000
2016-12-31,801.59100,253.61200,547.97900,33.39900,,226.98400,320.99500,-94.57000,226.42500,226.42500,226.42500,,249.36900,514.58000,320.99500,70.87700,71.04900,3.51000,3.50000
2015-12-31,744.01200,233.41700,510.59500,35.64500,,210.44100,300.15400,-110.06000,190.09400,190.09400,190.09400,,208.88100,474.95000,300.15400,68.79700,68.98100,3.04000,3.03000
2014-12-31,686.09000,211.92300,474.16700,32.31600,,203.13000,271.03700,-103.14900,167.88800,167.88800,167.88800,,162.99100,441.85100,271.03700,67.32200,67.49200,2.42000,2.41000
2013-12-31,637.41300,190.45400,446.95900,31.97000,,192.79800,254.16100,-116.35000,137.81100,137.81100,137.81100,24.80300,161.25100,415.26000,254.16100,65.33100,65.48300,2.47000,2.46000
2012-12-31,605.79100,179.07000,426.72100,31.15800,,172.85900,253.86200,-110.89000,142.97200,142.97200,142.97200,1.40000,150.53900,395.90100,253.86200,63.88100,64.05600,2.36000,2.35000
2011-12-31,551.10300,169.76800,381.33500,28.98500,,154.87300,226.46200,-96.14300,130.31900,130.31900,130.31900,19.29300,142.67100,353.03000,226.46200,62.43800,62.60300,2.29000,2.28000
2010-12-31,541.79700,169.18200,372.61500,24.18900,-0.33000,143.39700,229.21800,-103.36700,125.85100,125.85100,125.85100,1.97600,121.67700,349.03500,229.21800,61.18200,61.32400,1.99000,1.98000
2009-12-31,528.56900,166.21000,362.35890,22.03200,-16.35500,152.83000,209.52890,-108.20400,101.32490,101.32490,101.32500,2.54700,97.76300,324.62190,209.52890,59.70400,59.83000,1.63000,1.63000
