,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2735.18000,982.58100,1752.59900,58.71000,304.32500,636.55300,1116.04600,-303.12000,812.92600,0.90000,812.02600,,806.99500,,773.82100,2035.16300,1116.04600,376.20900,389.45000,2.06000,2.05000
2021-12-31,2463.99700,948.79200,1515.20500,56.50600,1055.41400,-160.63600,1675.84100,-274.81900,1401.02200,0.91500,1400.10700,,1396.71400,,1329.76000,2550.64600,1675.84100,373.83300,388.08900,3.56000,3.54000
2020-12-31,2571.70500,916.38500,1655.32000,48.30500,531.80700,337.33000,1317.99000,-385.58700,932.40300,0.85200,931.55100,,962.50100,,910.54600,2199.67800,1317.99000,371.79100,385.87400,2.45000,2.45000
2019-12-31,2700.69100,908.32800,1792.36300,52.75700,447.63700,436.20300,1356.16000,-416.72200,939.43800,-2.28100,941.71900,,1009.70800,,967.28700,2243.56200,1356.16000,370.46100,386.33300,2.61000,2.60000
2018-12-31,2577.68100,879.63400,1698.04700,53.81300,256.10800,583.43000,1114.61700,-425.86700,688.75000,0.87800,687.87200,,685.19200,,654.44500,1957.26500,1114.61700,368.05200,383.69500,1.78000,1.77000
2017-12-31,2471.40600,826.26900,1645.13700,52.22400,155.36400,640.60900,1004.52800,-391.46600,613.06200,0.47800,612.58400,,628.38100,,600.36300,1783.01400,1004.52800,366.96800,382.67800,1.64000,1.63000
2016-12-31,2425.80000,806.22500,1619.57500,57.84000,0.00000,763.48900,856.08610,-439.47400,416.61200,1.61300,414.99900,4044.05500,4479.58600,0.51800,4289.07200,1601.48800,856.08610,365.00200,381.99200,11.75000,11.68000
2015-12-31,2744.96500,905.16800,1839.79700,64.66400,0.00000,830.55900,1009.23800,-450.85800,558.38000,0.91700,557.46300,335.13400,907.62100,0.39700,863.27700,1796.82200,1009.23800,363.49800,380.62000,2.37000,2.36000
2014-12-31,2614.74800,883.56400,1731.18400,50.67900,,809.54000,921.64400,-473.15900,448.48500,1.39400,447.09100,212.68500,657.10100,1.58200,627.16300,1697.62900,921.64400,361.18100,377.73500,1.74000,1.73000
2013-12-31,2387.70200,834.22800,1553.47400,62.17900,,1041.15200,512.32190,-633.39800,-121.07600,1.16900,-122.24500,0.00000,-168.17400,2073.52700,1826.46800,1412.16600,512.32190,354.30500,354.30500,5.16000,5.16000
2012-12-31,1747.50200,625.50700,1121.99500,47.23300,,607.90200,514.09290,-353.26700,160.82600,0.51400,160.31200,0.00000,160.29800,720.90600,826.21200,1226.48300,514.09290,302.70100,319.76600,2.73000,2.70000
2011-12-31,1525.22000,568.93200,956.28800,43.60400,,549.77900,406.50900,-482.96100,-76.45200,0.70600,-77.15800,,-72.94100,1008.13800,879.72000,1090.30100,406.50900,294.85600,294.85600,2.98000,2.98000
2010-12-31,1674.70900,659.76900,1014.94000,39.88100,-45.38000,666.73000,348.21000,-476.99800,-128.78800,0.29100,-129.07900,,-103.10800,399.09100,269.24200,1034.35200,348.21000,282.88800,282.88800,0.95000,0.95000
2009-12-31,1640.22400,638.75000,1001.47400,38.98500,-11.12400,568.83500,432.63890,-495.50400,-62.86500,2.71600,-65.58100,,-57.70700,439.73600,347.79400,1052.56500,432.63890,273.60900,273.60900,1.27000,1.27000
