,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-07-31,12726.00000,2406.00000,10320.00000,2347.00000,4986.00000,7749.00000,2571.00000,-29.00000,2542.00000,476.00000,2066.00000,2066.00000,,2066.00000,3317.00000,2571.00000,280.00000,284.00000,7.38000,7.28000
2021-07-31,9633.00000,1683.00000,7950.00000,1678.00000,3626.00000,5450.00000,2500.00000,56.00000,2556.00000,494.00000,2062.00000,2062.00000,,2062.00000,2863.00000,2500.00000,270.00000,273.00000,7.65000,7.56000
2020-07-31,7679.00000,1378.00000,6301.00000,1392.00000,2727.00000,4125.00000,2176.00000,22.00000,2198.00000,372.00000,1826.00000,1826.00000,,1826.00000,2394.00000,2176.00000,261.00000,264.00000,6.99000,6.92000
2019-07-31,6784.00000,1167.00000,5617.00000,1233.00000,2524.00000,3763.00000,1854.00000,27.00000,1881.00000,324.00000,1557.00000,1557.00000,,1557.00000,2079.00000,1854.00000,260.00000,264.00000,5.99000,5.89000
2018-07-31,6025.00000,978.00000,5047.00000,1186.00000,2295.00000,3487.00000,1560.00000,6.00000,1566.00000,237.00000,1329.00000,1329.00000,,1329.00000,1813.00000,1560.00000,256.00000,261.00000,5.18000,5.09000
2017-07-31,5196.00000,810.00000,4386.00000,998.00000,1968.00000,2968.00000,1418.00000,-28.00000,1390.00000,405.00000,985.00000,985.00000,0.00000,985.00000,1654.00000,1418.00000,257.00000,261.00000,3.83000,3.78000
2016-07-31,4694.00000,752.00000,3942.00000,881.00000,1807.00000,2700.00000,1242.00000,-39.00000,1203.00000,397.00000,806.00000,806.00000,173.00000,979.00000,1480.00000,1242.00000,262.00000,265.00000,3.73000,3.69000
2015-07-31,4192.00000,725.00000,3467.00000,798.00000,1771.00000,2729.00000,738.00000,-26.00000,712.00000,299.00000,413.00000,413.00000,-48.00000,365.00000,1266.00000,738.00000,281.00000,286.00000,1.30000,1.28000
2014-07-31,4243.00000,621.00000,3622.00000,714.00000,1601.00000,2322.00000,1300.00000,,1300.00000,447.00000,853.00000,853.00000,54.00000,907.00000,1497.00000,1300.00000,285.00000,291.00000,3.18000,3.12000
2013-07-31,3946.00000,540.00000,3406.00000,647.00000,1534.00000,2198.00000,1208.00000,-23.00000,1185.00000,378.00000,807.00000,807.00000,51.00000,858.00000,1486.00000,1208.00000,297.00000,303.00000,2.89000,2.83000
2012-07-31,3808.00000,585.00000,3223.00000,618.00000,1414.00000,2055.00000,1168.00000,-30.00000,1138.00000,374.00000,764.00000,764.00000,28.00000,792.00000,1410.00000,1168.00000,296.00000,305.00000,2.67000,2.60000
2011-07-31,3449.00000,490.00000,2959.00000,566.00000,1300.00000,1877.00000,1082.00000,-40.00000,1042.00000,354.00000,688.00000,688.00000,-54.00000,634.00000,1353.00000,1082.00000,307.00000,317.00000,2.06000,2.00000
2010-07-31,3403.00000,591.00000,2812.00000,564.00000,1259.00000,1908.00000,904.00000,-48.00000,856.00000,292.00000,564.00000,564.00000,10.00000,574.00000,1160.00000,904.00000,316.00000,325.00000,1.82000,1.77000
2009-07-31,3109.00000,578.00000,2531.00000,556.00000,1191.00000,1848.00000,683.00000,-30.00000,653.00000,206.00000,447.00000,447.00000,0.00000,447.00000,958.00000,683.00000,322.00000,330.00000,1.39000,1.35000
