,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,22237.00000,22237.00000,8867.00000,-356.00000,12264.00000,-532.00000,11732.00000,1802.00000,9930.00000,9930.00000,9930.00000,14600.00000,12264.00000,968.00000,971.00000,10.26000,10.22000
2021-12-31,18884.00000,18884.00000,7982.00000,-94.00000,10082.00000,225.00000,10307.00000,1620.00000,8687.00000,8687.00000,8687.00000,12179.00000,10082.00000,988.00000,992.00000,8.79000,8.76000
2020-12-31,15301.00000,15301.00000,6567.00000,-73.00000,8081.00000,-321.00000,7760.00000,1349.00000,6411.00000,6411.00000,6411.00000,9733.00000,8081.00000,1002.00000,1006.00000,6.40000,6.37000
2019-12-31,16883.00000,16883.00000,6697.00000,,9664.00000,67.00000,9731.00000,1613.00000,8118.00000,8118.00000,8118.00000,11327.00000,9664.00000,1017.00000,1022.00000,7.98000,7.94000
2018-12-31,14950.00000,14950.00000,6081.00000,-1128.00000,7282.00000,-78.00000,7204.00000,1345.00000,5859.00000,5859.00000,5859.00000,8976.00000,7282.00000,1041.00000,1047.00000,5.63000,5.60000
2017-12-31,12497.00000,12497.00000,5424.00000,-15.00000,6622.00000,-100.00000,6522.00000,2607.00000,3915.00000,3915.00000,3915.00000,8060.00000,6622.00000,1067.00000,1072.00000,3.67000,3.65000
2016-12-31,10776.00000,10776.00000,4525.00000,-117.00000,5761.00000,-115.00000,5646.00000,1587.00000,4059.00000,4059.00000,4059.00000,6994.00000,5761.00000,1098.00000,1101.00000,3.70000,3.69000
2015-12-31,9667.00000,9667.00000,4162.00000,-61.00000,5078.00000,-120.00000,4958.00000,1150.00000,3808.00000,3808.00000,3808.00000,6208.00000,5078.00000,1134.00000,1137.00000,3.36000,3.35000
2014-12-31,9441.00000,9441.00000,4014.00000,,5106.00000,-27.00000,5079.00000,1462.00000,3617.00000,3617.00000,3617.00000,6118.00000,5106.00000,1165.00000,1169.00000,3.11000,3.10000
2013-12-31,8312.00000,8312.00000,3456.00000,-95.00000,4503.00000,-3.00000,4500.00000,1384.00000,3116.00000,3116.00000,3116.00000,5364.00000,4503.00000,1211.00000,1215.00000,2.57000,2.56000
2012-12-31,7391.00000,7391.00000,3204.00000,-20.00000,3937.00000,-4.00000,3933.00000,1174.00000,2759.00000,2759.00000,2759.00000,4686.00000,3937.00000,1253.00000,1258.00000,2.20000,2.19000
2011-12-31,6714.00000,6714.00000,3037.00000,-770.00000,2713.00000,35.00000,2748.00000,842.00000,1906.00000,1906.00000,1906.00000,2907.00000,2713.00000,1279.00000,1284.00000,1.49000,1.48000
2010-12-31,5539.00000,5539.00000,2639.00000,,2752.00000,5.00000,2757.00000,910.00000,1847.00000,1847.00000,1843.00000,2900.00000,2752.00000,1310.00000,1310.00000,1.41000,1.40500
2009-12-31,5099.00000,5099.00000,2698.00000,,2260.00000,-42.00000,2218.00000,755.00000,1463.00000,1463.00000,1463.00000,2487.00000,2260.00000,1300.00000,1300.00000,1.11900,1.11600
