,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2588.96200,783.15300,1805.80900,177.27800,1179.42400,626.38490,-494.24700,132.13790,132.13790,,132.78290,537.91800,513.26800,1568.11800,626.38490,161.65900,161.65900,3.18000,3.18000
2021-12-31,2114.15000,623.55500,1490.59500,151.46100,972.52200,518.07300,-2.61600,515.45700,515.45700,,527.71200,126.57000,563.39900,1293.75400,518.07300,146.92100,147.46000,3.83000,3.82000
2020-12-31,1885.63700,530.22400,1355.41300,133.34100,831.44500,523.96800,140.96600,664.93400,664.93400,,673.08200,154.08900,760.79100,1171.76700,523.96800,126.10600,126.49000,6.03000,6.01000
2019-12-31,1531.29600,445.49200,1085.80400,108.82300,653.43500,432.36900,-28.79600,403.57300,403.57300,0.47400,404.04700,,350.99500,952.49600,432.36900,112.20400,112.52400,3.13000,3.12000
2018-12-31,1327.45900,381.12000,946.33900,90.40500,568.06600,378.27290,15.81600,394.08900,394.08900,8.70400,402.79300,,363.98300,841.86100,378.27290,103.01000,103.32100,3.53000,3.52000
2017-12-31,1128.09700,325.60900,802.48800,75.00900,491.79200,310.69600,-116.87300,193.82300,193.82300,0.27000,194.09300,,145.39500,717.06100,310.69600,91.54600,92.06300,1.59000,1.58000
2016-12-31,921.70600,278.40800,643.29800,63.88400,377.27390,266.02400,-319.62800,-53.60390,-53.60390,3.71500,-49.88900,,-151.14100,585.06300,266.02400,76.10300,76.10300,-1.99000,-1.99000
2015-12-31,843.47400,261.23200,582.24200,59.62100,320.91000,261.33200,-129.25200,132.08000,132.08000,12.42600,146.15700,-0.04300,116.86700,527.13400,261.33200,71.52900,71.52900,1.63000,1.63000
2014-12-31,726.87700,219.16400,507.71300,53.53000,277.62600,230.08700,-130.94500,99.14200,99.14200,,99.14200,7.63600,72.11300,462.36400,230.08700,71.17000,71.17000,1.01000,1.01000
2013-12-31,631.15100,189.03900,442.11200,48.52000,237.64300,204.46900,-69.94400,134.52500,134.52500,,134.52500,0.90000,108.75100,402.39600,204.46900,68.03800,68.03800,1.60000,1.60000
2012-12-31,574.49700,172.75600,401.74100,47.74700,233.43400,168.30700,-73.45900,94.84800,94.84800,,94.84800,8.81600,67.63000,367.45500,168.30700,62.16000,62.16000,1.09000,1.09000
2011-12-31,536.78000,157.63400,379.14600,41.11200,192.01800,187.12800,-69.85800,117.27000,117.27000,,117.27000,18.07700,101.97300,348.94100,187.12800,59.07800,59.07800,1.73000,1.73000
2010-12-31,460.62100,123.30900,337.31200,34.34500,155.55200,181.76000,-114.67700,67.08300,67.08300,,67.08300,12.49700,105.94100,318.42300,181.76000,48.37500,48.40500,2.19000,2.19000
2009-12-31,481.55300,122.13800,359.41500,36.29600,153.54200,205.87300,-70.85700,135.01600,135.01600,,135.01600,6.63200,104.97400,333.67900,205.87300,38.58700,38.60000,2.72000,2.72000
