,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1606.81400,507.97300,1098.84100,56.57700,94.41600,503.61200,595.22900,-162.24400,432.98500,432.98500,432.98500,,408.31500,1141.26000,595.22900,65.08000,65.09800,6.27000,6.27000
2021-12-31,1440.55600,481.44700,959.10900,51.83800,142.99300,429.11400,529.99510,-14.30400,515.69100,515.69100,515.69100,,488.55400,1059.59900,529.99510,65.05100,65.08900,7.51000,7.51000
2020-12-31,1495.74800,474.97300,1020.77500,65.38800,63.14200,529.33400,491.44100,107.89100,599.33200,599.33200,599.33200,,568.87000,1004.53700,491.44100,65.45400,65.56500,8.69000,8.69000
2019-12-31,1460.15500,430.59400,1029.56100,54.26200,-10.26900,548.44900,481.11200,-16.66400,464.44800,464.44800,464.44800,,439.28600,942.06000,481.11200,65.84000,65.93900,6.67000,6.66000
2018-12-31,1400.05300,416.39600,983.65700,53.45100,61.86100,471.66800,511.98900,-98.39000,413.59900,413.59900,413.59900,,390.15300,971.64900,511.98900,66.04100,66.08510,5.91000,5.90000
2017-12-31,1363.89900,405.54200,958.35710,41.38500,,511.83500,446.52200,11.52100,458.04300,458.04300,458.04300,,433.05900,894.33610,446.52200,65.82900,65.89800,6.58000,6.57000
2016-12-31,1294.00100,388.92700,905.07400,40.75100,,484.27400,420.80000,17.61000,438.41000,438.41000,438.41000,,411.12400,833.03700,420.80000,65.47200,65.58800,6.28000,6.27000
2015-12-31,1194.40700,363.50800,830.89900,40.09000,,499.72500,331.17400,-82.93500,248.23900,248.23900,248.23900,,226.86500,752.84700,331.17400,64.87200,65.06200,3.50000,3.49000
2014-12-31,970.93800,312.54600,658.39200,40.87800,,456.87800,201.51400,-67.07600,134.43800,134.43800,134.43800,,116.85900,538.10900,201.51400,56.54700,56.69700,2.07000,2.06000
2013-12-31,610.59000,197.33600,413.25400,26.68400,,224.54900,188.70500,-47.82300,140.88200,140.88200,140.88200,31.17300,150.81100,387.03900,188.70500,37.24900,37.33600,4.05000,4.04000
2012-12-31,535.15300,172.16700,362.98600,24.57300,,195.96100,167.02500,-39.37200,127.65300,127.65300,127.65300,11.93700,119.81200,342.39600,167.02500,35.03200,35.12500,3.42000,3.41000
2011-12-31,467.44000,162.12000,305.32000,20.69400,,170.70300,134.61700,-87.65900,46.95800,46.95800,46.95800,10.55800,40.36800,292.08200,134.61700,32.54200,32.62900,1.24000,1.24000
2010-12-31,410.27900,145.87100,264.40800,23.25500,-2.30200,153.77800,110.63000,-61.46800,49.16200,49.16200,49.16200,1.62000,33.76400,236.64900,110.63000,29.66700,29.73400,1.14000,1.14000
2009-12-31,408.88100,138.70400,270.17700,28.06200,-13.08400,163.26200,106.91500,-62.63300,44.28200,44.28200,44.28200,9.45700,82.20000,226.65200,106.91500,27.27000,29.74700,3.01000,2.91000
