,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,413680.00000,299487.00000,114193.00000,1025.00000,10095.00000,36440.00000,77753.00000,77753.00000,20176.00000,57577.00000,57577.00000,55740.00000,102591.00000,78551.00000,4205.00000,4205.00000,13.26000,13.26000
2021-12-31,285640.00000,221438.00000,64202.00000,1054.00000,9574.00000,32968.00000,31234.00000,31234.00000,7636.00000,23598.00000,23598.00000,23040.00000,52788.00000,32181.00000,4275.00000,4275.00000,5.39000,5.39000
2020-12-31,181502.00000,150560.00000,30942.00000,1285.00000,10168.00000,59825.00000,-28883.00000,-28883.00000,-5632.00000,-23251.00000,-23251.00000,-22440.00000,18284.00000,-27725.00000,4271.00000,4271.00000,-5.25000,-5.25000
2019-12-31,264938.00000,211152.00000,53786.00000,1269.00000,11398.00000,33730.00000,20056.00000,20056.00000,5282.00000,14774.00000,14774.00000,14340.00000,39884.00000,20886.00000,4270.00000,4270.00000,3.36000,3.36000
2018-12-31,290212.00000,225517.00000,64695.00000,1466.00000,11480.00000,33742.00000,30953.00000,30953.00000,9532.00000,21421.00000,21421.00000,20840.00000,50464.00000,31719.00000,4270.00000,4270.00000,4.88000,4.88000
2017-12-31,244363.00000,191011.00000,53352.00000,1790.00000,10649.00000,34678.00000,18674.00000,18674.00000,-1174.00000,19848.00000,19848.00000,19710.00000,39168.00000,19275.00000,4256.00000,4256.00000,4.63000,4.63000
2016-12-31,208114.00000,163639.00000,44475.00000,1467.00000,10443.00000,36506.00000,7969.00000,7969.00000,-406.00000,8375.00000,8375.00000,7840.00000,30730.00000,8422.00000,4177.00000,4177.00000,1.88000,1.88000
2015-12-31,249248.00000,195899.00000,53349.00000,1523.00000,11501.00000,31383.00000,21966.00000,21966.00000,5415.00000,16551.00000,16551.00000,16150.00000,40325.00000,22277.00000,4196.00000,4196.00000,3.85000,3.85000
2014-12-31,411939.00000,328459.00000,83480.00000,1669.00000,12598.00000,31850.00000,51630.00000,51630.00000,18015.00000,33615.00000,33615.00000,32520.00000,69213.00000,51916.00000,4282.00000,4282.00000,7.60000,7.60000
2013-12-31,438255.00000,348500.00000,89755.00000,1976.00000,12877.00000,32044.00000,57711.00000,57711.00000,24263.00000,33448.00000,33448.00000,32580.00000,74902.00000,57720.00000,4419.00000,4419.00000,7.37000,7.37000
2012-12-31,480681.00000,370023.00000,110658.00000,1840.00000,13877.00000,31932.00000,78726.00000,78726.00000,31045.00000,47681.00000,47681.00000,44880.00000,94941.00000,79053.00000,4628.00000,4628.00000,9.70000,9.70000
2011-12-31,486429.00000,380278.00000,106151.00000,2081.00000,14983.00000,32894.00000,73257.00000,73257.00000,31051.00000,42206.00000,42206.00000,41060.00000,89087.00000,73504.00000,4870.00000,4875.00000,8.43000,8.42000
2010-12-31,383221.00000,298416.00000,84805.00000,2144.00000,14683.00000,31846.00000,52959.00000,52959.00000,21561.00000,31398.00000,31398.00000,30460.00000,67978.00000,53218.00000,4885.00000,4897.00000,6.24000,6.22000
2009-12-31,310586.00000,246588.00000,63998.00000,2021.00000,14735.00000,29221.00000,34777.00000,34777.00000,15119.00000,19658.00000,19658.00000,19280.00000,47242.00000,35325.00000,4832.00000,4848.00000,3.99000,3.98000
