,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-03-31,3504.80000,1535.40100,1969.39900,406.56600,1027.28400,1495.80400,473.59500,-8.19700,465.39800,47.37600,418.02200,418.02200,,418.02200,759.41200,473.59500,115.48500,116.77500,3.62000,3.58000
2021-03-31,3372.77200,1535.08500,1837.68700,317.31100,835.66800,1208.30300,629.38400,48.43200,677.81600,88.93000,588.88600,588.88600,,588.88600,862.19700,629.38400,114.60200,115.74400,5.14000,5.09000
2020-03-31,3088.97000,1542.45000,1546.52000,296.39800,776.65900,1121.25300,425.26710,33.17200,458.43900,53.98000,404.45900,404.45900,,404.45900,661.81010,425.26710,113.09600,114.13600,3.58000,3.54000
2019-03-31,2668.39400,1523.64400,1144.75000,230.17000,672.63400,938.07800,206.67190,26.11300,232.78500,-101.05200,333.83700,333.83700,,333.83700,471.49790,206.67190,113.17600,115.19800,2.95000,2.90000
2018-03-31,1792.89200,898.31100,894.58100,196.37300,503.92000,759.00400,135.57700,1.04800,136.62500,-36.90800,173.53300,173.53300,,173.53300,296.15800,135.57700,110.10900,112.76300,1.57000,1.54000
2017-03-31,1779.74800,1022.95900,756.78910,137.91500,496.86200,665.48400,91.30490,-14.34000,76.96500,9.66200,67.30300,67.30300,,67.30300,373.10990,91.30490,90.18000,92.33200,0.73000,0.72000
2016-03-31,1413.69800,813.87300,599.82500,119.80700,390.76100,610.65300,-10.82800,-27.52200,-38.35000,-30.04800,-8.30200,-8.30200,,-8.30200,177.62800,-10.82800,83.41700,83.41700,-0.10000,-0.10000
2015-03-31,1082.93800,794.86700,288.07100,115.04300,410.43400,546.53400,-258.46300,-14.41700,-272.88000,6.59000,-279.47000,-279.47000,,-279.47000,-79.92000,-258.46300,80.36700,80.36700,-3.48000,-3.48000
2014-03-31,2350.56800,1414.32700,936.24110,105.25600,402.37000,520.98500,415.25610,-39.10600,376.15000,14.45900,361.69100,361.69100,-0.08600,320.54000,722.45410,415.25610,84.51900,113.88200,3.79000,3.20000
2013-03-31,1214.48300,715.83700,498.64610,78.18400,404.58900,493.40700,5.23910,-31.35100,-26.11200,5.05000,-31.16200,-31.16200,1.67100,-29.49100,274.50420,5.23910,85.58100,85.58100,-0.34000,-0.34000
2012-03-31,825.82300,528.85500,296.96800,64.16200,304.94900,381.23400,-84.26600,-19.57100,-103.83700,3.86300,-107.70000,-107.70000,-1.11600,-108.81600,92.79500,-84.26600,83.35600,83.35600,-1.31000,-1.31000
2011-03-31,1136.87600,689.38100,447.49500,69.57600,285.77800,370.35300,77.14200,-13.51900,63.62300,9.81900,53.80400,53.80400,-5.34600,45.29900,248.50400,77.14200,80.51200,80.52400,0.56000,0.56000
2010-03-31,762.94100,494.57900,268.36200,57.88800,270.19200,344.48300,-76.12100,-18.79400,-94.91500,13.14500,-108.06000,-108.06000,-14.93500,-122.99500,59.72600,-76.12100,77.85800,77.85800,-1.58000,-1.58000
2009-10-31,701.05700,467.57600,233.48100,63.74800,272.33800,353.66000,-120.17900,-5.77100,-125.95000,4.48700,-130.43700,-130.43700,-10.01700,-140.45400,6.90100,-120.17900,76.81500,76.81500,-1.83000,-1.83000
