,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3792.00000,3792.00000,1870.00000,,1273.00000,-265.00000,1008.00000,188.00000,820.00000,820.00000,,820.00000,1922.00000,1273.00000,182.00000,182.00000,4.51000,4.51000
2021-12-31,3930.00000,3930.00000,2098.00000,,1196.00000,444.00000,1640.00000,377.00000,1263.00000,1263.00000,,1263.00000,1832.00000,1196.00000,182.00000,182.00000,6.96000,6.95000
2020-12-31,3777.00000,3777.00000,1925.00000,,1248.00000,-324.00000,924.00000,215.00000,709.00000,709.00000,,709.00000,1852.00000,1248.00000,181.00000,182.00000,3.91000,3.91000
2019-12-31,3610.00000,3610.00000,1824.00000,10.00000,1214.00000,-381.00000,833.00000,212.00000,621.00000,621.00000,,621.00000,1796.00000,1214.00000,181.00000,181.00000,3.44000,3.43000
2018-12-31,3440.00000,3440.00000,1756.00000,-37.00000,1102.00000,-315.00000,787.00000,222.00000,565.00000,565.00000,,567.00000,1647.00000,1102.00000,180.00000,180.00000,3.16000,3.15000
2017-12-31,3357.00000,3357.00000,1628.00000,16.00000,1253.00000,-341.00000,912.00000,486.00000,426.00000,426.00000,,426.00000,1745.00000,1253.00000,178.00000,179.00000,2.39000,2.38000
2016-12-31,3302.00000,3302.00000,1757.00000,10.00000,1085.00000,-315.00000,770.00000,302.00000,468.00000,468.00000,,468.00000,1555.00000,1085.00000,178.00000,179.00000,2.63000,2.62000
2015-12-31,3159.00000,3159.00000,1647.00000,3.00000,1075.00000,-293.00000,782.00000,306.00000,476.00000,476.00000,,476.00000,1515.00000,1075.00000,179.00000,180.00000,2.66000,2.64000
2014-12-31,3011.00000,3011.00000,1586.00000,2.00000,1003.00000,-293.00000,710.00000,280.00000,430.00000,430.00000,-7.00000,423.00000,1427.00000,1003.00000,179.00000,180.00000,2.36000,2.35000
2013-12-31,2879.00000,2879.00000,1523.00000,-1.00000,948.00000,-340.00000,608.00000,237.00000,371.00000,371.00000,-2.00000,369.00000,1355.00000,948.00000,178.00000,179.00000,2.08000,2.06000
2012-12-31,2853.92600,2853.92600,1550.25800,0.83800,924.10410,-293.71500,630.38900,256.78700,373.60200,373.60200,-15.53200,358.07000,1304.08900,924.10410,176.44500,177.67100,2.03000,2.01000
2011-12-31,2666.23600,2666.23600,1512.27200,0.99300,803.13610,-299.45600,503.68000,198.75100,304.92900,304.92900,4.68400,309.61300,1154.95700,803.13610,175.48400,176.53100,1.76000,1.75000
2010-12-31,2555.03500,2555.03500,1496.53800,-0.11100,728.12180,-298.69800,429.42400,174.35200,255.07200,255.07200,12.75500,267.82700,1058.38600,728.12180,174.83300,175.12400,1.53000,1.53000
2009-12-31,2290.44600,2290.44600,1368.99600,-427.74100,177.22610,-283.43200,-106.20600,113.79200,-219.99800,-219.99800,-13.08500,-233.08300,485.68710,177.22610,168.16400,168.16400,-1.39000,-1.39000
