,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,11642.00000,6646.00000,4996.00000,1400.00000,1764.00000,3232.00000,-430.00000,2802.00000,697.00000,2105.00000,2105.00000,,2105.00000,5462.00000,3232.00000,70.70300,70.97300,29.77000,29.65000
2021-12-31,9716.00000,5863.00000,3853.00000,1199.00000,1576.00000,2277.00000,-431.00000,1846.00000,460.00000,1386.00000,1386.00000,,1386.00000,4273.00000,2277.00000,72.43200,72.81700,19.14000,19.04000
2020-12-31,8530.00000,5347.00000,3183.00000,979.00000,1383.00000,1800.00000,-661.00000,1139.00000,249.00000,890.00000,890.00000,,890.00000,3802.00000,1800.00000,72.65800,72.92900,12.24000,12.20000
2019-12-31,9351.00000,5681.00000,3670.00000,1092.00000,1518.00000,2152.00000,-638.00000,1514.00000,340.00000,1174.00000,1174.00000,,1174.00000,4205.00000,2152.00000,77.34100,77.71000,15.18000,15.11000
2018-12-31,8047.00000,4683.00000,3364.00000,1038.00000,1413.00000,1951.00000,-475.00000,1476.00000,380.00000,1096.00000,1096.00000,,1096.00000,3634.00000,1951.00000,82.65200,83.53000,13.26000,13.12000
2017-12-31,6641.00000,3872.00000,2769.00000,903.00000,1262.00000,1507.00000,-459.00000,1048.00000,-298.00000,1346.00000,1346.00000,,1346.00000,2899.00000,1507.00000,84.59900,85.56200,15.91000,15.73000
2016-12-31,5762.00000,3359.00000,2403.00000,719.00000,988.00000,1415.00000,-506.00000,909.00000,343.00000,566.00000,566.00000,,566.00000,2669.00000,1415.00000,87.21700,87.77500,6.49000,6.45000
2015-12-31,5817.00000,3337.00000,2480.00000,714.00000,962.00000,1518.00000,-555.00000,963.00000,378.00000,585.00000,585.00000,,585.00000,2772.00000,1518.00000,95.17000,96.37900,6.14000,6.07000
2014-12-31,5685.00000,3253.00000,2432.00000,758.00000,1041.00000,1391.00000,-541.00000,850.00000,310.00000,540.00000,540.00000,,540.00000,2602.00000,1391.00000,97.48900,104.95600,5.54000,5.15000
2013-12-31,4955.00000,2968.00000,1987.00000,642.00000,909.00000,1078.00000,-473.00000,605.00000,218.00000,387.00000,387.00000,,387.00000,2197.00000,1078.00000,93.43600,106.29100,4.14000,3.64000
2012-12-31,4117.00000,2530.00000,1587.00000,588.00000,996.00000,591.00000,-503.00000,88.00000,13.00000,75.00000,75.00000,,75.00000,1511.00000,591.00000,82.96000,94.84800,0.91000,0.79000
2011-12-31,2611.00000,1713.00000,898.00000,407.00000,502.00000,396.00000,-232.00000,164.00000,63.00000,101.00000,101.00000,,101.00000,898.00000,396.00000,62.18400,73.34900,1.62000,1.38000
2010-12-31,2237.00000,1579.00000,658.00000,367.00000,461.00000,197.00000,-260.00000,-63.00000,-41.00000,-22.00000,-22.00000,-4.00000,-26.00000,669.00000,197.00000,60.45500,60.45500,-0.44000,-0.44000
2009-12-31,2358.00000,1748.00000,610.00000,408.00000,496.00000,114.00000,-221.00000,-107.00000,-47.00000,-60.00000,-60.00000,-2.00000,-62.00000,605.00000,114.00000,60.10000,60.10000,-1.02000,-1.02000
