,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,43653.00000,19142.00000,24511.00000,2888.00000,11248.00000,16149.00000,8362.00000,-56.00000,8306.00000,1373.00000,6933.00000,6933.00000,,6933.00000,11629.00000,8362.00000,1753.00000,1764.00000,3.94000,3.91000
2021-12-31,43075.00000,18537.00000,24538.00000,2742.00000,11324.00000,16113.00000,8425.00000,-214.00000,8211.00000,1140.00000,7071.00000,7071.00000,,7071.00000,11963.00000,8425.00000,1775.00000,1789.00000,3.97000,3.94000
2020-12-31,34608.00000,15003.00000,19605.00000,2420.00000,9696.00000,14248.00000,5357.00000,-389.00000,4968.00000,497.00000,4471.00000,4471.00000,24.00000,4495.00000,8684.00000,5357.00000,1773.00000,1786.00000,2.52000,2.50000
2019-12-31,31904.00000,13231.00000,18673.00000,2440.00000,9765.00000,14141.00000,4532.00000,-455.00000,4077.00000,390.00000,3687.00000,3687.00000,,3687.00000,7546.00000,4532.00000,1768.00000,1781.00000,2.07000,2.06000
2018-12-31,30578.00000,12706.00000,17872.00000,2300.00000,9744.00000,14222.00000,3650.00000,-777.00000,2873.00000,539.00000,2334.00000,2334.00000,34.00000,2368.00000,6960.00000,3650.00000,1758.00000,1770.00000,1.34000,1.33000
2017-12-31,27390.00000,12409.00000,14981.00000,2260.00000,9182.00000,13417.00000,1564.00000,667.00000,2231.00000,1878.00000,353.00000,353.00000,124.00000,477.00000,5497.00000,1564.00000,1740.00000,1749.00000,0.27000,0.27000
2016-12-31,20853.00000,9094.00000,11759.00000,1447.00000,6736.00000,8733.00000,3026.00000,-1613.00000,1413.00000,350.00000,1063.00000,1063.00000,337.00000,1400.00000,4544.00000,3026.00000,1477.00000,1483.00000,0.94000,0.94000
2015-12-31,20405.00000,8747.00000,11658.00000,1405.00000,6785.00000,8791.00000,2867.00000,316.00000,3183.00000,577.00000,2606.00000,2606.00000,1817.00000,4423.00000,4339.00000,2867.00000,1496.00000,1506.00000,2.94000,2.92000
2014-12-31,20247.00000,9218.00000,11029.00000,1345.00000,6530.00000,8430.00000,2599.00000,-81.00000,2518.00000,797.00000,1721.00000,1721.00000,563.00000,2284.00000,4147.00000,2599.00000,1516.00000,1527.00000,1.50000,1.49000
2013-12-31,19657.00000,9193.00000,10464.00000,1371.00000,6372.00000,8331.00000,2133.00000,-92.00000,2041.00000,53.00000,1988.00000,1988.00000,588.00000,2576.00000,3852.00000,2133.00000,1558.00000,1574.00000,1.64000,1.62000
2012-12-31,19050.00000,8899.00000,10151.00000,1461.00000,6735.00000,8791.00000,1360.00000,-1580.00000,-220.00000,-457.00000,237.00000,237.00000,5726.00000,5963.00000,4142.00000,1360.00000,1575.00000,1592.00000,3.76000,3.72000
2011-12-31,21407.00000,10017.00000,11390.00000,1512.00000,7365.00000,9761.00000,1629.00000,-393.00000,1236.00000,110.00000,1126.00000,1126.00000,3602.00000,4728.00000,4673.00000,1629.00000,1557.00000,1567.00000,3.03000,3.01000
2010-12-31,35166.72000,14665.19000,20501.53000,3724.42400,10376.32000,14413.95000,6087.58200,-374.74700,5712.83400,1086.66200,4626.17200,4626.17200,,4626.17200,8711.88700,6087.58200,1546.40000,1556.02200,2.98000,2.96000
2009-12-31,30764.71000,13209.33000,17555.38000,2743.73300,8405.90400,11319.64000,6235.74000,958.03300,7193.77400,1447.93600,5745.83800,5745.83800,,5745.83800,8325.25000,6235.74000,1546.98300,1555.12600,3.71000,3.69000
