,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-03-31,11841.84000,5386.39300,6455.44700,4823.24300,4823.24700,1632.20300,-108.95400,1523.25000,306.98100,1216.26900,1216.26900,170.67200,1386.94100,2309.27000,1632.20300,390.29100,392.41100,3.55000,3.53000
2021-03-31,9238.83000,4370.78000,4868.05000,4240.05800,4260.41900,607.63090,-151.15900,456.47200,101.56600,354.90600,354.90600,52.96300,407.86900,1324.66700,607.63090,389.65500,392.12100,1.05000,1.04000
2020-03-31,10488.56000,4690.52000,5798.03600,4547.00800,4870.23100,927.80470,-200.59700,727.20800,98.06200,629.14600,629.14600,50.30300,679.44900,1911.35400,927.80470,395.41100,399.93600,1.72000,1.70000
2019-03-31,10266.89000,4656.32600,5610.56100,4420.37900,4420.37900,1190.18200,-151.86900,1038.31300,167.88700,870.42600,870.42600,389.36600,1259.79200,1445.91100,1190.18200,395.18900,400.49600,3.19000,3.15000
2018-03-31,,,,,,,,,,,,,,,,,,,0.00000
2017-12-31,8394.68400,3849.24800,4545.43600,3662.06200,3662.06200,883.37350,-95.49500,787.87900,519.80900,268.07000,268.07000,346.85300,614.92300,1121.69400,883.37350,399.22300,403.55900,1.54000,1.52000
2016-12-31,11026.15000,5589.92300,5436.22500,3901.12200,3980.76600,1455.45800,-170.74200,1284.71600,205.86200,1078.85400,1078.85400,-4.74800,1074.10600,1816.67900,1455.45800,416.10300,422.08100,2.58000,2.54000
2015-12-31,10996.39000,5603.76600,5392.62600,3747.79900,3747.79900,1644.82700,-80.57100,1564.25700,347.20100,1217.05600,1217.05600,14.53700,1231.59300,2060.46400,1644.82700,425.40800,432.07900,2.90000,2.85000
2014-12-31,11881.73000,6112.88000,5768.85100,3970.53600,3970.54000,1798.31400,-84.73800,1713.57600,385.82700,1327.74900,1327.74900,-280.24400,1047.50500,2469.56000,1798.31400,432.61100,440.15300,2.42000,2.38000
2013-12-31,11419.65000,5931.46900,5488.17900,3841.03200,3841.03200,1647.14700,-84.65700,1562.49000,352.37100,1210.11900,1210.11900,,1210.11900,1900.42000,1647.14700,438.65700,446.80900,2.76000,2.71000
2012-12-31,10879.86000,5817.88000,5061.97600,3596.70800,3596.70800,1465.26800,-43.39200,1421.87500,335.73700,1086.13800,1086.13800,,1085.99900,1703.22400,1465.26800,439.29200,447.61600,2.47000,2.43000
2011-12-31,9459.23200,5128.60200,4330.63000,3085.83900,3085.83900,1244.79100,-80.04800,1164.74300,274.35000,890.39310,890.39310,,888.08900,1443.52600,1244.79100,437.14800,445.15200,2.03000,2.00000
2010-12-31,7702.58900,4105.20100,3597.38800,2574.79000,2776.52800,820.85990,-70.64800,750.21200,176.70000,573.51200,573.51200,,571.36200,1195.99400,820.85990,435.05600,441.31200,1.31250,1.29500
2009-12-31,7220.28600,4025.12200,3195.16400,2336.39400,2458.34700,736.81690,-82.14400,654.67300,196.21500,458.45800,458.45800,,461.27100,1029.22200,736.81690,441.55600,446.42000,1.04500,1.03250
