,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-05-31,46710.00000,25231.00000,21479.00000,14804.00000,14804.00000,6675.00000,-24.00000,6651.00000,605.00000,6046.00000,6046.00000,,6046.00000,7515.00000,6675.00000,1578.80000,1610.80000,3.83000,3.75000
2021-05-31,44538.00000,24576.00000,19962.00000,13025.00000,13025.00000,6937.00000,-276.00000,6661.00000,934.00000,5727.00000,5727.00000,,5727.00000,7734.00000,6937.00000,1573.00000,1609.40000,3.64000,3.56000
2020-05-31,37403.00000,21162.00000,16241.00000,13126.00000,13126.00000,3115.00000,-228.00000,2887.00000,348.00000,2539.00000,2539.00000,,2539.00000,4234.00000,3115.00000,1558.80000,1591.60000,1.63000,1.60000
2019-05-31,39117.00000,21643.00000,17474.00000,12702.00000,12702.00000,4772.00000,29.00000,4801.00000,772.00000,4029.00000,4029.00000,,4029.00000,5492.00000,4772.00000,1579.70000,1618.40000,2.55000,2.49000
2018-05-31,36397.00000,20441.00000,15956.00000,11511.00000,11511.00000,4445.00000,-120.00000,4325.00000,2392.00000,1933.00000,1933.00000,,1933.00000,5219.00000,4445.00000,1623.80000,1659.10000,1.19000,1.17000
2017-05-31,34350.00000,19038.00000,15312.00000,10563.00000,10563.00000,4749.00000,137.00000,4886.00000,646.00000,4240.00000,4240.00000,,4240.00000,5465.00000,4749.00000,1657.80000,1692.00000,2.56000,2.51000
2016-05-31,32376.00000,17405.00000,14971.00000,10469.00000,10469.00000,4502.00000,121.00000,4623.00000,863.00000,3760.00000,3760.00000,,3760.00000,5164.00000,4502.00000,1697.90000,1742.50000,2.21000,2.16000
2015-05-31,30601.00000,16534.00000,14067.00000,9892.00000,9892.00000,4175.00000,30.00000,4205.00000,932.00000,3273.00000,3273.00000,,3273.00000,4824.00000,4175.00000,1723.50000,1768.80000,1.90000,1.85000
2014-05-31,27799.00000,15353.00000,12446.00000,8766.00000,8766.00000,3680.00000,-136.00000,3544.00000,851.00000,2693.00000,2693.00000,,2693.00000,4266.00000,3680.00000,1766.70000,1811.60000,1.52000,1.49000
2013-05-31,25313.00000,14279.00000,11034.00000,7796.00000,7796.00000,3238.00000,18.00000,3256.00000,805.00000,2451.00000,2451.00000,21.00000,2472.00000,3740.00000,3238.00000,1794.60000,1832.80000,1.38000,1.35000
2012-05-31,23331.00000,13183.00000,10148.00000,7079.00000,7079.00000,3069.00000,-58.00000,3011.00000,754.00000,2257.00000,2257.00000,-46.00000,2211.00000,3465.00000,3069.00000,1840.00000,1879.20000,1.20000,1.17500
2011-05-31,20117.00000,10915.00000,9202.00000,6361.00000,6361.00000,2841.00000,21.00000,2862.00000,690.00000,2172.00000,2172.00000,-39.00000,2133.00000,3199.00000,2841.00000,1902.20000,1942.60000,1.12000,1.10000
2010-05-31,19014.00000,10214.00000,8800.00000,6326.00000,6326.00000,2474.00000,43.00000,2517.00000,610.00000,1907.00000,1907.00000,,1907.00000,2870.00000,2474.00000,1942.00000,1975.60000,0.98250,0.96500
2009-05-31,19176.00000,10572.00000,8604.00000,6150.00000,6746.00000,1858.00000,99.00000,1957.00000,470.00000,1487.00000,1487.00000,,1487.00000,2642.00000,1858.00000,1939.60000,1962.80000,0.76750,0.75750
