,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1727.68400,530.90700,1196.77700,119.53400,-6.77900,631.31300,565.46400,-521.16000,44.30400,56.65400,-12.35000,,114.53400,,100.75800,1070.46400,565.46400,615.52800,617.85800,0.16000,0.16000
2021-12-31,1364.58500,417.91100,946.67400,104.12100,-22.94700,522.38810,424.28590,320.84000,745.12600,3.38000,741.74600,,849.69600,,818.64300,819.60590,424.28590,506.24800,511.38500,1.61000,1.60000
2020-12-31,1057.89300,342.96900,714.92400,93.21700,-0.14000,382.31190,332.61200,595.26200,927.87400,0.97800,926.89600,,1002.87700,,975.41700,621.56700,332.61200,429.95000,431.63300,2.26000,2.25000
2019-12-31,1158.88400,336.95100,821.93300,96.94200,30.47500,344.34600,477.58700,-165.58100,312.00600,-3.31700,315.32300,,413.56100,,339.98800,755.46610,477.58700,420.37000,421.79900,0.80000,0.80000
2018-12-31,1164.76200,328.55900,836.20290,87.79700,144.38000,253.79700,582.40590,-183.06000,399.34600,1.60000,397.74600,,498.46300,,429.70800,892.78590,582.40590,420.64100,421.37900,1.02000,1.02000
2017-12-31,1200.83400,337.89300,862.94100,91.69000,20.57700,431.92400,431.01700,-191.15000,239.86700,-0.88000,240.74700,71.16000,439.67100,,370.32900,791.82800,431.01700,423.61400,424.01900,0.87000,0.87000
2016-12-31,1170.79200,329.02400,841.76800,86.79600,-6.00600,448.12200,393.64600,-232.79800,160.84800,78.58300,82.26500,57.38600,386.13800,,330.61200,748.96600,393.64600,418.40200,419.70900,0.79000,0.79000
2015-12-31,1166.76900,304.47700,862.29210,122.73500,-51.45800,518.72000,343.57200,-174.65600,168.91600,60.23000,108.68600,149.23400,774.40500,125.73800,831.21500,688.09900,343.57200,411.31900,412.85100,2.01000,2.00000
2014-12-31,993.89700,258.61700,735.28000,122.20100,-44.69000,424.96500,310.31490,-208.20800,102.10700,22.43800,79.66900,107.23500,384.50600,50.98500,365.70700,583.40800,310.31490,409.08800,411.03800,0.89000,0.89000
2013-12-31,861.52700,221.49800,640.02900,127.47000,-38.38000,390.56300,249.46590,-189.89400,59.57200,32.65400,26.91800,21.71100,288.45400,-48.53300,177.98700,507.32100,249.46590,407.63100,408.61400,0.43000,0.43000
2012-12-31,793.37300,206.97400,586.39900,123.52400,-15.13200,353.48300,232.91600,-221.15900,11.75700,15.60300,-3.84600,15.55500,178.00200,97.97400,172.67300,495.65800,232.91600,405.99700,406.68900,0.42000,0.42000
2011-12-31,814.47700,220.83600,593.64100,118.55900,-19.04200,355.86100,237.78000,-186.42400,51.35600,25.78900,25.56700,0.56900,141.41600,40.56600,109.68800,488.91900,237.78000,406.53000,407.66900,0.27000,0.27000
2010-12-31,826.80600,227.42400,599.38200,109.03400,-43.30300,369.54200,229.84000,-201.93500,27.90500,3.20800,24.69700,,120.12200,39.15200,91.14700,477.47700,229.84000,405.82700,406.20100,0.22000,0.22000
2009-12-31,797.89800,227.30600,570.59200,109.96000,-18.47200,350.18200,220.41000,-274.41800,-54.00800,-20.06100,-33.94700,,3.89700,-1.70300,-51.23000,448.18600,220.41000,350.07700,350.07700,-0.15000,-0.15000
