,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,23814.00000,17711.00000,6103.00000,-3735.00000,5086.00000,1017.00000,-289.00000,728.00000,189.00000,539.00000,539.00000,539.00000,2368.00000,1017.00000,593.00000,642.00000,0.91000,0.87000
2021-12-31,15790.00000,10403.00000,5387.00000,-2394.00000,3666.00000,1721.00000,-396.00000,1325.00000,348.00000,977.00000,977.00000,977.00000,2993.00000,1721.00000,592.00000,609.00000,1.65000,1.61000
2020-12-31,9048.00000,9683.00000,-635.00000,-1926.00000,3181.00000,-3816.00000,-440.00000,-4256.00000,-1182.00000,-3074.00000,-3074.00000,-3074.00000,-2561.00000,-3816.00000,565.00000,565.00000,-5.44000,-5.44000
2019-12-31,22428.00000,15226.00000,7202.00000,-3026.00000,4245.00000,2957.00000,,2957.00000,657.00000,2300.00000,2300.00000,2300.00000,4176.00000,2957.00000,538.00000,539.00000,4.28000,4.27000
2018-12-31,21965.00000,14706.00000,7259.00000,-2852.00000,4053.00000,3206.00000,-42.00000,3164.00000,699.00000,2465.00000,2465.00000,2465.00000,4407.00000,3206.00000,573.00000,574.00000,4.30000,4.29000
2017-12-31,21146.00000,13674.00000,7472.00000,-2847.00000,4065.00000,3407.00000,-142.00000,3265.00000,-92.00000,3357.00000,3357.00000,3357.00000,4625.00000,3407.00000,601.00000,603.00000,5.58000,5.57000
2016-12-31,20289.00000,12843.00000,7446.00000,-2703.00000,3924.00000,3522.00000,-72.00000,3450.00000,1267.00000,2183.00000,2183.00000,2183.00000,4743.00000,3522.00000,627.00000,633.00000,3.48000,3.45000
2015-12-31,19820.00000,12408.00000,7412.00000,-2242.00000,3296.00000,4116.00000,-637.00000,3479.00000,1298.00000,2181.00000,2181.00000,2181.00000,5131.00000,4116.00000,661.00000,669.00000,3.30000,3.27000
2014-12-31,18605.00000,13111.00000,5494.00000,-2205.00000,3269.00000,2225.00000,-409.00000,1816.00000,680.00000,1136.00000,1136.00000,1136.00000,3163.00000,2225.00000,687.00000,696.00000,1.65000,1.64000
2013-12-31,17699.00000,13342.00000,4357.00000,-2126.00000,3079.00000,1278.00000,-69.00000,1209.00000,455.00000,754.00000,754.00000,754.00000,2145.00000,1278.00000,710.00000,718.00000,1.06000,1.05000
2012-12-31,17088.00000,13399.00000,3689.00000,-2039.00000,3066.00000,623.00000,62.00000,685.00000,264.00000,421.00000,421.00000,421.00000,1467.00000,623.00000,750.00000,757.00000,0.56000,0.56000
2011-12-31,15658.00000,12237.00000,3421.00000,-1879.00000,2728.00000,693.00000,-370.00000,323.00000,145.00000,178.00000,178.00000,178.00000,1408.00000,693.00000,774.00000,775.00000,0.23000,0.23000
2010-12-31,12104.00000,9062.00000,3042.00000,-1418.00000,2054.00000,988.00000,-243.00000,745.00000,286.00000,459.00000,459.00000,459.00000,1602.00000,988.00000,746.00000,747.00000,0.62000,0.61000
2009-12-31,10350.00000,8135.00000,2215.00000,-1337.00000,1953.00000,262.00000,-98.00000,164.00000,65.00000,99.00000,99.00000,99.00000,866.00000,262.00000,741.00000,741.00000,0.13000,0.13000
