,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5663.00000,4103.00000,1560.00000,32.00000,288.00000,641.00000,919.00000,-313.00000,606.00000,137.00000,469.00000,469.00000,,467.00000,1184.00000,919.00000,416.00000,421.00000,1.12000,1.11000
2021-12-31,4972.00000,3596.00000,1376.00000,17.00000,251.00000,628.00000,748.00000,-424.00000,324.00000,66.00000,258.00000,258.00000,,256.00000,1018.00000,748.00000,430.00000,435.00000,0.60000,0.59000
2020-12-31,5259.00000,3878.00000,1381.00000,17.00000,277.00000,755.00000,626.00000,-455.00000,171.00000,-40.00000,211.00000,211.00000,50.00000,259.00000,964.00000,626.00000,435.00000,439.00000,0.48000,0.59000
2019-12-31,7098.00000,5214.00000,1884.00000,28.00000,400.00000,1305.00000,579.00000,-369.00000,210.00000,84.00000,126.00000,126.00000,344.00000,468.00000,1115.00000,579.00000,446.00000,463.00000,1.05000,1.01000
2018-12-31,6778.00000,5114.00000,1664.00000,41.00000,371.00000,889.00000,775.00000,-347.00000,428.00000,119.00000,309.00000,309.00000,333.00000,651.00000,1351.00000,775.00000,483.00000,503.00000,1.35000,1.29000
2017-12-31,12960.00000,10221.00000,2739.00000,109.00000,715.00000,2259.00000,480.00000,-10.00000,470.00000,544.00000,-74.00000,-74.00000,,-127.00000,1750.00000,480.00000,451.00000,451.00000,-0.28000,-0.28000
2016-12-31,12394.00000,9696.00000,2698.00000,130.00000,924.00000,1744.00000,954.00000,-540.00000,414.00000,1476.00000,-1062.00000,-1062.00000,184.00000,-1010.00000,2086.00000,954.00000,438.00000,438.00000,-2.31000,-2.31000
2015-12-31,12413.00000,10104.00000,2309.00000,169.00000,765.00000,1681.00000,628.00000,-445.00000,183.00000,339.00000,-156.00000,-156.00000,-41.00000,-391.00000,1933.00000,628.00000,420.00000,420.00000,-0.93000,-0.93000
2014-12-31,12542.00000,10349.00000,2193.00000,123.00000,770.00000,1643.00000,550.00000,-437.00000,113.00000,174.00000,-61.00000,-61.00000,238.00000,247.00000,1922.00000,550.00000,387.00000,393.00000,0.64000,0.63000
2013-12-31,23032.00000,19286.00000,3746.00000,192.00000,1008.00000,3403.00000,343.00000,-2159.00000,-1816.00000,428.00000,-2244.00000,-2244.00000,,-2287.00000,3496.00000,343.00000,356.63100,356.63100,-6.42060,-6.42060
2012-12-31,23700.00000,20401.00000,3299.00000,197.00000,997.00000,2826.00000,473.00000,-149.00000,324.00000,162.00000,162.00000,162.00000,,189.00000,1935.00000,473.00000,355.63110,358.63080,0.54010,0.54010
2011-12-31,24951.00000,20480.00000,4471.00000,184.00000,1027.00000,2971.00000,1500.00000,-437.00000,1063.00000,255.00000,808.00000,808.00000,-3.00000,611.00000,2981.00000,1500.00000,353.63130,386.96130,1.71020,1.65020
2010-12-31,21013.00000,17174.00000,3839.00000,174.00000,961.00000,2792.00000,1047.00000,-499.00000,548.00000,148.00000,400.00000,400.00000,-8.00000,259.00000,2498.00000,1047.00000,339.29940,341.63250,0.75010,0.72010
2009-12-31,18439.00000,16902.00000,1537.00000,169.00000,1009.00000,2726.00000,-1189.00000,-309.00000,-1498.00000,-574.00000,-924.00000,-924.00000,-166.00000,-1151.00000,122.00000,-1189.00000,311.63550,311.63550,-3.69040,-3.69040
