,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,25356.00000,2321.00000,23035.00000,14086.00000,14853.00000,8182.00000,-513.00000,7669.00000,1402.00000,6267.00000,6267.00000,5927.00000,1328.12000,1338.46200,4.46000,4.43000
2021-12-31,23064.00000,768.00000,22296.00000,12717.00000,13481.00000,8815.00000,-822.00000,7993.00000,1556.00000,6437.00000,6437.00000,6033.00000,1337.14400,1349.37800,4.51000,4.47000
2020-12-31,24427.00000,1722.00000,22705.00000,15429.00000,16372.00000,6333.00000,-860.00000,5473.00000,981.00000,4492.00000,4492.00000,4184.00000,1347.08000,1358.28900,3.11000,3.08000
2019-12-31,14664.00000,2096.00000,12568.00000,7889.00000,8189.00000,4379.00000,-360.00000,4019.00000,782.00000,3237.00000,3237.00000,3028.00000,805.10400,815.20400,3.76000,3.71000
2018-12-31,12996.00000,1438.00000,11558.00000,7101.00000,7352.00000,4206.00000,-146.00000,4060.00000,803.00000,3257.00000,3257.00000,3063.00000,772.96300,783.48400,3.96000,3.91000
2017-12-31,12156.00000,839.00000,11317.00000,7614.00000,7876.00000,3441.00000,-115.00000,3326.00000,911.00000,2415.00000,2415.00000,2220.00000,799.21700,810.97700,2.78000,2.74000
2016-12-31,11538.00000,745.00000,10793.00000,6972.00000,7122.00000,3671.00000,-171.00000,3500.00000,1058.00000,2442.00000,2442.00000,2259.00000,804.68000,814.91600,2.81000,2.77000
2015-12-31,10346.00000,735.00000,9611.00000,6424.00000,6529.00000,3082.00000,-165.00000,2917.00000,794.00000,2123.00000,2123.00000,1936.00000,748.01000,757.76500,2.59000,2.56000
2014-12-31,9998.00000,768.00000,9230.00000,5966.00000,6057.00000,3173.00000,-46.00000,3127.00000,921.00000,2206.00000,2206.00000,1983.00000,718.14000,728.37200,2.76000,2.72000
2013-12-31,10543.00000,891.00000,9652.00000,6217.00000,6323.00000,3329.00000,-46.00000,3283.00000,1553.00000,1730.00000,1730.00000,1563.00000,703.04200,714.36300,2.22000,2.19000
2012-12-31,10737.00000,1060.00000,9677.00000,6707.00000,6817.00000,2860.00000,-68.00000,2792.00000,764.00000,2028.00000,2028.00000,1916.00000,698.73900,708.87700,2.74000,2.70000
2011-12-31,9998.00000,1378.00000,8620.00000,6877.00000,6976.00000,1644.00000,-16.00000,1628.00000,296.00000,1332.00000,1332.00000,1289.00000,696.53200,705.16800,1.85000,1.83000
2010-12-31,11072.00000,1795.00000,9277.00000,8117.00000,8239.00000,1038.00000,-69.00000,969.00000,115.00000,854.00000,854.00000,816.00000,692.48900,701.03900,1.18000,1.16000
2009-12-31,10818.00000,2040.00000,8778.00000,7590.00000,7704.00000,1074.00000,-38.00000,1036.00000,159.00000,877.00000,877.00000,729.00000,629.58300,635.61900,1.16000,1.15000
