,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,11166.50000,5861.75000,5304.74900,-3454.69400,3454.69300,1850.05600,-130.37400,1719.68100,334.72700,1384.95400,1384.95400,1381.06200,1905.92800,1850.05600,276.85200,279.46100,4.99000,4.94000
2021-12-31,9455.46600,4953.96000,4501.50600,-3071.42100,3071.42100,1430.08500,-147.18000,1282.90500,251.89000,1031.01500,1031.01500,1022.49000,1559.76700,1430.08500,277.43000,279.74900,3.69000,3.66000
2020-12-31,8098.92500,4468.70600,3630.21900,-2774.88000,2774.88000,855.33890,-150.53700,704.80200,171.81700,532.98500,532.98500,530.67000,990.40390,855.33890,280.38600,283.14500,1.89000,1.87000
2019-12-31,7902.19600,4131.11600,3771.08000,-2764.75100,2764.75100,1006.32900,-153.40900,852.92000,168.93500,683.98500,683.98500,681.94400,1119.71600,1006.32900,286.50000,291.00000,2.38670,2.34670
2018-12-31,7691.65100,3974.70200,3716.94900,-2747.67000,2747.67000,969.27880,-157.18500,812.09400,163.02800,649.06600,649.06600,640.74900,1100.38700,969.27880,285.00000,288.00000,2.24670,2.22000
2017-12-31,7684.76400,4002.34800,3682.41600,-2762.34900,2762.34900,920.06690,-147.29700,772.77000,219.43300,553.33700,553.33700,549.09400,1033.02300,920.06690,280.50000,291.00000,1.95330,1.89330
2016-12-31,7654.18400,3845.80000,3808.38400,-2771.05000,2771.05000,1037.33400,-140.89600,896.43800,292.95300,603.48500,603.48500,601.91600,1123.38500,1037.33400,275.96480,289.24420,2.18220,2.08000
2015-12-31,7206.45700,3656.27000,3550.18700,-2687.21100,2687.21100,862.97610,-130.94600,732.03000,227.92300,504.10700,504.10700,503.69400,948.11510,862.97610,279.09000,292.92520,1.80440,1.72000
2014-12-31,7128.92800,3490.56700,3638.36100,-2557.99100,2557.99100,1080.37100,-128.17400,952.19600,302.59300,649.60300,649.60300,648.88400,1169.20700,1080.37100,287.71650,300.71700,2.25330,2.16000
2013-12-31,6408.53400,3197.02400,3211.51000,-2389.44500,2389.44500,822.06540,-123.17700,698.88800,193.58700,505.30100,505.30100,499.92500,925.15540,822.06540,304.43620,316.67180,1.64000,1.57780
2012-12-31,5823.55400,2948.47900,2875.07500,-2046.84500,2046.84500,828.23000,-126.30200,701.92800,191.28500,510.64300,510.64300,510.59200,931.64900,828.23000,308.46830,322.45870,1.65330,1.58220
2011-12-31,5155.98400,2658.36500,2497.61900,-1872.02100,1872.02100,625.59810,-112.51200,513.08600,121.94500,391.14100,391.14100,391.21100,713.61020,625.59810,314.29800,327.76200,1.24440,1.19560
2010-12-31,4724.06900,2309.86700,2414.20200,-1708.32300,1708.32300,705.87890,-106.96900,598.91000,152.22600,446.68400,446.68400,446.40500,788.74590,705.87890,334.69200,348.93230,1.33330,1.28000
2009-12-31,4431.17800,2336.70700,2094.47100,-1624.25200,1624.25200,470.21920,-87.98900,382.23000,73.15000,309.08000,309.08000,309.05700,549.09420,470.21920,360.80320,374.79150,0.85780,0.82670
