,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,8275.30000,8275.30000,6219.40000,1773.89900,-44.50000,1729.40000,396.20000,1333.20000,1333.20000,1237.80000,2216.50000,1773.89900,488.70000,489.30000,2.53000,2.53000
2021-09-30,8425.50000,8425.50000,6318.50000,1875.00000,569.20000,2444.20000,349.60000,2094.60000,2094.60000,1753.50000,2263.80000,1875.00000,489.90000,490.60000,3.58000,3.57000
2020-09-30,5566.50000,5566.50000,4463.60000,1048.90000,-31.00000,1017.90000,230.80000,787.10000,787.10000,783.60000,1257.70000,1048.90000,491.90000,492.40000,1.59000,1.59000
2019-09-30,5669.40000,5669.40000,4187.80000,1466.90000,180.90000,1647.80000,442.30000,1205.50000,1205.50000,1184.80000,1646.10000,1466.90000,503.60000,504.30000,2.35000,2.35000
2018-09-30,6204.50000,6204.50000,4174.50000,2028.20000,187.00000,2215.20000,1472.50000,742.70000,742.70000,746.80000,2185.30000,2028.20000,537.40000,538.00000,1.39000,1.39000
2017-09-30,6392.20000,6392.20000,4127.90000,2264.30000,284.80000,2549.10000,759.40000,1789.70000,1789.70000,1684.30000,2416.60000,2264.30000,558.80000,559.10000,3.01000,3.01000
2016-09-30,6618.00000,6618.00000,4252.30000,2365.70000,134.10000,2499.80000,742.10000,1757.70000,1757.70000,1715.80000,2528.00000,2365.70000,583.80000,583.80000,2.94000,2.94000
2015-09-30,7948.70000,7948.70000,4921.10000,3027.60100,0.80000,3028.40000,923.70000,2104.70000,2104.70000,2023.30000,3237.80100,3027.60100,614.80000,614.90000,3.29000,3.29000
2014-09-30,8491.40000,8491.40000,5270.20000,3221.20100,188.40000,3409.60000,997.90000,2411.70000,2411.70000,2370.00000,3443.60100,3221.20100,624.80000,625.20000,3.79000,3.79000
2013-09-30,7985.00000,7985.00000,5063.70000,2921.30000,105.30000,3026.60000,855.90000,2170.70000,2170.70000,2136.30000,3152.80000,2921.30000,633.10000,634.10000,3.37000,3.37000
2012-09-30,7101.00000,7101.00000,4585.80000,2515.20000,163.00000,2678.20000,762.70000,1915.50000,1915.50000,1919.70000,2727.20000,2515.20000,641.40000,643.30000,2.99000,2.98000
2011-09-30,7140.00000,7140.00000,4480.20000,2659.80000,-35.60000,2624.20000,803.40000,1820.80000,1820.80000,1915.00000,2903.40000,2659.80000,663.10000,666.30000,2.89000,2.87000
2010-09-30,5853.00000,5853.00000,3894.30000,1958.70000,111.10000,2069.80000,618.30000,1451.50000,1451.50000,1438.10000,2226.10000,1958.70000,678.30000,682.20000,2.12000,2.11000
2009-09-30,4194.08700,4194.08700,2991.49300,1202.59400,86.01100,1288.60500,384.31400,904.29100,904.29100,890.42600,1383.86600,1202.59400,691.00200,694.35300,1.29000,1.28330
