,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7531.00000,316.00000,7215.00000,4339.00000,4339.00000,2876.00000,,2876.00000,631.00000,2245.00000,2245.00000,,2146.00000,935.00000,942.00000,2.29000,2.28000
2021-12-31,6605.00000,167.00000,6438.00000,3223.00000,3223.00000,3215.00000,,3215.00000,694.00000,2521.00000,2521.00000,,2400.00000,956.00000,963.00000,2.51000,2.49000
2020-12-31,6655.00000,368.00000,6287.00000,4973.00000,4973.00000,1314.00000,,1314.00000,220.00000,1094.00000,1094.00000,,991.00000,959.00000,962.00000,1.03000,1.03000
2019-12-31,6712.00000,851.00000,5861.00000,3876.00000,3876.00000,1985.00000,,1985.00000,403.00000,1582.00000,1582.00000,,1503.00000,995.00000,999.00000,1.51000,1.50000
2018-12-31,6356.00000,602.00000,5754.00000,3799.00000,3799.00000,1955.00000,,1955.00000,387.00000,1568.00000,1568.00000,191.00000,1695.00000,1092.00000,1102.00000,1.55000,1.54000
2017-12-31,5949.00000,448.00000,5501.00000,3641.00000,3641.00000,1860.00000,,1860.00000,619.00000,1241.00000,1241.00000,22.00000,1199.00000,1186.00000,1198.00000,1.01000,1.00000
2016-12-31,5825.00000,416.00000,5409.00000,3745.00000,3745.00000,1664.00000,,1664.00000,510.00000,1154.00000,1154.00000,9.00000,1099.00000,1255.00000,1261.00000,0.87000,0.87000
2015-12-31,5674.00000,296.00000,5378.00000,3848.00000,3848.00000,1530.00000,,1530.00000,455.00000,1075.00000,1075.00000,-13.00000,998.00000,1325.00000,1334.00000,0.75000,0.75000
2014-12-31,5492.00000,309.00000,5183.00000,3501.00000,3501.00000,1682.00000,,1682.00000,548.00000,1134.00000,1134.00000,13.00000,1095.00000,1375.00000,1387.00000,0.80000,0.79000
2013-12-31,5743.00000,384.00000,5359.00000,3694.00000,3694.00000,1665.00000,,1665.00000,561.00000,1104.00000,1104.00000,-13.00000,1059.00000,1395.00000,1410.00000,0.76000,0.75000
2012-12-31,6003.00000,603.00000,5400.00000,3739.00000,3739.00000,1661.00000,,1661.00000,482.00000,1179.00000,1179.00000,-59.00000,991.00000,1381.00000,1387.00000,0.72000,0.71000
2011-12-31,6395.00000,842.00000,5553.00000,5139.00000,5392.00000,161.00000,,161.00000,-28.00000,189.00000,189.00000,-404.00000,-429.00000,1258.00000,1258.00000,-0.34000,-0.34000
2010-12-31,7126.00000,1248.00000,5878.00000,6722.00000,6722.00000,-844.00000,,-844.00000,-376.00000,-468.00000,-468.00000,-71.00000,-763.00000,1227.00000,1227.00000,-0.62000,-0.62000
2009-12-31,8042.00000,1984.00000,6058.00000,7251.00000,7251.00000,-1193.00000,-75.00000,-1268.00000,-194.00000,-1074.00000,-1074.00000,43.00000,-1261.00000,989.00000,989.00000,-1.27000,-1.27000
