,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3337.00000,185.00000,3152.00000,2000.00000,2000.00000,1152.00000,1152.00000,245.00000,907.00000,907.00000,878.00000,150.06400,150.27100,5.80000,5.79000
2021-12-31,2970.00000,59.00000,2911.00000,1465.00000,1465.00000,1446.00000,1446.00000,317.00000,1129.00000,1129.00000,1100.00000,159.91300,160.23400,6.80000,6.79000
2020-12-31,2942.00000,152.00000,2790.00000,2118.00000,2118.00000,672.00000,672.00000,133.00000,539.00000,539.00000,505.00000,163.73700,165.61300,3.06000,3.02000
2019-12-31,3245.00000,411.00000,2834.00000,1781.00000,1781.00000,1053.00000,1053.00000,237.00000,816.00000,816.00000,782.00000,175.98400,186.50400,4.41000,4.16000
2018-12-31,3033.00000,251.00000,2782.00000,1639.00000,1639.00000,1143.00000,1143.00000,259.00000,884.00000,884.00000,850.00000,193.58900,206.50100,4.36000,4.08000
2017-12-31,2736.00000,127.00000,2609.00000,1673.00000,1673.00000,936.00000,936.00000,344.00000,592.00000,592.00000,550.00000,200.77600,209.65300,2.71000,2.60000
2016-12-31,2470.00000,87.00000,2383.00000,1678.00000,1678.00000,705.00000,705.00000,236.00000,469.00000,469.00000,411.00000,203.85500,204.26900,2.00000,1.99000
2015-12-31,2190.00000,118.00000,2072.00000,1612.00000,1621.00000,451.00000,451.00000,142.00000,309.00000,309.00000,247.00000,203.26500,203.69800,1.20000,1.20000
2014-12-31,2345.70600,172.99800,2172.70800,1540.36200,1551.28500,621.42310,621.42300,222.96100,398.46200,398.46200,326.56800,192.20700,192.78900,1.68000,1.68000
2013-12-31,2278.81200,245.07700,2033.73500,1612.92800,1627.30300,406.43200,406.43200,142.97700,263.45500,263.45500,293.97900,183.84400,184.29700,1.58000,1.58000
2012-12-31,2458.59200,306.78200,2151.81000,1593.23400,1610.24400,541.56620,541.56600,193.41600,348.15000,348.15000,178.63100,183.08100,183.23600,0.97000,0.97000
2011-12-31,2686.76500,432.39600,2254.36900,1713.02600,1733.09600,521.27320,521.27300,198.58300,322.69000,322.69000,153.39000,182.39300,182.60500,0.83000,0.83000
2010-12-31,2760.30700,592.45600,2167.85100,2545.50200,2571.01900,-403.16820,-403.16800,-106.81900,-296.34900,-296.34900,-412.50500,166.05400,166.05400,-2.48000,-2.48000
2009-12-31,3319.42700,617.79400,2701.63300,3656.76300,4324.65300,-1623.02000,-1623.02000,-401.34300,-1221.67700,-1221.67700,-1234.44700,124.44300,124.44300,-9.92000,-9.92000
