,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12869.00000,10800.00000,2069.00000,1186.00000,1186.00000,883.00000,133.00000,1016.00000,154.00000,862.00000,862.00000,-1.00000,861.00000,1280.00000,883.00000,212.80900,214.97300,4.05000,4.01000
2021-12-31,12382.00000,10297.00000,2085.00000,1221.00000,1221.00000,864.00000,9.00000,873.00000,126.00000,747.00000,747.00000,-1.00000,746.00000,1254.00000,864.00000,224.10600,226.52000,3.33000,3.30000
2020-12-31,11651.00000,10094.00000,1557.00000,1045.00000,1045.00000,512.00000,-230.00000,282.00000,-27.00000,309.00000,309.00000,,309.00000,903.00000,512.00000,228.53600,228.97900,1.35000,1.35000
2019-12-31,13630.00000,11406.00000,2224.00000,1152.00000,1152.00000,1072.00000,-130.00000,942.00000,127.00000,815.00000,815.00000,,815.00000,1488.00000,1072.00000,231.31500,232.70900,3.52000,3.50000
2018-12-31,13972.00000,11594.00000,2378.00000,1275.00000,1275.00000,1103.00000,281.00000,1384.00000,162.00000,1222.00000,1222.00000,,1222.00000,1540.00000,1103.00000,250.19600,253.23700,4.88000,4.83000
2017-12-31,14198.00000,11827.00000,2371.00000,1334.00000,1334.00000,1037.00000,-275.00000,762.00000,456.00000,306.00000,306.00000,1.00000,307.00000,1484.00000,1037.00000,266.38000,268.75000,1.15000,1.14000
2016-12-31,13788.00000,11337.00000,2451.00000,1317.00000,1317.00000,1134.00000,-258.00000,876.00000,33.00000,843.00000,843.00000,119.00000,962.00000,1583.00000,1134.00000,270.77400,272.36500,3.55000,3.53000
2015-12-31,13423.00000,10979.00000,2444.00000,1304.00000,1304.00000,1140.00000,-169.00000,971.00000,273.00000,698.00000,698.00000,-1.00000,697.00000,1601.00000,1140.00000,276.68200,278.72700,2.52000,2.50000
2014-12-31,13878.00000,11421.00000,2457.00000,1361.00000,1361.00000,1096.00000,-243.00000,853.00000,248.00000,605.00000,605.00000,-5.00000,600.00000,1555.00000,1096.00000,279.40900,281.79000,2.15000,2.13000
2013-12-31,12104.00000,10131.00000,1973.00000,1126.00000,1126.00000,847.00000,-173.00000,674.00000,176.00000,498.00000,498.00000,0.00000,498.00000,1236.00000,847.00000,279.29900,284.42800,1.78000,1.75000
2012-12-31,12237.00000,10019.00000,2218.00000,1165.00000,1165.00000,1053.00000,-212.00000,841.00000,260.00000,581.00000,581.00000,8.00000,589.00000,1436.00000,1053.00000,280.18200,294.66300,2.10000,2.00000
2011-12-31,11275.00000,9308.00000,1967.00000,1195.00000,1195.00000,772.00000,-435.00000,337.00000,95.00000,242.00000,242.00000,,242.00000,1175.00000,772.00000,277.68400,307.25500,0.87000,0.79000
2010-12-31,10525.00000,8605.00000,1920.00000,1231.00000,1231.00000,689.00000,-603.00000,86.00000,-6.00000,92.00000,92.00000,-6.00000,86.00000,1082.00000,689.00000,274.45200,302.55500,0.31000,0.28000
2009-12-31,10500.00000,8468.00000,2032.00000,1338.00000,1338.00000,694.00000,-843.00000,-149.00000,-76.00000,-73.00000,-73.00000,42.00000,-31.00000,1103.00000,694.00000,262.92300,262.92300,-0.12000,-0.12000
