,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,13990.58000,6340.20800,7650.36900,2180.45200,2624.03900,4804.49200,2845.87800,670.08000,3515.95800,729.54800,2786.41000,2786.41000,90.59700,2948.67500,3260.27900,2845.87800,652.69100,659.20300,4.52000,4.47000
2021-12-31,13747.30000,6376.55300,7370.74400,2208.83000,2585.71700,4794.54700,2576.19700,735.55300,3311.75000,647.81500,2663.93500,2663.93500,,2645.20600,3090.23000,2576.19700,665.17300,673.49600,3.98000,3.93000
2020-12-31,11289.98000,5315.51400,5974.46800,1589.17700,2157.18200,3746.35900,2228.10900,127.76700,2355.87600,466.18400,1889.69200,1889.69200,,1848.69900,2758.03700,2228.10900,661.09000,669.95200,2.80000,2.76000
2019-12-31,8509.45800,3976.82300,4532.63500,1208.48400,1343.24800,2551.73200,1980.90300,372.41500,2353.31800,418.67400,1934.64400,1934.64400,1143.74400,3050.57700,2356.34900,1980.90300,644.09500,649.99500,4.73600,4.69400
2018-12-31,9767.50100,5636.38400,4131.11700,1133.37900,1849.75800,2983.13700,1147.98000,152.88500,1300.86500,358.76400,942.10100,942.10100,,894.83100,1451.01300,1147.98000,647.06490,650.94000,1.38200,1.37400
2017-12-31,8315.32800,4332.62000,3982.70800,671.87600,1442.82400,2114.70000,1868.00800,131.82500,1999.83300,332.34900,1667.48400,1667.48400,,1645.78200,1991.24300,1868.00800,658.06000,663.09500,2.50000,2.48200
2016-12-31,5498.89800,2378.66000,3120.23800,438.85600,862.44700,1301.30300,1818.93500,182.41400,2001.34900,302.82300,1698.52600,1698.52600,,1671.39900,1866.10700,1818.93500,656.34500,661.42000,2.54600,2.52600
2015-12-31,3520.16000,1450.99600,2069.16400,333.27500,613.26800,946.54300,1122.62100,129.39300,1252.01400,196.57900,1055.43500,1055.43500,,1039.72100,1150.78600,1122.62100,656.87500,661.04500,1.58200,1.57200
2014-12-31,1887.76600,525.66500,1362.10100,213.30900,380.79300,594.10200,767.99900,111.74200,879.74100,106.81400,772.92700,772.92700,,766.62800,796.11700,767.99900,652.89000,655.41000,1.17400,1.17000
2013-12-31,1519.10000,409.42000,1109.68000,152.24000,238.44000,390.68000,718.99990,102.94000,821.94000,87.65000,734.29000,734.08200,0.00000,734.29000,747.20000,718.99990,649.57500,651.26000,1.13000,1.12800
2012-12-31,1316.34000,413.80000,902.54000,115.29000,191.47000,306.75990,595.78000,90.94000,686.70000,111.01000,575.69000,583.85200,0.00000,575.68000,633.26000,595.78000,656.53500,657.66500,0.89000,0.88800
2011-12-31,1158.36000,376.91000,781.45000,73.95000,179.44000,253.39000,528.06000,46.44000,574.48000,62.40000,512.08000,513.87300,0.00000,512.07000,574.65000,528.06000,653.11000,655.34000,0.78600,0.78400
2010-12-31,834.49000,272.55000,561.94000,48.17000,128.27000,176.44000,385.50000,4.87000,390.37000,52.18000,338.19000,338.75300,0.00000,338.18000,420.67000,385.50000,649.28500,652.37500,0.52200,0.52000
2009-12-31,550.39000,139.50000,410.89000,33.76000,80.69000,114.45000,296.44000,18.63000,315.07000,45.98000,269.09000,271.09000,0.00000,269.09000,317.47000,296.44000,643.29000,648.03500,0.42200,0.41800
