,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1224.02200,345.94300,878.07900,79.90300,-6.16600,405.76600,472.31290,-44.10200,428.21100,,428.21100,,488.03500,,482.86500,776.81390,472.31290,171.40400,171.79100,2.82000,2.81000
2021-12-31,1166.16100,326.68200,839.47900,78.21800,-5.75100,387.30000,452.17900,-132.97700,319.20200,,319.20200,,366.28800,,361.41100,738.57700,452.17900,170.23600,170.69400,2.12000,2.12000
2020-12-31,1016.17500,313.07700,703.09800,75.00100,-12.64200,565.67100,137.42700,-124.27900,13.14800,,13.14800,,47.31700,,44.88900,583.93800,137.42700,169.23100,169.46000,0.27000,0.26000
2019-12-31,1133.13800,306.14500,826.99290,74.98400,-7.81400,457.08100,369.91190,-187.61000,182.30200,,182.30200,,243.25800,,239.43000,711.49790,369.91190,167.52600,167.77100,1.43000,1.43000
2018-12-31,1120.97500,305.89000,815.08500,65.49100,-9.73700,434.91600,380.16900,-170.81800,209.35100,,209.35100,,252.32500,,249.12700,717.00300,380.16900,169.72400,170.10000,1.47000,1.46000
2017-12-31,984.32600,253.71300,730.61300,67.62400,-89.22500,491.05000,239.56300,-113.66100,125.90200,,125.90200,9.73700,178.98000,,159.94900,560.12900,239.56300,159.53600,159.96000,1.00000,1.00000
2016-12-31,614.37100,161.41700,452.95400,65.32700,-14.08100,241.73500,211.21900,-100.74500,110.47400,,110.47400,,166.99200,,143.86000,379.42900,211.21900,100.86300,101.28500,1.43000,1.42000
2015-12-31,569.76300,144.83300,424.93000,65.60000,-7.83600,220.26500,204.66500,-110.23600,94.42900,,94.42900,,116.93700,35.60600,128.99400,359.57300,204.66500,94.54600,95.01100,1.37000,1.36000
2014-12-31,537.89800,136.81900,401.07900,60.24200,-8.49600,216.52900,184.55000,-83.04600,101.50400,-0.99600,102.50000,,133.77000,55.07700,166.32800,339.76100,184.55000,92.37000,92.40400,1.80000,1.80000
2013-12-31,489.00700,124.74400,364.26300,61.23400,-8.07900,199.94300,164.32000,-111.74100,52.57900,,52.57900,,84.29700,66.98800,128.74200,308.62500,164.32000,91.38300,91.40900,1.40000,1.40000
2012-12-31,473.92900,119.59800,354.33100,61.70000,-7.18700,187.89500,166.43600,-131.24000,35.19600,13.22400,21.97200,,45.77900,-19.57000,-6.66400,305.99100,166.43600,89.63000,89.66900,-0.08000,-0.08000
2011-12-31,470.44900,120.54000,349.90900,56.11700,-6.51600,183.43600,166.47300,-136.31700,30.15600,2.99400,27.16200,,36.80500,18.98300,31.69500,312.55600,166.47300,87.82500,88.25900,0.35000,0.35000
2010-12-31,468.19100,119.90000,348.29100,61.50500,-6.29700,186.20000,162.09100,-147.43400,14.65700,-1.33300,15.99000,,3.10600,9.89500,-11.40100,294.55700,162.09100,81.06800,82.60200,-0.14000,-0.14000
2009-12-31,478.56100,116.40500,362.15600,53.17700,-16.63200,183.86700,178.28900,-190.72900,-12.44000,,-12.44000,,-38.81300,9.77700,-52.67200,302.09000,178.28900,76.44000,76.50700,-0.70000,-0.70000
