,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7528.00000,2222.00000,5306.00000,1421.00000,2218.00000,3636.00000,1670.00000,74.00000,1744.00000,231.00000,1513.00000,1513.00000,1513.00000,1989.00000,1670.00000,782.00000,789.00000,1.94000,1.92000
2021-12-31,8803.00000,2317.00000,6486.00000,1337.00000,1813.00000,3227.00000,3259.00000,-95.00000,3164.00000,465.00000,2699.00000,2699.00000,2699.00000,3699.00000,3259.00000,777.00000,784.00000,3.47000,3.44000
2020-12-31,8086.00000,2260.00000,5826.00000,1150.00000,1848.00000,3092.00000,2734.00000,-118.00000,2616.00000,419.00000,2197.00000,2197.00000,2197.00000,3180.00000,2734.00000,771.00000,778.00000,2.85000,2.82000
2019-12-31,6489.00000,2094.00000,4395.00000,998.00000,1658.00000,2788.00000,1607.00000,26.00000,1633.00000,130.00000,1503.00000,1503.00000,1503.00000,2160.00000,1607.00000,767.00000,771.00000,1.96000,1.95000
2018-12-31,7500.00000,2517.00000,4983.00000,1101.00000,1884.00000,2995.00000,1988.00000,-111.00000,1877.00000,29.00000,1848.00000,1848.00000,1848.00000,2986.00000,1988.00000,762.00000,771.00000,2.43000,2.40000
2017-12-31,7017.00000,2501.00000,4516.00000,1069.00000,2123.00000,3207.00000,1309.00000,-158.00000,1151.00000,878.00000,273.00000,273.00000,273.00000,2508.00000,1309.00000,754.00000,766.00000,0.36000,0.36000
2016-12-31,6608.00000,2394.00000,4214.00000,958.00000,1844.00000,2802.00000,1412.00000,-306.00000,1106.00000,140.00000,966.00000,966.00000,962.00000,2583.00000,1412.00000,740.00000,754.00000,1.30000,1.28000
2015-12-31,4664.00000,1585.00000,3079.00000,646.00000,1114.00000,1760.00000,1319.00000,-198.00000,1121.00000,229.00000,892.00000,892.00000,881.00000,1820.00000,1319.00000,728.00000,739.00000,1.21000,1.19000
2014-12-31,4408.00000,1525.00000,2883.00000,571.00000,1129.00000,1700.00000,1183.00000,-202.00000,981.00000,146.00000,835.00000,835.00000,817.00000,1536.00000,1183.00000,716.00000,726.00000,1.14000,1.13000
2013-12-31,4583.00000,1531.00000,3052.00000,584.00000,1096.00000,1680.00000,1372.00000,-53.00000,1319.00000,309.00000,1010.00000,1010.00000,987.00000,1688.00000,1372.00000,1024.00000,1035.00000,0.96000,0.95000
2012-12-31,4856.00000,1662.00000,3194.00000,604.00000,1139.00000,1743.00000,1451.00000,7.00000,1458.00000,309.00000,1149.00000,1149.00000,1125.00000,1779.00000,1451.00000,1112.00000,1118.00000,1.01000,1.01000
2011-12-31,4755.00000,1772.00000,2983.00000,629.00000,1001.00000,1655.00000,1328.00000,3.00000,1331.00000,246.00000,1085.00000,1085.00000,1069.00000,1763.00000,1328.00000,1148.00000,1156.00000,0.93000,0.92000
2010-12-31,4447.00000,2135.00000,2312.00000,626.00000,891.00000,1843.00000,469.00000,23.00000,492.00000,74.00000,418.00000,418.00000,414.00000,986.00000,469.00000,1222.00000,1236.00000,0.34000,0.33000
2009-12-31,4279.00000,2307.00000,1972.00000,627.00000,939.00000,1998.00000,-26.00000,18.00000,-8.00000,-121.00000,113.00000,113.00000,112.00000,602.00000,-26.00000,1283.00000,1311.00000,0.09000,0.09000
