,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,17526.00000,1521.00000,16005.00000,12043.00000,12043.00000,3962.00000,3962.00000,946.00000,3016.00000,3016.00000,2974.00000,480.40000,483.40000,6.19000,6.15000
2021-12-31,15752.00000,1032.00000,14720.00000,9217.00000,9217.00000,5503.00000,5503.00000,1282.00000,4221.00000,4221.00000,4179.00000,564.60000,569.30000,7.40000,7.34000
2020-12-31,16472.00000,1665.00000,14807.00000,13010.00000,13010.00000,1797.00000,1797.00000,412.00000,1385.00000,1385.00000,1343.00000,589.00000,590.80000,2.28000,2.27000
2019-12-31,19461.00000,2291.00000,17170.00000,12283.00000,12283.00000,4887.00000,4887.00000,1140.00000,3747.00000,3747.00000,3747.00000,670.20000,673.50000,5.59000,5.56000
2018-12-31,18253.00000,1870.00000,16383.00000,12739.00000,12739.00000,3644.00000,3644.00000,854.00000,2790.00000,2790.00000,2790.00000,742.30000,746.90000,3.76000,3.74000
2017-12-31,16695.00000,1391.00000,15304.00000,11980.00000,11980.00000,3324.00000,3324.00000,1389.00000,1935.00000,1935.00000,1935.00000,795.60000,799.70000,2.43000,2.42000
2016-12-31,15122.00000,1248.00000,13874.00000,10304.00000,10304.00000,3570.00000,3570.00000,1319.00000,2251.00000,2251.00000,2251.00000,829.20000,831.50000,2.71000,2.71000
2015-12-31,13620.00000,1135.00000,12485.00000,8954.00000,8954.00000,3531.00000,3531.00000,1317.00000,2214.00000,2214.00000,2214.00000,833.80000,835.50000,2.66000,2.65000
2014-12-31,12727.00000,922.00000,11805.00000,8419.00000,8419.00000,3386.00000,3386.00000,1277.00000,2109.00000,2109.00000,2109.00000,757.40000,757.60000,2.78000,2.78000
2013-12-31,11813.00000,742.00000,11071.00000,7929.00000,7929.00000,3142.00000,3142.00000,1163.00000,1979.00000,1979.00000,1979.00000,705.30000,705.30000,2.81000,2.81000
2012-12-31,10793.00000,745.00000,10048.00000,6672.00000,6672.00000,3376.00000,3376.00000,1257.00000,2119.00000,2119.00000,2119.00000,705.30000,705.30000,3.00000,3.00000
2011-12-31,9638.00000,932.00000,8706.00000,5696.00000,5696.00000,3010.00000,3010.00000,1120.00000,1890.00000,1890.00000,1890.00000,,,,0.00000
