,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8603.72300,425.16400,8178.55900,5511.81200,5567.43600,2611.12300,2611.12300,619.46000,1991.66300,1991.66300,1891.46900,163.17400,164.03000,11.59000,11.53000
2021-12-31,6105.77800,114.00600,5991.77200,3526.45600,3536.62300,2455.14900,2455.14900,596.40300,1858.74600,1858.74600,1776.97700,128.64900,128.81200,13.81000,13.80000
2020-12-31,6281.15600,326.39500,5954.76100,4170.37100,4185.24000,1769.52100,1769.52100,416.36900,1353.15200,1353.15200,1279.06600,128.63800,128.70400,9.94000,9.94000
2019-12-31,6941.27100,749.32900,6191.94200,3625.19200,3644.68200,2547.26100,2547.26100,618.11200,1929.14900,1929.14900,1849.50900,134.42800,134.46200,13.76000,13.75000
2018-12-31,6454.71100,526.40900,5928.30200,3395.54000,3420.06200,2508.24000,2508.24000,590.16000,1918.08000,1918.08000,1836.02800,143.99200,144.15100,12.75000,12.74000
2017-12-31,6018.93800,386.75100,5632.18700,3276.95900,3308.32500,2323.86200,2323.86200,915.55600,1408.30600,1408.30600,1327.50300,152.15900,152.55100,8.72000,8.70000
2016-12-31,5721.86700,425.98400,5295.88300,3194.87200,3237.48500,2058.39800,2058.39800,743.28400,1315.11400,1315.11400,1223.45900,156.78000,157.30400,7.80000,7.78000
2015-12-31,4995.88100,328.25700,4667.62400,2966.50800,2992.93200,1674.69200,1674.69200,595.02500,1079.66700,1079.66700,987.68900,136.80300,137.53300,7.22000,7.18000
2014-12-31,4736.15000,280.43100,4455.71900,2779.65000,2813.47400,1642.24500,1642.24500,575.99900,1066.24600,1066.24600,978.53100,130.95000,131.84400,7.47000,7.42000
2013-12-31,4822.53900,284.10500,4538.43400,2725.95400,2772.86600,1765.56800,1765.56800,627.08800,1138.48000,1138.48000,1062.42900,128.65400,129.60300,8.26000,8.20000
2012-12-31,4608.95500,343.16900,4265.78600,2652.62900,2713.26000,1552.52600,1552.52600,523.02800,1029.49800,1029.49800,953.39000,125.86400,126.40500,7.57000,7.54000
2011-12-31,4374.99900,402.33100,3972.66800,2686.45100,2748.06800,1224.60000,1224.60000,365.12100,859.47900,859.47900,781.74300,122.66300,123.07900,6.37000,6.35000
2010-12-31,3837.89500,462.26900,3375.62600,2224.73400,2282.83700,1092.78900,1092.78900,356.62800,736.16090,736.16090,675.82600,118.19100,118.84300,5.72000,5.69000
2009-12-31,3773.30300,669.44900,3103.85400,2520.30800,2584.56300,519.29080,519.29100,139.40000,379.89100,379.89100,332.00600,114.66000,114.77600,2.90000,2.89000
