,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9646.00000,9646.00000,7425.00000,-1736.00000,70.00000,9.00000,79.00000,21.00000,58.00000,58.00000,58.00000,485.00000,70.00000,126.65700,127.89900,0.46000,0.45000
2021-12-31,6176.00000,6176.00000,5217.00000,120.00000,685.00000,-56.00000,629.00000,151.00000,478.00000,478.00000,478.00000,1079.00000,685.00000,125.06300,126.77500,3.82000,3.77000
2020-12-31,3566.00000,3566.00000,4185.00000,-730.00000,-1775.00000,-65.00000,-1840.00000,-516.00000,-1324.00000,-1324.00000,-1324.00000,-1355.00000,-1775.00000,123.45000,123.45000,-10.72000,-10.72000
2019-12-31,8781.00000,8781.00000,6363.00000,-888.00000,1063.00000,-47.00000,1016.00000,247.00000,769.00000,769.00000,769.00000,1486.00000,1063.00000,123.27900,124.28900,6.24000,6.19000
2018-12-31,8264.00000,8264.00000,6218.00000,-873.00000,643.00000,-58.00000,585.00000,148.00000,437.00000,437.00000,437.00000,1041.00000,643.00000,123.23000,123.97500,3.55000,3.52000
2017-12-31,7894.00000,7894.00000,5380.00000,-818.00000,1208.00000,-49.00000,1159.00000,199.00000,960.00000,960.00000,960.00000,1580.00000,1208.00000,123.21100,123.85400,7.79000,7.75000
2016-12-31,5925.00000,5925.00000,3550.00000,-706.00000,1306.00000,10.00000,1316.00000,519.00000,797.00000,797.00000,797.00000,1669.00000,1306.00000,123.55700,124.38900,6.45000,6.41000
2015-12-31,5598.00000,5598.00000,3400.00000,-580.00000,1298.00000,14.00000,1312.00000,464.00000,848.00000,848.00000,848.00000,1618.00000,1298.00000,128.37300,129.37200,6.61000,6.56000
2014-12-31,5368.00000,5368.00000,3660.00000,-452.00000,962.00000,13.00000,975.00000,370.00000,605.00000,605.00000,605.00000,1256.00000,962.00000,135.44500,136.80100,4.47000,4.42000
2013-12-31,5156.00000,5156.00000,3620.00000,-428.00000,838.00000,-22.00000,816.00000,308.00000,508.00000,508.00000,508.00000,1108.00000,838.00000,139.91000,141.87800,3.63000,3.58000
2012-12-31,4657.00000,4657.00000,3525.00000,-336.00000,532.00000,-18.00000,514.00000,198.00000,316.00000,316.00000,316.00000,796.00000,532.00000,141.41600,143.56800,2.23000,2.20000
2011-12-31,4318.00000,4318.00000,3276.00000,-346.00000,449.00000,-55.00000,394.00000,149.00000,245.00000,245.00000,245.00000,696.00000,449.00000,143.51000,146.84200,1.70500,1.66500
2010-12-31,3832.00000,3832.00000,2825.00000,-306.00000,471.00000,-65.00000,406.00000,155.00000,251.00000,251.00000,251.00000,701.00000,471.00000,143.28800,147.14200,1.75000,1.70500
2009-12-31,3399.80000,3399.80000,2578.70000,-334.50000,267.40010,-64.50000,202.90000,81.30000,121.60000,121.60000,121.60000,486.60020,267.40010,143.26000,144.61600,0.84750,0.84000
